"区分","面積[平方キロメートル]","人口[人]","世帯数","事業所数","従業者数[人]","公道延長[メートル]","公園面積[平方メートル]","１人当たり公園面積[平方メートル]","新設着工住宅戸数","令和3年度 特別区税額[円]","令和3年度 財調収入[円]"
"23区総計","627.53","9625871","5407190","503699","8114913","11998427","42366168.82","4.376422576","106457","1150487564000","1035614035000"
"千代田","11.66","68506","39139","35990","1111656","175522","1708910.32","25.538905461","700","20725904000","5932855000"
"中央","10.21","175431","100064","34126","771139","194520","627461.42","3.664029688","1338","33512659000","19713959000"
"港","20.37","265572","152329","41049","1117898","303428","1408815.20","5.431555734","4385","86664196000","0"
"新宿","18.22","348039","225786","33094","678632","356706","1147122.15","3.318422225","4734","50506471000","29312168000"
"文京","11.29","231134","127836","13761","212735","207455","553078.05","2.299605214","2199","36512105000","22266378000"
"台東","10.11","210311","131661","22881","234662","258517","773676.22","3.636482604","5196","23895046000","28844304000"
"墨田","13.77","283253","165815","14895","160318","296988","782238.22","2.862887562","4991","26849290000","41648038000"
"江東","43.01","537786","288527","19443","395707","396365","5165609.88","9.843681884","5230","56216979000","60133484000"
"品川","22.84","407216","232729","19897","424205","390392","1375717.16","3.280484639","5123","53898090000","44109377000"
"目黒","14.67","279767","159707","12275","131943","359250","490114.47","1.723200713","2709","47593157000","16996172000"
"大田","61.86","733720","408965","28532","355138","854754","2968117.15","4.005383236","7381","78354599000","71383549000"
"世田谷","58.05","918664","496212","27500","269751","1186703","2895327.47","3.084887646","8044","128773322000","56527397000"
"渋谷","15.11","230495","142209","33284","581127","271800","1681561.25","6.951731358","3184","57915258000","3667077000"
"中野","15.59","336300","212296","11962","122974","368989","492320.62","1.438448831","3358","36083700000","37990013000"
"杉並","34.06","573304","329482","19274","155138","689526","1269077.89","2.160779893","6098","67412097000","45789053000"
"豊島","13.01","290780","183806","19141","269773","307775","233106.14","0.782224869","3942","34531351000","32642041000"
"北","20.61","356556","205720","11709","124931","375378","1086286.90","3.076977484","5122","31140267000","52987890000"
"荒川","10.16","218254","120822","8346","74344","215351","456759.45","2.110659825","2308","18562761000","38882685000"
"板橋","32.22","571577","325601","17238","196065","740199","1945945.76","3.351478946","6163","48172094000","69851710000"
"練馬","48.08","740457","388682","20343","175956","1141967","2147615.32","2.864067544","6889","69804162000","85328271000"
"足立","53.25","692555","370236","23123","222194","1058375","3281241.23","4.738432389","7198","51669587000","100996842000"
"葛飾","34.80","466576","247469","15600","129637","754107","2014756.49","4.464122046","4745","35201117000","75479900000"
"江戸川","49.90","689618","352097","19778","186365","1094360","7826550.11","11.350919946","5420","56493352000","95130872000"
"境界未定","4.68",,,"458","12625",,,,,,
"23区に占める港区の割合[%]","3.25","2.76","2.82","8.15","13.78","2.53","3.33",,"4.12","7.53","0.00"
"順位","12","17","17","1","1","16","11","5","15","2","23"

"令和5年度港区行政資料集　２３区勢一覧","Ver202303",,,,,,,,,,
