年月,予定便数（機）,就航数（機）,欠航数強風着（機）,欠航数強風発（機）,欠航数視界着（機）,欠航数視界発（機）,欠航数ガス着（機）,欠航数ガス発（機）,欠航数その他着（機）,欠航数その他発（機）,就航率（％）,東京→三宅島降客数（人）,東京→三宅島提供座席数（席）,東京→三宅島利用率（％）,三宅島→東京乗客数（人）,三宅島→東京提供座席数（席）,三宅島→東京利用率（％）,合計乗降客数（人）,合計提供座席数（席）,合計利用率（％）,貨物取扱量卸（ｋｇ）,貨物取扱量積（ｋｇ）,郵便取扱量卸（ｋｇ）,郵便取扱量積（ｋｇ）
4,59,51,0,0,8,8,0,0,0,0,86.44,238,969,24.56,313,969,32.3,551,"1,938",28.43,168,4,―,―
5,31,28,0,0,3,3,0,0,0,0,90.32,104,532,19.55,200,532,37.59,304,"1,064",28.57,170,2,―,―
6,34,27,0,0,7,7,0,0,0,0,79.41,233,513,45.42,418,513,81.48,651,"1,026",63.45,159,18,―,―
7,66,54,0,0,12,12,0,0,0,0,81.82,510,"1,026",49.71,764,"1,026",74.46,"1,274","2,052",62.09,242,1,―,―
8,84,84,0,0,0,0,0,0,0,0,100,738,"1,596",46.24,"1,094","1,596",68.55,"1,832","3,192",57.39,193,8,―,―
9,62,58,1,1,3,3,0,0,0,0,93.55,661,"1,102",59.98,853,"1,102",77.4,"1,514","2,204",68.69,175,28,―,―
10,67,58,0,0,9,9,0,0,0,0,86.57,574,"1,102",52.09,886,"1,102",80.4,"1,460","2,204",66.24,168,1,―,―
11,70,68,0,0,2,2,0,0,0,0,97.14,592,"1,292",45.82,"1,022","1,292",79.1,"1,614","2,584",62.46,231,47,―,―
12,76,74,1,1,1,1,0,0,0,0,97.37,605,"1,406",43.03,"1,012","1,406",71.98,"1,617","2,812",57.5,215,45,―,―
1,71,66,1,1,3,3,0,0,1,1,92.96,519,"1,254",41.39,607,"1,235",49.15,"1,126","2,489",45.24,332,30,―,―
2,56,54,1,1,1,1,0,0,0,0,96.43,449,"1,026",43.76,669,"1,026",65.2,"1,118","2,052",54.48,199,11,―,―
3,70,64,0,0,6,6,0,0,0,0,91.43,610,"1,216",50.16,900,"1,197",75.19,"1,510","2,413",62.58,190,24,―,―
年度計,746,686,4,4,55,55,0,0,1,1,91.96,"5,833","13,034",44.75,"8,738","12,996",67.24,"14,571","26,030",55.98,"2,442",219,―,―
31,992,907,8,8,71,71,0,0,7,6,91.43,"9,888","17,214",57.44,"15,124","17,252",87.67,"25,012","34,466",72.57,,,,
30,"1,016",962,3,3,49,49,0,0,3,2,94.69,"9,858","18,259",54,"16,010","18,297",87.5,"25,868","36,556",70.9,,,,
29,"1,121","1,043",14,14,59,59,0,0,5,4,93.04,"9,843","19,817",49.67,"16,322","19,817",82.36,"26,165","39,634",66.02,,,,
28,"1,116","1,026",3,3,63,63,0,0,25,21,91.94,"8,286","19,399",42.71,"15,024","19,551",76.85,"23,310","38,950",59.85,,,,
27,"1,116","1,033",5,5,53,53,5,5,21,17,92.56,"8,179","19,608",41.71,"14,752","19,703",74.87,"22,931","39,311",58.33,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
