科目,30決算額（円）,30構成比（％）,30指数（％）,01決算額（円）,01構成比（％）,01指数（％）,02決算額（円）,02構成比（％）,02指数（％）
総務費,"84,626,255",2.73,50.12,"342,198,290",9.09,202.65,"359,208,671",9.77,424.46
徴税費,"6,207,097",0.2,93.7,"5,833,349",0.15,88.06,"5,611,424",0.15,90.4
スポーツ振興費,"78,300",0.01,157.23,"80,403",0,161.45,0,[sanitize],[sanitize]
都市整備費,"24,553",0.01,106.75,"23,090",0,100.39,0,[sanitize],[sanitize]
環境費,"49,431,194",1.6,114.09,"85,664,858",2.28,197.72,"68,531,066",1.86,138.64
福祉保健費,"62,678,894",2.02,89.28,"56,266,435",1.49,80.15,"51,581,350",1.4,82.29
産業労働費,"466,407,726",15.05,95.09,"420,233,803",11.16,85.67,"472,545,523",12.85,101.32
土木費,"2,025,354,946",65.36,87.19,"2,468,667,922",65.59,106.27,"2,309,793,043",62.8,114.04
港湾費,"404,088,283",13.04,148.59,"385,099,326",10.23,141.6,"410,709,858",11.17,101.64
諸支出金,0,[sanitize],[sanitize],0,[sanitize],[sanitize],0,[sanitize],[sanitize]
計,"3,098,897,248",100,91.83,"3,764,067,476",100,111.54,"36,777,980,935",100,118.69
