地区別,建設業（人）,製造業（人）,卸・小売業（人）,金融保険業（人）,運輸通信業（人）,電気・ガス水道業（人）,サービス業（人）,その他（人）,計（人）
神着,8,3,14,2,3,0,20,2,52
伊豆,4,2,7,0,2,1,5,0,21
伊ヶ谷,1,1,1,0,0,0,5,0,8
阿古,16,2,30,0,4,0,39,2,93
坪田,9,4,26,0,2,0,25,1,67
三宅村計,38,12,78,2,11,1,94,5,241
御蔵島村,2,1,5,0,0,0,22,0,30
合計,40,13,83,2,11,1,116,5,271
