区分１,区分２,総数（人）,１月（人）,２月（人）,３月（人）,４月（人）,５月（人）,６月（人）,７月（人）,８月（人）,９月（人）,１０月（人）,１１月（人）,１２月（人）
出生,三宅村,18,2,2,0,2,1,3,0,2,2,2,2,0
出生,御蔵島村,2,0,0,0,2,0,0,0,0,0,0,0,0
出生,計,20,2,2,0,4,1,3,0,2,2,2,2,0
婚姻,三宅村,9,1,1,1,0,2,2,0,0,1,0,0,1
婚姻,御蔵島村,3,0,0,0,0,1,0,0,0,0,0,2,0
婚姻,計,12,1,1,1,0,3,2,0,0,1,0,2,1
離婚,三宅村,3,0,1,0,0,0,0,0,0,2,0,0,0
離婚,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
離婚,計,3,0,1,0,0,0,0,0,0,2,0,0,0
死亡,三宅村,48,6,2,6,9,1,0,6,3,2,5,7,1
死亡,御蔵島村,5,1,0,1,0,0,0,1,1,0,1,0,0
死亡,計,53,7,2,7,9,1,0,7,4,2,6,7,1
死産,三宅村,0,0,0,0,0,0,0,0,0,0,0,0,0
死産,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
死産,計,0,0,0,0,0,0,0,0,0,0,0,0,0
合計,,88,10,6,8,13,5,5,7,6,7,8,11,2
