投票所名１,投票所名２,選挙人名簿（令和２年９月１日）男（人）,選挙人名簿（令和２年９月１日）女（人）,選挙人名簿（令和２年９月１日）計（人）
三宅村,神着投票区,297,216,513
三宅村,伊豆投票区,128,114,242
三宅村,伊ヶ谷投票区,71,52,123
三宅村,阿古投票区,386,319,705
三宅村,坪田投票区,280,216,496
合計,,"1,162",917,"2,079"
御蔵島村,,131,118,249
