作目１,作目２,三宅村作付面積（ｈ?sanitize]j,三宅村生産額（百万円）,御蔵作付面積（ｈ?sanitize]j,島村生産額（百万円）,合計作付面積（ｈ?sanitize]j,合計生産額（百万円）
野菜類,カンショ,2.6,8,[sanitize],[sanitize],2.6,8
野菜類,バレイショ,1,1,[sanitize],[sanitize],1,1
野菜類,サトイモ,3.2,5,[sanitize],[sanitize],3.2,5
野菜類,アシタバ,20.8,118,3.5,22,24.3,140
野菜類,キヌサヤ,0.7,5,[sanitize],[sanitize],0.7,5
野菜類,その他,3,13,[sanitize],[sanitize],3,13
野菜類,小計,31.3,155,3.5,22,34.8,177
花き類,切葉・切枝類,5.6,[sanitize],[sanitize],[sanitize],5.6,[sanitize]
花き類,その他,0.1,[sanitize],2.9,[sanitize],3,[sanitize]
花き類,小計,5.7,77,2.9,1,8.6,78
果樹,,0.5,9,[sanitize],[sanitize],0.5,9
その他,,0,0,[sanitize],[sanitize],0,0
合計,,37.3,241,6.5,23,43.8,264
