補助単独別,事業名,事業量,事業費（千円）,財源内訳国庫支出金（千円）,財源内訳都支出金（千円）,財源内訳地方債（千円）,財源内訳その他（千円）,財源内訳一般財源（千円）
単独,職員住宅管理,職員住宅屋根張替工事、職員住宅LPG配管工事,"7,660",,"6,933",,,727
単独,情報通信基盤施設整備事業,光ケーブル敷設工事、光ケーブル損傷復旧工事,"37,464",,"34,817",,499,"2,148"
単独,社会福祉施設費,阿古福祉会館駐車場整備工事ほか,"16,530",,"12,972",,,"3,558"
単独,保育所運営,保育園エアコン取替工事,"1,805",,"1,444",,,361
単独,火葬場管理,火葬場運搬台車購入,"4,139",,"3,312",,,827
単独,クリーンセンター管理,クリーンセンター施設設備整備工事、緊急整備工事　ほか,"77,394",,"71,589",,,"5,805"
単独,汚泥再生処理センター管理,汚泥再生処理センター設備保全管理、破砕装置点検整備工事　ほか,"12,960",,"11,781",,,"1,179"
単独,八重間ストックマネジメント事業,農業水利施設整備,"81,972",,"79,922",,,"2,050"
単独,山村・離島振興施設整備事業,農業施設整備時補助金,"5,895",,"4,420",,,"1,475"
単独,定置網新規設置事業,定置網新規設置工事,"88,181",,"85,977",,,"2,204"
単独,定置船維持管理事業,定置船改修工事,"12,501",,"9,450",,,"3,051"
単独,漁業生産基盤施設維持管理事業,阿古資材倉庫改修工事ほか,"19,994",,"19,494",,,500
補助,観光振興施設整備事業,温泉源調査業務委託,"4,895",,"4,000",,,895
単独,ふるさと体験ビレッジ運営,ふるさとの湯ボイラー更新工事、ふるさとの湯屋根張替工事　ほか,"70,245",,"64,350",,,"5,895"
単独,公設宿泊施設調査事業,公設宿泊施設調査業務委託,"11,935",,"11,338",,,597
補助,村営住宅改修事業,大永井第二団地改修工事及び施工管理業務委託,"49,665","21,500","23,940",,,"4,225"
単独,残土処分場新設整備事業,新残土処分場搬入道路工事、沈砂池設置及び伐開工事　ほか,"101,791",,"91,248",,,"10,543"
単独,村道整備事業,村道赤沢線舗装補修工事,"22,692",,"19,559",,,"3,133"
単独,道路新設改良費,村道阿古幹線改修工事に伴う測量設計,"8,250",,"7,500",,,750
単独,村営住宅改修事業,住宅内装補修、床改修工事　ほか,"23,757",,"22,000",,,"1,757"
補助,防火水槽（林野分）整備事業,防火水槽新設整備工事,"35,772","17,149","15,249",,,"3,374"
単独,防災行政無線デジタル化整備,防災行政無線デジタル化整備工事、工事管理業務委託,"385,440",,,"385,000",,440
補助,通学バス運行,スクールバス購入,"8,500","3,750","4,500",,,250
単独,教育関連施設長寿命化計画策定,学校教育施設及び社会教育施設長寿命化策定業務委託,"6,378",,"5,740",,,638
単独,体育施設費,コミュニティーセンター屋根補修工事　ほか,"4,801",,"4,326",,,481
