区分,三宅村神着,三宅村伊豆,三宅村伊ヶ谷,三宅村阿古,三宅村坪田,三宅村島外,御蔵島,合計
世帯,5,4,1,27,4,11,0,52
人員,6,4,2,32,7,13,0,64
