科目１,科目２,三宅村金額（千円）,三宅村比率（％）,御蔵島村金額（千円）,御蔵島村比率（％）
一般会計予算額,,"4,200,167",,"1,549,879",
教育費,,"341,292",8.1,"88,587",5.7
教育費の内訳,教育総務費,"174,181",51,"25,563",28.8
教育費の内訳,小学校費,"38,231",11.2,"1,970",2.2
教育費の内訳,中学校費,"36,167",10.6,"3,661",4.1
教育費の内訳,社会教育費,"33,524",9.9,"6,694",7.5
教育費の内訳,保健体育費,"13,896",4,998,1.1
教育費の内訳,校舎管理費,0,0,"34,832",39.3
教育費の内訳,学校給食費,"45,293",13.3,"14,869",16.7
