事業名,公単別,事業内容,事業主体,事業費（千円）,負担区分都（千円）,負担区分村（千円）,負担区分事業主体（千円）
山村・離島振興施設整備事業,単,農林業経営近代化施設（パイプハウス）整備,三宅村,"5,894,980","4,420,000","1,474,980",[sanitize]
山村・離島振興施設整備事業,単,農林業経営近代化施設（運搬用モノレール）整備,御蔵島村,"12,757,030","9,402,000","3,355,030",[sanitize]
