年度（年）,三宅管内隻数（隻）,三宅管内トン数（トン）,三宅管内馬力数（馬力）,平均トン数（トン）,平均馬力数（馬力）
28,156,510.4,"12,547",3.27,80
29,149,495.27,"12,537",3.32,84
30,147,504.7,"12,567",3.43,85
元,145,502.83,"12,860",3.47,89
2,141,492.96,"12,600",3.5,91
