年度（年）,鳥獣名（羽）,捕獲員数（名）,区域（区）
28,（なし）,（なし）,[sanitize]
29,オオミズナギドリ,3,御蔵島村一円
30,オオミズナギドリ,2,御蔵島村一円
元,オオミズナギドリ,2,御蔵島村一円
2,オオミズナギドリ,4,御蔵島村一円
