震度,1,2,3,4,5,6,7,8,9,10,11,12,計
回数,20,5,14,8,4,4,9,5,4,7,12,4,96
１未満,20,5,14,8,4,4,9,5,4,7,12,4,96
１以上,,,,,,,,,,,,,
