要素１,要素２,1,2,3,4,5,6,7,8,9,10,11,12,年
平均気温℃,東京,7.1,8.3,10.7,12.8,19.5,23.2,24.3,29.1,24.2,17.5,14,7.7,16.5
平均気温℃,大島,9.7,10.1,12,14,19.1,22.7,24.5,27.9,24.4,18.3,16,10.3,17.4
平均気温℃,三宅島,12.4,11.8,13.9,15.6,19.9,23.5,25.6,27.6,25.4,20.3,17.6,13.1,18.9
平均気温℃,八丈島,12.3,11.7,14,15.5,19.7,22.8,25.3,27.4,25.4,20.6,17.9,13.1,18.8
降水量ｍｍ,東京,135,15,131,296.5,118,212.5,270.5,61.5,117.5,205,14.5,13,1590
降水量ｍｍ,大島,299,110,376,361,115.5,355,623,28.5,284.5,552,50,41.5,3196
降水量ｍｍ,三宅島,236.5,153.5,372.5,233.5,144.5,489,746,68.5,253.5,616.5,107,56,3477
降水量ｍｍ,八丈島,346.5),157,287,188.5,250.5,533,462.5,140.5,580.5,961.5,136,145.5,4189
日照時間ｈ,東京,139.8,196.1,181.9,213.4,175.5,136.3,47.7,254.7,105.7,113.9,156.6,167.9,1889.5
日照時間ｈ,大島,118.3),138.8,165,228.1,173.8,125.8,59.7,279.8,118.1,117.4,144.8,142.3,1811.9
日照時間ｈ,三宅島,87.2,108.2,135,216.5,192.5,117.2,77.4,301.2,129.1,99.3,134.8,105.3,1703.7
日照時間ｈ,八丈島,66.6),84.6,116.9,191.9,1441.2,75,68.8,232.9,135,103.5,144.7,71.7,1432.8
平均風速ｍ／ｓ,東京,2.4,2.7,3.1,3.2,3.1,2.8,3.1,2.8,2.9,2.4,2.5,2.1,2.8
平均風速ｍ／ｓ,大島,5,5.5,5.9,5.4,4.5,4.7,5.3,3.8,4.8,5.1,4.8,5.1,5
平均風速ｍ／ｓ,三宅島,6.6,6,6.7,6.1,4.4,5.1,4.8,4.2,5.6,6.6,6,6.1,5.6
平均風速ｍ／ｓ,八丈島,5.1,4.7,5.1,4.8,4,4.2,4.5,3.3,4.6,6.7,3.9,4.3,4.6
平均湿度％,東京,65,55,65,66,75,82,89,76,83,75,65,61,71
平均湿度％,大島,72,66,74,72,82,89,94,85,88,80,74,71,79
平均湿度％,三宅島,73,70,76,70,84,91,94,90,88),80),68],65,80]
平均湿度％,八丈島,75,73,77,71,85,96,97),90,90,84,75,72,82
