税目１,税目２,調定額現年課税分（円）,調定額件数（件）,調定額滞納繰越分（円）,調定額件数（件）,収入額現年課税分（円）,収入額件数（件）,収入額滞納繰越分（円）,収入額件数（件）,収入歩合現年（％）,収入歩合滞納（％）
都民税,個人,114641794,2716,3788377,254,111451723,2614,1723020,116,97.2,454.5
都民税,法人,2865400,111,0,0,2865400,111,0,0,100,[sanitize]
都民税,小計,117507194,2827,3788377,254,114317123,2725,1723020,116,97.3,45.5
事業税,個人,2123700,25,0,0,2049200,23,0,0,96.6,[sanitize]
事業税,法人,7861700,30,0,0,7861700,30,0,0,100,[sanitize]
事業税,小計,9982400,55,0,0,9910900,53,0,0,99.3,[sanitize]
不動産取得税,,2412800,43,45500,1,22889800,41,0,0,94.9,0
自動車税,,1278700,32,90800,2,1165700,29,0,0,91.2,0
軽油引取税,,0,0,0,0,0,0,0,0,[sanitize],[sanitize]
狩猟税,,44000,40,0,0,44000,4,0,0,100,[sanitize]
合計,,131225094,2961,3924677,257,127727523,2852,1723020,116,97.3,43.9
