学科１,学科２,１学年男（人）,１学年女（人）,１学年計（人）,２学年男（人）,２学年女（人）,２学年計（人）,３学年男（人）,３学年女（人）,３学年計（人）,合計男（人）,合計女（人）,合計計（人）
普通科,,4,3,7,3,2,5,4,1,5,11,6,17
併合科,農業,0,0,0,2,0,2,0,0,0,2,0,2
併合科,家政,0,1,1,0,0,0,0,0,0,0,1,1
計,,4,4,8,5,2,7,4,1,5,13,7,20
