要素１,要素２,要素３,1,2,3,4,5,6,7,8,9,10,11,12,年
海面気圧[sanitize]１０００ｈＰａ,,,15.6,18.6,13.5,12.6,11.7,8,10.2,11.5,11.8,15.6,9.8,16.4,13.8
気温,平均気温,,12.4,11.8,13.9,15.6,19.9,23.5,25.6,27.6,25.4,20.3,17.6,13.1,18.9
気温,最高,平均℃,14.4,14.4,16.6,18.2,22.4,26,27.7,30.4,27.9,22.6,20.1,15.2,21.3
気温,最高,極値℃,19.4,20.1,20.9,22,25.6,28.5,30.6,32.8,31.9,27.1,24.4,20.2,32.8
気温,最高,その起日,8,22,22,30,26,30,26,15,3,5,19,30,8月15日
気温,最低,平均℃,9.9,8.8,10.8,12.7,17.2,21.2,23.6,25.2,23.3,17.7,14.6,10.3,16.3
気温,最低,極値℃,6.3,3.7,5.4,8.2,11.5,17.9,21.2,22.5,18.1,11.5,10.5,5.5,3.7
気温,最低,その起日,21*,9,6,15,9,20,19,21*,20,25,6,16,2月9日
湿度,平均湿度％,,73,70,76,70,84,91,94,90,88),80),68],65,80]
湿度,最小,極値％,40,38,33,31,45,41,69,68,51),34),36],31,31]
湿度,最小,その起日,14,6*,24,9,14,6,23,29,20,24,21,31,12月31日*
風速,平均風速ｍ／ｓ,,6.6,6,6.7,6.1,4.5,4.9,4.9,3.6,5.1,7.3,5.1,6.5,5.6
風速,最大風速ｍ／ｓ,,26.3,20.8,21.6,19.7,12.5,17.2,11.7,10.4,19.9,23.6,15.9,18.9,26.3
風速,風向,,W,W,NE,W,NE,NNE,NE,NE,NE,NE,W,W,W
風速,その起日,,8,23,8,2,22,22,17,24,23,10,3,30,1月8日
風速,最大瞬間風速ｍ／ｓ,,34.5,29.6,28,26.8,18.4,25.3,20.4,15.8,24.6,30.9,23.4,29.8,34.5
風速,風向,,W,W,W,W,W,WSW,SSW,W,NE,NE,W,W,W
風速,その起日,,8,23,20,2,1,28,1,8,23,10,3,30,1月8日
日照,日照時間ｈｒ,,87.2,108.2,135,216.5,192.5,117.2,77.4,301.2,129.1,99.3,134.8,105.3,1703.7
日照,日照率％,,28,34,37,56,45,27,18,73,35,28,43,34,38
降水,降水総ｍｍ,,236.5,153.5,372.5,233.5,144.5,489,746,68.5,253.5,616.5,107,56,3477
降水,最大日ｍｍ,,56,35,94.5,77,41,186.5,150.5,30.5,44,306.5,32,17.5,306.5
降水,とその起日,,28,26,8,13,19,28,17,24,16,10,24,30,10月10日
降水,日数,≧　０．０,22,21,22,14,17,19,25,7,26,21,17,15,226
降水,日数,≧　０．５,15,17,19,10,15,18,22,7,20,14,11,10,178
降水,日数,≧　１．０,12,14,15,10,14,14,21,6,19,12,10,9,156
降水,日数,≧１０．０,7,5,9,5,6,9,15,3,10,9,3,1,82
降水,日数,≧３０．０,3,1,6,3,1,4,9,1,2,3,1,0,34
天気日数,雨（≧０．５ｍｍ）,,15,17,19,10,15,18,22,7,20,14,11,10,178
天気日数,雪,,0,0,0,0,0,0,0,0),0,0,0,0,0
天気日数,霧,,0,0,0,0,0,0,0,2),0,0,0,0,2
天気日数,不照,,8,5,8,2,4,4,8,0,5,10,3,3,60
天気日数,日最大風速１０ｍ／ｓ以上,,23,17,22,16,4,4,7,1,9,21,17,22,163
