学校名,学級数（学級）,生徒数１年（人）,生徒数２年（人）,生徒数３年（人）,生徒数計（人）
三宅村立三宅中学校,3,11,12,11,34
三宅村立三宅中学校特別支援学級（固定級）,0,,,,
御蔵島村立御蔵島中学校,3,1,3,3,7
