年月,三宅島東京⇒三宅入（人）,三宅島東京⇒三宅出（人）,三宅島東京⇒三宅予定（日）,三宅島東京⇒三宅実績（日）,三宅島東京⇒三宅就航率（％）,三宅島三宅⇒東京入（人）,三宅島三宅⇒東京出（人）,三宅島三宅⇒東京予定（日）,三宅島三宅⇒東京実績（日）,三宅島三宅⇒東京就航率（％）,三宅島合計入（人）,三宅島合計出（人）
4,399,26,30,27,90,36,252,30,25,83.33,435,278
5,247,19,31,31,100,15,204,31,31,100,262,223
6,"1,045",65,30,30,100,79,867,30,29,96.67,"1,124",932
7,"1,612",106,31,31,100,126,"1,336",31,30,96.77,"1,738","1,442"
8,"2,316",142,31,31,100,167,"1,996",31,31,100,"2,483","2,138"
9,"1,910",60,30,27,90,84,"1,736",30,26,86.67,"1,994","1,796"
10,"1,653",83,31,28,90.32,86,"1,407",31,26,83.87,"1,739","1,490"
11,"1,908",76,30,30,100,128,"1,519",30,30,100,"2,036","1,595"
12,"1,251",90,31,30,96.77,81,"1,022",31,29,93.55,"1,332","1,112"
1,721,18,31,24,77.42,22,459,31,22,70.97,743,477
2,661,18,28,24,85.71,29,466,28,22,78.57,690,484
3,"1,377",55,31,30,96.77,77,"1,175",31,28,90.32,"1,454","1,230"
計,"15,100",758,365,343,93.97,930,"12,439",365,329,90.14,"16,030","13,197"
31,"30,319","1,493",366,335,92,"2,061","25,297",366,323,88,"32,380","26,790"
30,"31,738","1,281",365,343,94,"1,833","26,248",365,333,91,"33,571","27,529"
29,"31,613","1,481",365,335,92,"2,190","25,879",365,324,89,"33,803","27,360"
28,"32,309","1,633",365,339,93,"2,092","26,328",365,321,88,"34,401","27,961"
27,"34,025","1,436",366,345,94,"1,833","27,748",366,331,90,"35,858","29,184"
,,,,,,,,,,,,
,,,,,,,,,,,,
