学校別,進学者都立三宅高等学校（人）,進学者島外（人）,その他島内（人）,その他島外（人）,卒業者数（人）,進学率（％）
三宅,8,1,0,0,9,100
御蔵島,0,1,0,0,1,100
計,8,2,0,0,10,100
