島名,事業項目,事業細目,事業細々目,箇所名,施工地又は受益地,事業主体,着工年度（年）,完了年度（年）,全体計画事業費（千円）,全体計画国費（千円）,03年度予算事業費（千円）,03年度予算国費（千円）,03年度予算都費（千円）,03年度予算町村費（千円）,03年度予算その他（千円）,事業概要,備考整備計画名
三宅島,治山,[sanitize],復旧治山,金曽沢,坪田,都,R2,R3,166022,90750,76022,41250,34772,0,0,山腹基礎工,産業労働局
三宅島,港湾,[sanitize],地方港湾,三池港,三宅村沖ヶ平,都,S55,R8,18981334,11439388,465600,372480,93120,0,0,防波堤,港湾局
三宅島,水産基盤,漁港,水産生産,阿古漁港,三宅村阿古,都,H24,R8,8051505,6111986,367000,254000,113000,0,0,岸壁（改良）等,港湾局
三宅島,水産基盤,漁港,水産生産,伊ヶ谷漁港,三宅村伊ヶ谷,都,H14,R1,8490697,5884736,534000,301400,232600,0,0,岸壁　等,港湾局
三宅島,水産基盤,水産基盤計,,三宅島,,,,,16542202,11996722,901000,555400,345600,0,0,,
三宅島,廃棄物処理,循環型社会形成推進交付金,浄化槽設置整備,三宅村,三宅村内,村,R2,R6,4500,2250,1800,900,450,450,0,浄化槽設置事業,環境局
三宅島,社会資本整備総合交付金,道路,都道,三宅循環線,三宅村坪田,都,H22,R3,1681000,840500,0,0,0,0,0,現道拡幅拡幅,建設局
三宅島,社会資本整備総合交付金,道路,都道,三宅循環線,三宅村坪田,都,H25,R3,1759000,879500,0,0,0,0,0,バイパス,建設局
三宅島,社会資本整備総合交付金,道路,都道,三宅循環線,三宅村伊ヶ谷,都,H27,R5,1265000,632500,0,0,0,0,0,現道拡幅,建設局
三宅島,社会資本整備総合交付金,道路,都道,三宅循環線,三宅村伊ヶ谷,都,R2,R12,7961000,3980500,0,0,0,0,0,現道拡幅,建設局
三宅島,社会資本整備総合交付金,港湾,地方港湾,三池港,三宅村沖ヶ平,都,R2,R7,2348000,1191000,0,0,0,0,0,駐車場等,
三宅島,社会資本整備総合交付金,社会資本整備総合交付金計,,,,,,,15014000,7524000,0,0,0,0,0,,
三宅島,防災・安全交付金,港湾,港湾改修,三池港,三宅村沖ヶ平,都,H24,R7,869584,434792,0,0,0,0,0,防波堤（改良）,港湾局
三宅島,防災・安全交付金,砂防,火山砂防事業,西川西支川,三宅村伊豆,都,H26,R4,110000,60500,10000,5500,4500,0,0,砂防堰堤,建設局
三宅島,防災・安全交付金,砂防,火山砂防事業,長沢,三宅村伊ヶ谷,都,H28,R5,530000,291500,55000,30250,24750,0,0,砂防堰堤,建設局
三宅島,防災・安全交付金,砂防,火山砂防事業,とんび沢南支川,三宅村坪田,都,R2,R6,275000,151250,0,0,0,0,0,用地買収,建設局
三宅島,防災・安全交付金,砂防,火山砂防事業,筑穴ヶ沢,三宅村坪田,都,H13,R6,2602000,1431100,20000,11000,9000,0,0,,建設局
三宅島,防災・安全交付金,砂防,火山砂防事業,厚木沢,三宅村坪田,都,H13,R6,1129000,620950,40000,22000,18000,0,0,,建設局
三宅島,防災・安全交付金,海岸事業,侵食対策事業,三池港,三宅村坪田,都,H13,R12,3930000,2161500,162000,89100,72900,0,0,"離岸堤（潜堤）
堤防（改良）",港湾局
三宅島,防災・安全交付金,防災・安全交付金計,,,,,,,9445584,5151592,287000,157850,129150,0,0,,
三宅島,農山漁村地域整備交付金,農業農村整備,水利施設整備事業,八重間,三宅村坪田,村,R1,R5,324000,178200,82000,45100,16400,20500,0,取水施設・パイプライン更新等,産業労働局
三宅島,農山漁村地域整備交付金,漁港海岸,侵食対策,阿古漁港,三宅村阿古,都,H26,R7,880000,484000,0,0,0,0,0,離岸堤（改良）,港湾局
三宅島,農山漁村地域整備交付金,農山漁村地域整備交付金計,,,,,,,1204000,662200,82000,45100,16400,20500,0,,
三宅島,三宅島計,,,,,,,,61357642,36866902,1813422,1172980,619492,20950,0,,
御蔵島,治山,[sanitize],復旧治山,卯辰川,[sanitize],都,H28,R1,167080,91894,32640,12868,19772,0,0,,産業労働局
御蔵島,港湾,[sanitize],地方港湾,御蔵島港,御蔵島村里浜,都,H6,R18,20543996,11824094,205000,147600,57400,0,0,岸壁等,港湾局
御蔵島,廃棄物処理,循環型社会形成推進交付金,浄化槽設置整備,御蔵島村,御蔵島村内,村,H29,R3,6000,3000,1200,600,300,300,0,浄化槽設置事業,環境局
御蔵島,防災・安全交付金,道路,道路,御蔵島循環線,御蔵島全域,都,R1,R5,620000,310000,12000,6600,5400,0,0,災害防除,
御蔵島,防災・安全交付金,港湾,地方港湾,御蔵島港,御蔵島村里浜,都,H21,R3,293100,142500,0,0,0,0,0,護岸(防波),港湾局
御蔵島,防災・安全交付金,海岸事業,海岸堤防等老朽化対策緊急事業,御蔵海岸,御蔵島村,都,H27,R8,150000,82500,0,0,0,0,0,,建設局
御蔵島,防災・安全交付金,防災・安全交付金計,,,,,,,1063100,535000,12000,6600,5400,0,0,,
御蔵島,御蔵島計,,,,,,,,21780176,12453988,250840,167668,82872,300,0,,
三宅支庁管内計,,,,,,,,,83137818,49320890,1340648,1340648,702364,21250,0,,
