年月,御蔵島東京⇒三宅⇒御蔵入（人）,御蔵島東京⇒三宅⇒御蔵出（人）,御蔵島東京⇒三宅⇒御蔵予定（日）,御蔵島東京⇒三宅⇒御蔵実績（日）,御蔵島東京⇒三宅⇒御蔵就航率（％）,御蔵島御蔵⇒三宅⇒東京入（人）,御蔵島御蔵⇒三宅⇒東京出（人）,御蔵島御蔵⇒三宅⇒東京予定（日）,御蔵島御蔵⇒三宅⇒東京実績（日）,御蔵島御蔵⇒三宅⇒東京就航率（％）,御蔵島合計入（人）,御蔵島合計出（人）
4,39,1,30,12,40,5,21,30,16,53.33,44,22
5,24,8,31,24,77.42,6,22,31,27,87.1,30,30
6,149,11,30,21,70,5,113,30,21,70,154,124
7,608,24,31,23,74.19,39,568,31,24,77.42,647,592
8,"1,257",31,31,31,100,21,"1,188",31,31,100,"1,278","1,219"
9,461,19,30,17,56.67,65,456,30,18,60,526,475
10,371,22,31,14,45.16,71,406,31,19,61.29,442,428
11,299,17,30,20,66.67,15,323,30,19,63.33,314,340
12,80,8,31,12,38.71,10,56,31,15,48.39,90,64
1,10,0,31,5,16.13,9,6,31,8,25.81,19,6
2,28,3,28,8,28.57,10,37,28,10,35.71,38,40
3,228,7,31,23,74.19,7,256,31,22,70.97,235,263
計,"3,554",151,365,210,57.53,263,"3,452",365,230,63.01,"3,817","3,603"
31,"6,387",448,366,204,56,789,"6,147",366,216,59,"7,176","6,595"
30,"6,564",329,365,209,57,737,"6,259",365,220,60,7301,6588
29,"7,162",572,365,230,63,725,"6,647",365,246,67,"7,887","7,219"
28,"7,749",585,365,234,64,565,"6,820",365,237,65,"8,314","7,405"
27,"7,424",364,366,242,66,528,"6,894",366,255,70,"7,952","7,258"
,,,,,,,,,,,,
,,,,,,,,,,,,
