地区,総数（箇所）,理容所（箇所）,美容所（箇所）,クリーニング所（箇所）,旅館業旅館・ホテル（箇所）,旅館業簡易宿所（箇所）,公衆浴場（箇所）,温泉利用施設（箇所）,プール（箇所）,コインランドリー（箇所）,簡易水道（箇所）,簡易専用水道（箇所）,小規模貯水槽特定（箇所）,小規模貯水槽特定以外（箇所）,墓地（箇所）,火葬場（箇所）
神着,18,1,3,,6,4,,,,,,,1,1,2,
伊豆,16,,1,,,2,1,,2,,,3,4,2,1,
伊ヶ谷,9,,,1,,2,,,,,,,1,1,3,1
阿古,32,2,2,,7,12,2,1,,,,2,,3,,1
坪田,22,1,4,,1,8,,,1,,1,,2,2,2,
御蔵島,20,,2,,2,10,1,,1,,1,1,,1,1,
合計,117,4,12,1,16,38,4,1,4,0,2,6,8,10,9,2
