種別１,種別２,28,29,30,元,2
さば,漁獲量（ｋｇ）,"2,610","1,775",789,278,549
さば,金額（千円）,867,583,315,91,178
とびうお,漁獲量（ｋｇ）,"3,705",716,"2,143","1,636",496
とびうお,金額（千円）,"1,458",459,"1,104",800,370
むろあじ,漁獲量（ｋｇ）,"16,747","6,743","1,530",61,213
むろあじ,金額（千円）,"4,318","1,789",417,17,63
まあじ,漁獲量（ｋｇ）,137,1,0,0,0
まあじ,金額（千円）,41,0,0,0,0
しまあじ,漁獲量（ｋｇ）,"1,047",385,573,411,349
しまあじ,金額（千円）,"3,155",961,"1,485","1,359","1,532"
たかべ,漁獲量（ｋｇ）,"5,500",936,"2,422",610,519
たかべ,金額（千円）,"5,589","1,212","2,936",999,935
いさき,漁獲量（ｋｇ）,46,285,14,71,51
いさき,金額（千円）,51,282,14,65,45
かつお類,漁獲量（ｋｇ）,"21,130","8,811","22,276","38,354","17,838"
かつお類,金額（千円）,"13,813","5,802","11,553","24,291","11,711"
まぐろ類,漁獲量（ｋｇ）,"34,021","32,399","85,738","113,779","80,750"
まぐろ類,金額（千円）,"56,300","41,059","97,822","118,465","79,010"
かじき類,漁獲量（ｋｇ）,"3,852","2,134","3,102","7,551","2,637"
かじき類,金額（千円）,"4,381","2,040","3,214","7,124","2,421"
きんめだい,漁獲量（ｋｇ）,"77,146","95,100","114,605","104,876","97,079"
きんめだい,金額（千円）,"115,870","129,708","155,152","151,164","116,682"
ひめだい,漁獲量（ｋｇ）,501,332,122,84,280
ひめだい,金額（千円）,513,312,158,81,312
はまだい,漁獲量（ｋｇ）,55,8,106,6,396
はまだい,金額（千円）,101,12,183,14,579
あおだい,漁獲量（ｋｇ）,"3,341","2,448","1,391",624,536
あおだい,金額（千円）,"4,057","2,967","1,943",810,588
めだい,漁獲量（ｋｇ）,"20,921","20,090","20,586","7,142","9,203"
めだい,金額（千円）,"14,321","14,013","15,506","5,378","5,787"
あこうだい,漁獲量（ｋｇ）,328,315,544,547,280
あこうだい,金額（千円）,527,485,"1,057","1,272",615
むつ,漁獲量（ｋｇ）,761,"1,524","2,006","2,772",701
むつ,金額（千円）,909,"2,772","3,314","6,121","1,796"
まだい,漁獲量（ｋｇ）,252,97,27,29,22
まだい,金額（千円）,175,65,20,24,21
ひらまさ,漁獲量（ｋｇ）,"1,228","2,256",871,401,738
ひらまさ,金額（千円）,779,"1,911",560,274,477
かんぱち,漁獲量（ｋｇ）,967,"2,790","6,396","4,882","8,329"
かんぱち,金額（千円）,998,"1,979","7,055","5,923","9,047"
さわら,漁獲量（ｋｇ）,430,"1,181",996,894,796
さわら,金額（千円）,180,453,393,347,316
さめ類,漁獲量（ｋｇ）,0,0,0,6,0
さめ類,金額（千円）,0,0,0,1,0
ぶり類,漁獲量（ｋｇ）,43,41,20,1,11
ぶり類,金額（千円）,16,22,9,0,3
ひらめ,漁獲量（ｋｇ）,12,14,8,8,0
ひらめ,金額（千円）,12,14,14,16,0
ぼら類,漁獲量（ｋｇ）,0,0,2,0,0
ぼら類,金額（千円）,0,0,1,0,0
その他の魚類,漁獲量（ｋｇ）,"8,330","8,805","7,957","7,034","10,481"
その他の魚類,金額（千円）,"8,674","8,062","8,432","7,970","10,223"
魚類計,漁獲量（ｋｇ）,"203,110","189,186","274,224","292,210","232,254"
魚類計,金額（千円）,"237,105","216,965","312,656","332,576","242,721"
かめ,漁獲量（ｋｇ）,0,0,0,0,0
かめ,金額（千円）,0,0,0,0,0
いか類,漁獲量（ｋｇ）,"1,167","1,961",794,"1,109","1,870"
いか類,金額（千円）,"2,236","3,606","1,095","2,023","2,466"
いせえび,漁獲量（ｋｇ）,"1,812","1,158","1,150",939,883
いせえび,金額（千円）,"9,493","6,713","6,535","5,467","5,279"
とこぶし,漁獲量（ｋｇ）,447,606,541,367,34
とこぶし,金額（千円）,"1,645","2,247","2,003","1,356",130
その他,漁獲量（ｋｇ）,777,900,514,321,359
その他,金額（千円）,"1,167","1,244",775,515,651
水生動物計,漁獲量（ｋｇ）,"4,203","4,625","2,999","2,736","3,146"
水生動物計,金額（千円）,"14,541","13,811","10,408","9,361","8,527"
てんぐさ,漁獲量（ｋｇ）,"18,159","17,007","7,162","1,312","1,350"
てんぐさ,金額（千円）,"16,083","15,211","6,360","1,220","1,046"
とさかのり,漁獲量（ｋｇ）,0,0,0,0,0
とさかのり,金額（千円）,0,0,0,0,0
※その他の藻類,漁獲量（ｋｇ）,227,146,437,170,500
※その他の藻類,金額（千円）,594,651,"1,388",761,695
藻類計,漁獲量（ｋｇ）,"18,386","17,153","7,599","1,482","1,850"
藻類計,金額（千円）,"16,677","15,862","7,748","1,981","1,742"
合計,漁獲量（ｋｇ）,"225,699","210,964","284,822","296,428","237,250"
合計,金額（千円）,"268,323","246,638","330,812","343,918","252,991"
