区分,０歳～１８歳までの児童数（人）,総人口に対する児童数の比率（％）,保育所入所対象児（三宅は１歳～５歳）（御蔵は３歳～５歳）入所児（人）,保育所入所対象児（三宅は１歳～５歳）（御蔵は３歳～５歳）未入所児（人）,小学校児童（人）,中学校生徒（人）,高校生徒（人）,施設入所（学）児（人）,０歳～１歳まで（人）
三宅村,257,11.8,62,47,89,34,20,0,32
御蔵島村,63,20.1,15,0,29,7,0,0,5
計,320,12.8,77,47,118,41,20,0,37
