電源種別,東京電力認可出力設置ヶ所（箇所）,東京電力認可出力（万ｋＷ）,東京電力構成比（％）,全国（９電力）認可出力設置ヶ所（箇所）,全国（９電力）認可出力（万ｋＷ）,全国（９電力）構成比（％）
水力,164,987,54.3,1036,2736,25.4
火力,10,6,0.3,118,5734,53.2
原子力,1,821,45.1,12,2261,20.9
新エネルギー等,5,5,0.3,35,54,0.5
合計,180,1819,100,1201,10787,100
