村別,区分,総数,１ｈａ未満,１～５ｈａ,５～１０ｈａ,１０～５０ｈａ,５０ｈａ以上
三宅村,人数（人）,"2,507人","1,945",468,68,23,3
三宅村,比率（％）,100%,77.6,18.7,2.7,0.9,0.1
御蔵島村,人数（人）,109人,63,16,17,12,1
御蔵島村,比率（％）,100%,57.8,14.7,15.6,11,0.9
計,人数（人）,"2,616人","2,008",484,85,35,4
計,比率（％）,100%,76.8,18.5,3.2,1.3,0.2
