"町丁目","事業所数[事業所]","従業者数[人]"
"赤坂一丁目",723,13906
"赤坂二丁目",1049,19293
"赤坂三丁目",1302,13312
"赤坂四丁目",533,8102
"赤坂五丁目",286,10177
"赤坂六丁目",388,5478
"赤坂七丁目",450,5845
"赤坂八丁目",185,6881
"赤坂九丁目",257,2131
"麻布十番一丁目",177,1754
"麻布十番二丁目",291,2089
"麻布十番三丁目",81,551
"麻布十番四丁目",22,200
"麻布台一丁目",131,1309
"麻布台二丁目",55,1683
"麻布台三丁目",40,431
"麻布永坂町",8,71
"麻布狸穴町",5,12
"愛宕一丁目",85,1386
"愛宕二丁目",42,4334
"海岸一丁目",266,14371
"海岸二丁目",67,2263
"海岸三丁目",222,9366
"北青山一丁目",155,2722
"北青山二丁目",512,12811
"北青山三丁目",638,7897
"港南一丁目",56,6522
"港南二丁目",500,41882
"港南三丁目",61,1729
"港南四丁目",46,1058
"港南五丁目",73,1794
"芝一丁目",275,5455
"芝二丁目",520,12327
"芝三丁目",441,11142
"芝四丁目",343,8346
"芝五丁目",1086,27783
"芝浦一丁目",155,18413
"芝浦二丁目",156,4772
"芝浦三丁目",303,12526
"芝浦四丁目",161,9911
"芝公園一丁目",193,4934
"芝公園二丁目",221,8070
"芝公園三丁目",161,3699
"芝公園四丁目",64,976
"芝大門一丁目",625,11046
"芝大門二丁目",525,7105
"白金一丁目",252,1578
"白金二丁目",38,345
"白金三丁目",196,1052
"白金四丁目",25,350
"白金五丁目",91,1754
"白金六丁目",116,509
"白金台一丁目",39,1675
"白金台二丁目",73,625
"白金台三丁目",97,1667
"白金台四丁目",88,676
"白金台五丁目",152,1401
"新橋一丁目",496,9083
"新橋二丁目",1315,13714
"新橋三丁目",804,6906
"新橋四丁目",676,5432
"新橋五丁目",658,9884
"新橋六丁目",417,6591
"高輪一丁目",296,2572
"高輪二丁目",253,8615
"高輪三丁目",464,11375
"高輪四丁目",258,5756
"虎ノ門一丁目",1269,16862
"虎ノ門二丁目",446,16547
"虎ノ門三丁目",478,8432
"虎ノ門四丁目",194,10611
"虎ノ門五丁目",230,2479
"西麻布一丁目",385,3427
"西麻布二丁目",165,3353
"西麻布三丁目",353,3075
"西麻布四丁目",299,3419
"西新橋一丁目",1048,34259
"西新橋二丁目",539,9692
"西新橋三丁目",372,11894
"浜松町一丁目",686,10244
"浜松町二丁目",724,11840
"東麻布一丁目",195,2218
"東麻布二丁目",127,1577
"東麻布三丁目",77,991
"東新橋一丁目",256,22163
"東新橋二丁目",299,4356
"三田一丁目",225,9257
"三田二丁目",241,5039
"三田三丁目",470,14833
"三田四丁目",193,2632
"三田五丁目",142,1369
"南青山一丁目",412,8485
"南青山二丁目",901,14069
"南青山三丁目",596,7602
"南青山四丁目",223,2352
"南青山五丁目",1032,10071
"南青山六丁目",351,2704
"南青山七丁目",159,1678
"南麻布一丁目",126,1948
"南麻布二丁目",141,1817
"南麻布三丁目",87,1194
"南麻布四丁目",162,1585
"南麻布五丁目",156,2138
"元赤坂一丁目",270,9407
"元赤坂二丁目",3,360
"元麻布一丁目",45,189
"元麻布二丁目",31,479
"元麻布三丁目",95,742
"六本木一丁目",146,5158
"六本木二丁目",59,1423
"六本木三丁目",631,9591
"六本木四丁目",514,4712
"六本木五丁目",295,3374
"六本木六丁目",548,16955
"六本木七丁目",879,7822
"台場一丁目",283,3600
"台場二丁目",127,8725

"平成16年事業所・企業統計調査港区町丁目別事業所数及び従業者数(簡易調査のため民営事業所のみ) 町丁目別(平成16年6月1日現在)","Ver200406",
