"登録日","投票区","投票所名","10歳代[人]","20歳代[人]","30歳代[人]","40歳代[人]","50歳代[人]","60歳代[人]","70歳以上[人]","計[人]"
"20190301","1","虎ノ門いきいきプラザ","24","449","511","546","460","270","503","2763"
"20190301","2","南桜公園管理棟","12","258","396","266","166","129","209","1436"
"20190301","3","生涯学習センター","10","83","120","115","86","98","219","731"
"20190301","4","福祉プラザさくら川","32","825","890","693","467","326","633","3866"
"20190301","5","エコプラザ","55","611","1095","1071","816","524","684","4856"
"20190301","6","障害保健福祉センター","51","724","1583","1306","798","359","397","5218"
"20190301","7","芝小学校","68","927","1637","1347","910","624","819","6332"
"20190301","8","港勤労福祉会館","18","323","403","341","292","275","859","2511"
"20190301","9","芝浦港南地区総合支所","56","1131","1860","1352","893","579","768","6639"
"20190301","10","三田中学校","46","271","325","300","218","175","287","1622"
"20190301","11","赤羽小学校","89","688","1150","1352","974","598","976","5827"
"20190301","12","豊岡いきいきプラザ","102","819","1294","1358","1065","724","996","6358"
"20190301","13","御田小学校","36","283","467","597","431","338","512","2664"
"20190301","14","旧三光小学校（三光学童クラブ）","135","1187","2170","2437","1794","1118","1635","10476"
"20190301","15","旧神応小学校","70","646","1030","1172","851","601","1074","5444"
"20190301","16","白金小学校","142","893","1572","1785","1428","1011","1566","8397"
"20190301","17","高輪台小学校","117","852","1492","1827","1394","864","1489","8035"
"20190301","18","シティハイツ桂坂","56","542","937","1030","743","528","869","4705"
"20190301","19","国民生活センタ－","71","610","711","1023","872","609","963","4859"
"20190301","20","港南小学校","135","570","1235","2347","1411","782","1438","7918"
"20190301","21","六本木中学校","35","467","743","765","526","400","660","3596"
"20190301","22","麻布小学校","70","668","1117","1308","1058","555","828","5604"
"20190301","23","飯倉いきいきプラザ","58","883","1377","1255","724","411","647","5355"
"20190301","24","南山小学校","71","681","945","1048","870","528","811","4954"
"20190301","25","南麻布いきいきプラザ","97","1380","2570","2473","1432","858","1159","9969"
"20190301","26","本村小学校","82","590","966","1209","878","564","1036","5325"
"20190301","27","笄小学校","76","554","1043","1278","958","640","980","5529"
"20190301","28","西麻布いきいきプラザ","42","510","750","725","490","305","534","3356"
"20190301","29","高陵中学校","67","342","538","786","633","410","581","3357"
"20190301","30","赤坂地区総合支所","33","477","540","578","501","338","444","2911"
"20190301","31","赤坂子ども中高生プラザ","58","846","1540","1351","990","644","842","6271"
"20190301","32","赤坂小学校","67","592","1050","1293","979","690","1097","5768"
"20190301","33","赤坂図書館","42","213","413","532","409","335","637","2581"
"20190301","34","青山小学校","41","239","412","630","524","383","871","3100"
"20190301","35","青南小学校","85","579","1086","1358","1106","810","1312","6336"
"20190301","36","青山児童館","17","69","112","138","186","167","341","1030"
"20190301","37","お台場学園","96","437","587","1138","1103","408","433","4202"
"20190301","38","芝浦港南区民センター","94","676","1607","1609","1090","614","842","6532"
"20190301","39","品川インターシティB棟","23","171","451","572","477","273","262","2229"
"20190301","40","芝浦アイランド児童高齢者交流プラザ","94","767","1851","2312","1350","569","658","7601"
"20190301","41","シティハイツ港南","103","464","1014","1632","1100","529","694","5536"
"20190301",,"在外選挙人名簿","1","26","142","357","317","149","156","1148"

"投票区別年代別名簿登録者数　平成31年3月1日時点","Ver201903",,,,,,,,,
