"年度","芝 三田[人]","芝 神明[人]","芝 虎ノ門（とらトピア）[人]","麻布 南麻布[人]","麻布 本村[人]","麻布 ありす[人]","麻布 麻布[人]","麻布 西麻布[人]","麻布 飯倉[人]","赤坂 赤坂[人]","赤坂 青山[人]","赤坂 青南[人]","高輪 豊岡[人]","高輪 高輪[人]","高輪 白金[人]","高輪 白金台[人]","芝浦港南 港南（ゆとりーむ）[人]"
"2013","74363","147446","90973","42678","18998",,"16945","19262","28436","17981","68635","23634","28692","37943","33613","74696","95029"
"2014","86214","157921","91826","35368","8637","41141","17679","26139","31327","17141","69051","24326","27793","41007","34828","82077","100427"
"2015","88593","162854","97546","43441",,"100816","17601","48711","31585","18966","70365","24768","25989","45087","38625","88201","100442"
"2016","84919","157863","101621","47554",,"113626","17081","54491","31121","22196","71777","23355","26964","46408","41462","85126","98451"
"2017","83927","161060","101801","50578",,"130552","17581","61763","31925","23273","73101","23627","29923","47367","47062","86153","106024"

"平成30年度港区行政資料集　施設利用状況一覧 いきいきプラザ","Ver201803",,,,,,,,,,,,,,,,
