1,東京都生計分析調査　令和 5年 1月,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第１表　生計支出７分位階層別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
7,0,0,0,0,0,調査世帯数,590,-,-,86,-,85,-,81,-,85,-,85,-,83,-,85,-
8,0,0,0,0,0,世帯人員,2.93,-,-,2.5,-,2.86,-,2.88,-,2.84,-,2.83,-,3.13,-,3.43,-
9,0,0,0,0,0,有業人員,1.45,-,-,1.05,-,1.21,-,1.31,-,1.59,-,1.41,-,1.72,-,1.82,-
10,0,0,0,0,0,世帯主平均年齢,59.7,-,-,66.5,-,60.8,-,62.2,-,58.4,-,56.9,-,58.1,-,55,-
11,2,2,0,0,0,生計支出,342467,-,9.3,110891,-,177665,-,234053,-,291004,-,349521,-,434718,-,792565,-
12,2,3,0,0,0,消費支出,342467,100,9.3,110891,100,177665,100,234053,100,291004,100,349521,100,434718,100,792565,100
13,2,4,1,0,0,食料,91487,26.7,11.7,51698,46.6,65794,37,75040,32.1,89566,30.8,93349,26.7,123826,28.5,140180,17.7
14,2,5,1,1,0,穀類,6845,2,10.9,4970,4.5,5936,3.3,5675,2.4,7030,2.4,6681,1.9,8644,2,8930,1.1
15,2,6,1,1,1,米類,1601,0.5,7.2,1597,1.4,1441,0.8,1261,0.5,1439,0.5,1582,0.5,1618,0.4,2262,0.3
16,2,6,1,1,2,パン,3054,0.9,16.1,2003,1.8,2535,1.4,2532,1.1,3233,1.1,2984,0.9,4344,1,3728,0.5
17,2,6,1,1,3,麺類,1611,0.5,4.5,1017,0.9,1356,0.8,1517,0.6,1910,0.7,1589,0.5,1785,0.4,2089,0.3
18,2,6,1,1,4,他の穀類,579,0.2,13.3,353,0.3,604,0.3,365,0.2,448,0.2,525,0.2,897,0.2,852,0.1
19,2,5,1,2,0,魚介類,5940,1.7,-1,5075,4.6,4726,2.7,6290,2.7,6046,2.1,5224,1.5,7148,1.6,7070,0.9
20,2,6,1,2,1,生鮮魚介,3256,1,-10.3,2744,2.5,2602,1.5,3704,1.6,3281,1.1,2610,0.7,3959,0.9,3893,0.5
21,2,6,1,2,2,塩干魚介,1117,0.3,16.8,900,0.8,952,0.5,1151,0.5,1208,0.4,1039,0.3,1337,0.3,1227,0.2
22,2,6,1,2,3,魚肉練製品,692,0.2,10.5,687,0.6,629,0.4,632,0.3,751,0.3,613,0.2,726,0.2,808,0.1
23,2,6,1,2,4,他の魚介加工品,876,0.3,10.9,744,0.7,543,0.3,803,0.3,806,0.3,961,0.3,1126,0.3,1143,0.1
24,2,5,1,3,0,肉類,8770,2.6,5.4,5826,5.3,6900,3.9,7785,3.3,9209,3.2,8461,2.4,11476,2.6,11676,1.5
25,2,6,1,3,1,生鮮肉,7296,2.1,5.4,4787,4.3,5828,3.3,6660,2.8,7643,2.6,6657,1.9,9562,2.2,9885,1.2
26,2,6,1,3,2,加工肉,1475,0.4,5.1,1039,0.9,1071,0.6,1124,0.5,1566,0.5,1804,0.5,1913,0.4,1792,0.2
27,2,5,1,4,0,乳卵類,4482,1.3,3,3208,2.9,3839,2.2,3879,1.7,4215,1.4,4403,1.3,5620,1.3,6176,0.8
28,2,6,1,4,1,牛乳,1350,0.4,3.2,862,0.8,1318,0.7,968,0.4,1342,0.5,1273,0.4,1498,0.3,2173,0.3
29,2,6,1,4,2,乳製品,2213,0.6,-1.9,1583,1.4,1757,1,2074,0.9,1965,0.7,2180,0.6,2972,0.7,2949,0.4
30,2,6,1,4,3,卵,919,0.3,16.6,763,0.7,764,0.4,837,0.4,908,0.3,950,0.3,1151,0.3,1053,0.1
31,2,5,1,5,0,野菜・海藻,9652,2.8,-0.7,7140,6.4,8248,4.6,8812,3.8,10209,3.5,9729,2.8,11609,2.7,11763,1.5
32,2,6,1,5,1,生鮮野菜,6709,2,-0.1,4955,4.5,5552,3.1,6018,2.6,7178,2.5,6697,1.9,8087,1.9,8439,1.1
33,2,6,1,5,2,乾物・海藻,653,0.2,-12.8,464,0.4,659,0.4,525,0.2,694,0.2,765,0.2,725,0.2,736,0.1
34,2,6,1,5,3,大豆加工品,1129,0.3,3,879,0.8,1032,0.6,1002,0.4,1166,0.4,1261,0.4,1244,0.3,1314,0.2
35,2,6,1,5,4,他の野菜・海藻加工品,1160,0.3,-0.2,842,0.8,1005,0.6,1268,0.5,1171,0.4,1006,0.3,1553,0.4,1274,0.2
36,2,5,1,6,0,果物,3587,1,6,2769,2.5,3297,1.9,3857,1.6,3036,1,3764,1.1,4175,1,4198,0.5
37,2,6,1,6,1,生鮮果物,3148,0.9,4.3,2521,2.3,2818,1.6,3234,1.4,2723,0.9,3310,0.9,3626,0.8,3794,0.5
38,2,6,1,6,2,果物加工品,439,0.1,20.3,248,0.2,480,0.3,623,0.3,313,0.1,454,0.1,549,0.1,404,0.1
39,2,5,1,7,0,油脂・調味料,4016,1.2,1,2437,2.2,3094,1.7,3921,1.7,4150,1.4,3770,1.1,5637,1.3,5077,0.6
40,2,6,1,7,1,油脂,362,0.1,-14.4,215,0.2,279,0.2,403,0.2,409,0.1,361,0.1,457,0.1,410,0.1
41,2,6,1,7,2,調味料,3654,1.1,2.8,2222,2,2815,1.6,3517,1.5,3741,1.3,3410,1,5180,1.2,4667,0.6
42,2,5,1,8,0,菓子類,7429,2.2,7.4,3885,3.5,5378,3,6467,2.8,7257,2.5,7864,2.2,9809,2.3,11263,1.4
