1,東京都生計分析調査　令和 5年 1月,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第４表　年間収入区分別及び住居所有形態別１世帯当たり１か月間の収入と用途別生計支出　―　無職世帯　―　,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,-,7806,-,3058,-,2196,-,6942,-,5610,-,2194,-
7,0,0,0,0,0,調査世帯数,180,-,-,144,-,53,-,39,-,127,-,105,-,36,-
8,0,0,0,0,0,世帯人員,2.32,-,-,2.32,-,2.27,-,2.38,-,2.34,-,2.3,-,2.3,-
9,0,0,0,0,0,有業人員,0.47,-,-,0.45,-,0.35,-,0.38,-,0.52,-,0.48,-,0.52,-
10,0,0,0,0,0,世帯主平均年齢,75.1,-,-,75.7,-,76.4,-,77.5,-,74.5,-,75,-,72.9,-
11,1,0,0,0,0,受取,467633,-,-8.4,479057,-,315463,-,315806,-,534658,-,542956,-,426995,-
12,1,1,0,0,0,実収入,68093,100,30.7,56435,100,48351,100,31492,100,76789,100,66198,100,109565,100
13,1,2,0,0,0,経常収入,58129,85.4,20.3,47556,84.3,33802,69.9,20093,63.8,68845,89.7,58305,88.1,95744,87.4
14,1,3,0,0,0,勤め先収入,34975,51.4,28,29703,52.6,15321,31.7,16986,53.9,43631,56.8,34681,52.4,53727,49
15,1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,1,4,0,0,0,世帯主の配偶者の収入,20618,30.3,165.3,20524,36.4,14298,29.6,15561,49.4,23401,30.5,22467,33.9,20950,19.1
21,1,6,0,0,0,うち女,20618,30.3,165.3,20524,36.4,14298,29.6,15561,49.4,23401,30.5,22467,33.9,20950,19.1
22,1,4,0,0,0,他の世帯員収入,14357,21.1,-26.6,9179,16.3,1023,2.1,1425,4.5,20230,26.3,12214,18.5,32777,29.9
23,1,3,0,0,0,事業・内職収入,7292,10.7,-20.3,7402,13.1,2983,6.2,2899,9.2,9189,12,9164,13.8,6899,6.3
24,1,4,0,0,0,家賃収入,3466,5.1,-25.3,3451,6.1,2082,4.3,2899,9.2,4075,5.3,3667,5.5,3517,3.2
25,1,4,0,0,0,他の事業収入,605,0.9,-17,177,0.3,-,-,-,-,871,1.1,246,0.4,2126,1.9
26,1,4,0,0,0,内職収入,3221,4.7,-14.8,3774,6.7,901,1.9,-,-,4243,5.5,5251,7.9,1256,1.1
27,1,3,0,0,0,他の経常収入,15863,23.3,34,10451,18.5,15497,32.1,207,0.7,16025,20.9,14460,21.8,35118,32.1
28,1,4,0,0,0,財産収入,3936,5.8,-22.1,5035,8.9,-,-,-,-,5669,7.4,7006,10.6,24,0
29,1,4,0,0,0,社会保障給付,11195,16.4,72.5,5385,9.5,15418,31.9,97,0.3,9335,12.2,7454,11.3,31865,29.1
30,1,5,0,0,0,公的年金給付,7924,11.6,137.6,4139,7.3,15349,31.7,-,-,4654,6.1,5759,8.7,21389,19.5
31,1,5,0,0,0,他の社会保障給付,3271,4.8,3.7,1245,2.2,70,0.1,97,0.3,4681,6.1,1695,2.6,10476,9.6
32,1,4,0,0,0,仕送り金,733,1.1,144.3,31,0.1,79,0.2,110,0.3,1021,1.3,-,-,3229,2.9
33,1,2,0,0,0,特別収入,9964,14.6,162.7,8879,15.7,14549,30.1,11400,36.2,7944,10.3,7893,11.9,13821,12.6
34,1,3,0,0,0,受贈金,5504,8.1,233.6,4672,8.3,10366,21.4,8379,26.6,3362,4.4,3221,4.9,8463,7.7
35,1,3,0,0,0,他の特別収入,4460,6.5,108.1,4207,7.5,4183,8.7,3020,9.6,4582,6,4672,7.1,5358,4.9
36,1,1,0,0,0,実収入以外の受取(繰入金を除く),289715,-,-9.5,297832,-,185867,-,194031,-,335455,-,338462,-,260837,-
37,1,2,0,0,0,預貯金引出,224836,-,-9.5,226956,-,149848,-,148092,-,257866,-,257824,-,217296,-
38,1,2,0,0,0,保険金,5751,-,-68.6,7368,-,-,-,-,-,8284,-,10252,-,-,-
39,1,3,0,0,0,個人・企業年金保険金,5751,-,-67.4,7368,-,-,-,-,-,8284,-,10252,-,-,-
40,1,3,0,0,0,他の保険金,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-
41,1,2,0,0,0,有価証券売却,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-
42,1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,1,2,0,0,0,他の借入金,102,-,209.1,-,-,-,-,-,-,146,-,-,-,463,-
44,1,2,0,0,0,クレジット購入借入金,57754,-,9.8,62233,-,32801,-,41457,-,68745,-,70365,-,41822,-
45,1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,1,2,0,0,0,実収入以外の受取のその他,1272,-,406.8,1276,-,3219,-,4482,-,414,-,21,-,1256,-
47,1,1,0,0,0,繰入金,109826,-,-20.5,124790,-,81244,-,90283,-,122414,-,138297,-,56592,-
48,2,0,0,0,0,支払,467633,-,-8.4,479057,-,315463,-,315806,-,534658,-,542956,-,426995,-
49,2,1,0,0,0,実支出,274961,-,-0.3,280690,-,195081,-,206981,-,310146,-,309540,-,254585,-
50,2,2,0,0,0,生計支出,256231,-,1.1,261484,-,188441,-,200314,-,286089,-,285426,-,237545,-
51,2,3,0,0,0,消費支出,256231,100,1.1,261484,100,188441,100,200314,100,286089,100,285426,100,237545,100
52,2,4,1,0,0,食料,73509,28.7,2.8,77267,29.5,54028,28.7,57630,28.8,82089,28.7,84954,29.8,60139,25.3
53,2,5,1,1,0,穀類,5836,2.3,-0.8,5755,2.2,5150,2.7,5132,2.6,6138,2.1,5999,2.1,6123,2.6
54,2,6,1,1,1,米類,1526,0.6,-4.3,1455,0.6,1451,0.8,1537,0.8,1559,0.5,1423,0.5,1778,0.7
55,2,6,1,1,2,パン,2530,1,1.8,2548,1,2256,1.2,2002,1,2651,0.9,2761,1,2469,1
