1,東京都生計分析調査　令和 5年 6月,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第１表　生計支出７分位階層別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
7,0,0,0,0,0,調査世帯数,617,-,-,87,-,88,-,88,-,91,-,87,-,86,-,90,-
8,0,0,0,0,0,世帯人員,2.96,-,-,2.59,-,3.05,-,2.83,-,2.88,-,3.18,-,3.04,-,3.15,-
9,0,0,0,0,0,有業人員,1.40,-,-,1.13,-,1.45,-,1.27,-,1.42,-,1.64,-,1.27,-,1.63,-
10,0,0,0,0,0,世帯主平均年齢,59.6,-,-,63.4,-,57.4,-,65.4,-,59.0,-,56.2,-,57.5,-,58.5,-
11,2,2,0,0,0,生計支出,315648,-,7.1,101273,-,157681,-,206901,-,254931,-,314063,-,402229,-,769151,-
12,2,3,0,0,0,消費支出,315648,100.0,9.7,101273,100.0,157681,100.0,206901,100.0,254931,100.0,314063,100.0,402229,100.0,769151,100.0
13,2,4,1,0,0,食料,92262,29.2,8.9,53060,52.4,72452,45.9,84445,40.8,86233,33.8,102789,32.7,116464,29.0,129873,16.9
14,2,5,1,1,0,穀類,7067,2.2,9.7,4755,4.7,6101,3.9,6565,3.2,6978,2.7,7946,2.5,7639,1.9,9453,1.2
15,2,6,1,1,1,米類,1551,0.5,-3.2,1096,1.1,1379,0.9,1366,0.7,1304,0.5,1760,0.6,1725,0.4,2220,0.3
16,2,6,1,1,2,パン,3235,1.0,13.3,2030,2.0,2791,1.8,2959,1.4,3263,1.3,3649,1.2,3419,0.9,4516,0.6
17,2,6,1,1,3,麺類,1834,0.6,14.6,1381,1.4,1545,1.0,1875,0.9,2041,0.8,1901,0.6,1896,0.5,2195,0.3
18,2,6,1,1,4,他の穀類,447,0.1,16.1,249,0.2,385,0.2,365,0.2,370,0.1,637,0.2,599,0.1,523,0.1
19,2,5,1,2,0,魚介類,5924,1.9,1.2,4268,4.2,5787,3.7,6203,3.0,5109,2.0,6595,2.1,6188,1.5,7296,0.9
20,2,6,1,2,1,生鮮魚介,3385,1.1,0.6,2410,2.4,3138,2.0,3657,1.8,2880,1.1,3736,1.2,3691,0.9,4174,0.5
21,2,6,1,2,2,塩干魚介,1059,0.3,3.9,843,0.8,1195,0.8,1080,0.5,918,0.4,1202,0.4,1004,0.2,1167,0.2
22,2,6,1,2,3,魚肉練製品,576,0.2,-1.2,410,0.4,590,0.4,629,0.3,575,0.2,548,0.2,693,0.2,586,0.1
23,2,6,1,2,4,他の魚介加工品,903,0.3,1.8,606,0.6,863,0.5,838,0.4,736,0.3,1109,0.4,800,0.2,1369,0.2
24,2,5,1,3,0,肉類,8801,2.8,16.0,5725,5.7,8484,5.4,7644,3.7,8282,3.2,9778,3.1,10137,2.5,11518,1.5
25,2,6,1,3,1,生鮮肉,7190,2.3,18.4,4812,4.8,7113,4.5,6151,3.0,6609,2.6,8022,2.6,8127,2.0,9469,1.2
26,2,6,1,3,2,加工肉,1611,0.5,6.4,912,0.9,1371,0.9,1493,0.7,1673,0.7,1756,0.6,2010,0.5,2049,0.3
27,2,5,1,4,0,乳卵類,4702,1.5,11.2,2760,2.7,4082,2.6,4707,2.3,4288,1.7,5576,1.8,5826,1.4,5652,0.7
28,2,6,1,4,1,牛乳,1391,0.4,4.6,930,0.9,1138,0.7,1434,0.7,1083,0.4,1618,0.5,1836,0.5,1692,0.2
29,2,6,1,4,2,乳製品,2208,0.7,6.0,1052,1.0,1798,1.1,2182,1.1,2181,0.9,2792,0.9,2730,0.7,2705,0.4
30,2,6,1,4,3,卵,1104,0.3,35.3,778,0.8,1146,0.7,1091,0.5,1024,0.4,1166,0.4,1261,0.3,1256,0.2
31,2,5,1,5,0,野菜・海藻,10908,3.5,3.9,8043,7.9,9479,6.0,11301,5.5,9874,3.9,11501,3.7,12227,3.0,13893,1.8
32,2,6,1,5,1,生鮮野菜,7636,2.4,1.3,5640,5.6,6771,4.3,7912,3.8,6957,2.7,8180,2.6,8583,2.1,9381,1.2
33,2,6,1,5,2,乾物・海藻,783,0.2,13.6,561,0.6,629,0.4,734,0.4,650,0.3,820,0.3,966,0.2,1120,0.1
34,2,6,1,5,3,大豆加工品,1232,0.4,13.5,1008,1.0,1058,0.7,1340,0.6,1110,0.4,1216,0.4,1255,0.3,1632,0.2
35,2,6,1,5,4,他の野菜・海藻加工品,1257,0.4,5.3,833,0.8,1021,0.6,1314,0.6,1157,0.5,1285,0.4,1424,0.4,1760,0.2
36,2,5,1,6,0,果物,3674,1.2,14.2,2061,2.0,2697,1.7,3867,1.9,3089,1.2,3820,1.2,5300,1.3,4861,0.6
37,2,6,1,6,1,生鮮果物,3351,1.1,17.6,1949,1.9,2554,1.6,3607,1.7,2780,1.1,3419,1.1,4939,1.2,4190,0.5
38,2,6,1,6,2,果物加工品,323,0.1,-12.0,112,0.1,143,0.1,260,0.1,309,0.1,401,0.1,362,0.1,671,0.1
39,2,5,1,7,0,油脂・調味料,4117,1.3,6.8,2600,2.6,3709,2.4,4071,2.0,3841,1.5,4453,1.4,4871,1.2,5252,0.7
40,2,6,1,7,1,油脂,486,0.2,7.5,364,0.4,419,0.3,445,0.2,502,0.2,515,0.2,562,0.1,595,0.1
41,2,6,1,7,2,調味料,3630,1.2,6.7,2235,2.2,3290,2.1,3625,1.8,3339,1.3,3938,1.3,4309,1.1,4657,0.6
42,2,5,1,8,0,菓子類,7574,2.4,10.2,4566,4.5,6053,3.8,6981,3.4,6979,2.7,8075,2.6,9592,2.4,10732,1.4
43,2,5,1,9,0,調理食品,13064,4.1,5.2,6848,6.8,9824,6.2,13003,6.3,12685,5.0,13556,4.3,17052,4.2,18391,2.4
44,2,6,1,9,1,主食的調理食品,5671,1.8,3.9,3146,3.1,3943,2.5,5835,2.8,5624,2.2,5588,1.8,6968,1.7,8553,1.1
45,2,6,1,9,2,他の調理食品,7393,2.3,6.2,3702,3.7,5882,3.7,7168,3.5,7061,2.8,7968,2.5,10084,2.5,9838,1.3
46,2,5,1,10,0,飲料,6097,1.9,10.6,2940,2.9,4866,3.1,5287,2.6,5485,2.2,7231,2.3,7354,1.8,9476,1.2
47,2,6,1,10,1,茶類,1243,0.4,0.2,754,0.7,1047,0.7,1185,0.6,1478,0.6,1356,0.4,1090,0.3,1788,0.2
48,2,6,1,10,2,コーヒー・ココア,1158,0.4,9.9,648,0.6,719,0.5,867,0.4,928,0.4,1253,0.4,1401,0.3,2282,0.3
49,2,6,1,10,3,他の飲料,3696,1.2,14.9,1537,1.5,3100,2.0,3235,1.6,3080,1.2,4622,1.5,4863,1.2,5406,0.7
50,2,5,1,11,0,酒類,4277,1.4,19.1,2167,2.1,3176,2.0,4608,2.2,4270,1.7,5092,1.6,4775,1.2,5824,0.8
51,2,5,1,12,0,外食,16057,5.1,9.8,6327,6.2,8194,5.2,10209,4.9,15354,6.0,19166,6.1,25503,6.3,27524,3.6
52,2,6,1,12,1,一般外食,15464,4.9,14.5,6327,6.2,7926,5.0,10007,4.8,14538,5.7,18428,5.9,24225,6.0,26685,3.5
53,2,6,1,12,2,学校給食,593,0.2,-46.8,-,-,268,0.2,202,0.1,817,0.3,738,0.2,1278,0.3,839,0.1
54,2,4,2,0,0,住居,29384,9.3,32.2,1415,1.4,4662,3.0,10171,4.9,17990,7.1,21830,7.0,29834,7.4,119289,15.5
55,2,5,2,1,0,家賃地代,14169,4.5,-8.8,858,0.8,3897,2.5,8232,4.0,15137,5.9,18925,6.0,22617,5.6,29349,3.8
56,2,5,2,2,0,設備修繕・維持,15215,4.8,127.4,557,0.5,765,0.5,1939,0.9,2853,1.1,2905,0.9,7218,1.8,89940,11.7
