1,東京都生計分析調査　令和 5年 6月,,,,,,,,,,,,,,,,,,,
2,,,,第１６表　生計支出７分位階層別１世帯当たり１か月間の財・サービス別支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,注1)財・サービス別結果は、品目別分類を再分類して集計した。,,,,,,,,,,,,,,,,
4,,,,注2)消費支出には、「こづかい」、「贈与金」、「他の交際費」及び「仕送り金」は含まれていない。,,,,,,,,,,,,,,,,
5,,,,項目（0：世帯数等、消費支出等　1：耐久財　2：半耐久財　3：非耐久財　4：サービス）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
6,区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
17,1,0,サービス,138642,46.1,18.0,24380,24.9,45717,29.7,65758,32.9,97674,40.8,122310,41.5,189456,50.2,423315,57.4
18,2,0,食料,97206,32.4,10.0,54212,55.3,74093,48.2,88317,44.2,90337,37.8,108329,36.8,124924,33.1,139660,18.9
19,2,3,非耐久財,79351,26.4,9.1,47333,48.3,65767,42.8,77199,38.7,73425,30.7,87947,29.9,95777,25.4,107589,14.6
20,2,4,サービス,17855,5.9,14.1,6880,7.0,8326,5.4,11118,5.6,16912,7.1,20382,6.9,29147,7.7,32071,4.4
21,2,0,住居,29384,9.8,32.2,1415,1.4,4662,3.0,10171,5.1,17990,7.5,21830,7.4,29834,7.9,119289,16.2
22,2,1,耐久財,1288,0.4,-51.8,-,-,582,0.4,-,-,573,0.2,23,0.0,145,0.0,7662,1.0
23,2,2,半耐久財,594,0.2,197.0,221,0.2,100,0.1,273,0.1,417,0.2,101,0.0,564,0.1,2474,0.3
24,2,4,サービス,27502,9.2,42.1,1194,1.2,3979,2.6,9899,5.0,17000,7.1,21706,7.4,29126,7.7,109153,14.8
25,2,0,光熱・水道（非耐久財）,19347,6.4,-4.8,11474,11.7,16520,10.8,19453,9.7,19163,8.0,20158,6.8,21633,5.7,26916,3.7
26,2,0,家具・家事用品,13566,4.5,4.4,3377,3.4,5847,3.8,7819,3.9,8568,3.6,18236,6.2,17536,4.6,33458,4.5
27,2,1,耐久財,5273,1.8,2.6,224,0.2,948,0.6,1991,1.0,1124,0.5,7025,2.4,6455,1.7,19082,2.6
28,2,2,半耐久財,3514,1.2,-7.3,784,0.8,1943,1.3,2277,1.1,2621,1.1,6000,2.0,4446,1.2,6508,0.9
29,2,3,非耐久財,3883,1.3,10.8,2216,2.3,2881,1.9,3416,1.7,4257,1.8,4595,1.6,4925,1.3,4870,0.7
30,2,4,サービス,895,0.3,58.7,153,0.2,76,0.0,134,0.1,566,0.2,615,0.2,1710,0.5,2998,0.4
31,2,0,被服及び履物,11965,4.0,8.6,2198,2.2,4640,3.0,6861,3.4,12396,5.2,13026,4.4,14064,3.7,30427,4.1
32,2,2,半耐久財,11091,3.7,10.3,2138,2.2,4315,2.8,6372,3.2,11542,4.8,11812,4.0,13096,3.5,28228,3.8
33,2,4,サービス,874,0.3,-9.1,61,0.1,325,0.2,488,0.2,854,0.4,1215,0.4,967,0.3,2198,0.3
34,2,0,保健医療,16807,5.6,4.1,4503,4.6,7022,4.6,13694,6.9,11950,5.0,16564,5.6,23851,6.3,39876,5.4
35,2,1,耐久財,850,0.3,-20.6,47,0.0,2,0.0,989,0.5,325,0.1,1545,0.5,1274,0.3,1766,0.2
36,2,2,半耐久財,250,0.1,-13.2,81,0.1,74,0.0,188,0.1,240,0.1,396,0.1,253,0.1,513,0.1
37,2,3,非耐久財,5852,1.9,10.9,2632,2.7,3151,2.1,5248,2.6,5719,2.4,7106,2.4,9092,2.4,7977,1.1
38,2,4,サービス,9855,3.3,3.6,1743,1.8,3794,2.5,7269,3.6,5665,2.4,7517,2.6,13232,3.5,29621,4.0
39,2,0,交通・通信,34762,11.6,2.1,5992,6.1,11492,7.5,15462,7.7,25439,10.6,29292,10.0,36932,9.8,118235,16.0
40,2,1,耐久財,5553,1.8,-28.1,22,0.0,159,0.1,54,0.0,1264,0.5,484,0.2,558,0.1,36202,4.9
41,2,2,半耐久財,1011,0.3,3.8,135,0.1,396,0.3,202,0.1,725,0.3,486,0.2,1638,0.4,3479,0.5
42,2,3,非耐久財,2153,0.7,-1.0,451,0.5,1256,0.8,1621,0.8,1993,0.8,2768,0.9,3041,0.8,3921,0.5
43,2,4,サービス,26045,8.7,12.4,5384,5.5,9682,6.3,13584,6.8,21457,9.0,25554,8.7,31695,8.4,74634,10.1
44,2,0,教育,14824,4.9,14.3,1063,1.1,1356,0.9,526,0.3,2850,1.2,7941,2.7,20970,5.6,68793,9.3
45,2,3,非耐久財,72,0.0,0.0,-,-,-,-,8,0.0,48,0.0,121,0.0,121,0.0,205,0.0
46,2,4,サービス,14752,4.9,14.4,1063,1.1,1356,0.9,518,0.3,2802,1.2,7821,2.7,20850,5.5,68588,9.3
47,2,0,教養娯楽,36651,12.2,22.1,7627,7.8,13602,8.9,20541,10.3,30443,12.7,31254,10.6,51336,13.6,101270,13.7
48,2,1,耐久財,1889,0.6,53.2,10,0.0,245,0.2,532,0.3,1159,0.5,195,0.1,1310,0.3,9731,1.3
49,2,2,半耐久財,4242,1.4,16.0,1236,1.3,1612,1.0,2524,1.3,4386,1.8,4919,1.7,5779,1.5,9195,1.2
50,2,3,非耐久財,5439,1.8,8.4,2009,2.0,2673,1.7,6070,3.0,5111,2.1,6484,2.2,6202,1.6,9477,1.3
51,2,4,サービス,25082,8.3,24.7,4372,4.5,9071,5.9,11415,5.7,19787,8.3,19656,6.7,38045,10.1,72866,9.9
52,2,0,諸雑費,25906,8.6,5.7,6211,6.3,14438,9.4,16772,8.4,20071,8.4,27760,9.4,36559,9.7,59244,8.0
53,2,1,耐久財,375,0.1,-68.0,76,0.1,79,0.1,144,0.1,114,0.0,546,0.2,233,0.1,1430,0.2
54,2,2,半耐久財,3644,1.2,57.1,296,0.3,1047,0.7,597,0.3,1501,0.6,1910,0.6,2743,0.7,17345,2.4
55,2,3,非耐久財,6103,2.0,5.4,2308,2.4,4204,2.7,4697,2.4,5826,2.4,7460,2.5,8898,2.4,9283,1.3
56,2,4,サービス,15784,5.3,3.6,3530,3.6,9108,5.9,11334,5.7,12629,5.3,17844,6.1,24685,6.5,31185,4.2
