1,東京都生計分析調査　令和 5年 5月,,,,,,,,,,,,,,,,,,,
2,,,,,,,第９表　世帯類型別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,3385,-,5097,-,655,-,76,-,862,-,3668,-
7,0,0,0,0,0,調査世帯数,614,-,213,-,307,-,41,-,5,-,53,-,224,-
8,0,0,0,0,0,世帯人員,2.95,-,2.00,-,3.67,-,2.22,-,2.43,-,3.04,-,3.35,-
9,0,0,0,0,0,有業人員,1.43,-,0.88,-,1.84,-,1.05,-,0.43,-,1.44,-,2.23,-
10,0,0,0,0,0,世帯主平均年齢,59.3,-,67.3,-,53.1,-,69.5,-,38.7,-,56.8,-,51.9,-
11,2,2,0,0,0,生計支出,316448,-,292225,-,354992,-,206740,-,140480,-,267052,-,396338,-
12,2,3,0,0,0,消費支出,314270,100.0,285789,100.0,354992,100.0,206740,100.0,140480,100.0,267052,100.0,396338,100.0
13,2,4,1,0,0,食料,96374,30.7,89150,31.2,105839,29.8,77559,37.5,52245,37.2,83086,31.1,108512,27.4
14,2,5,1,1,0,穀類,7257,2.3,6166,2.2,8253,2.3,5266,2.5,2448,1.7,7162,2.7,8052,2.0
15,2,6,1,1,1,米類,1702,0.5,1277,0.4,2080,0.6,1134,0.5,193,0.1,1564,0.6,1939,0.5
16,2,6,1,1,2,パン,3358,1.1,3159,1.1,3616,1.0,2293,1.1,988,0.7,3421,1.3,3734,0.9
17,2,6,1,1,3,麺類,1764,0.6,1361,0.5,2036,0.6,1546,0.7,818,0.6,1900,0.7,1838,0.5
18,2,6,1,1,4,他の穀類,434,0.1,370,0.1,521,0.1,294,0.1,448,0.3,277,0.1,542,0.1
19,2,5,1,2,0,魚介類,6264,2.0,6237,2.2,6470,1.8,6276,3.0,2466,1.8,5147,1.9,5778,1.5
20,2,6,1,2,1,生鮮魚介,3647,1.2,3488,1.2,3905,1.1,3600,1.7,1365,1.0,2788,1.0,3492,0.9
21,2,6,1,2,2,塩干魚介,1138,0.4,1221,0.4,1097,0.3,1224,0.6,362,0.3,989,0.4,942,0.2
22,2,6,1,2,3,魚肉練製品,597,0.2,613,0.2,560,0.2,805,0.4,481,0.3,591,0.2,475,0.1
23,2,6,1,2,4,他の魚介加工品,882,0.3,914,0.3,908,0.3,648,0.3,259,0.2,780,0.3,868,0.2
24,2,5,1,3,0,肉類,9053,2.9,6907,2.4,11067,3.1,6093,2.9,3630,2.6,7824,2.9,10349,2.6
25,2,6,1,3,1,生鮮肉,7275,2.3,5506,1.9,8875,2.5,5134,2.5,3087,2.2,6390,2.4,8349,2.1
26,2,6,1,3,2,加工肉,1778,0.6,1401,0.5,2192,0.6,959,0.5,542,0.4,1434,0.5,1999,0.5
27,2,5,1,4,0,乳卵類,4935,1.6,4403,1.5,5669,1.6,3490,1.7,2675,1.9,3781,1.4,5215,1.3
28,2,6,1,4,1,牛乳,1380,0.4,1241,0.4,1580,0.4,1133,0.5,1081,0.8,929,0.3,1420,0.4
29,2,6,1,4,2,乳製品,2410,0.8,2155,0.8,2792,0.8,1539,0.7,713,0.5,1819,0.7,2621,0.7
30,2,6,1,4,3,卵,1145,0.4,1008,0.4,1297,0.4,818,0.4,881,0.6,1032,0.4,1175,0.3
31,2,5,1,5,0,野菜・海藻,10864,3.5,10713,3.7,11305,3.2,8906,4.3,6720,4.8,10338,3.9,10408,2.6
32,2,6,1,5,1,生鮮野菜,7646,2.4,7474,2.6,8022,2.3,6293,3.0,4399,3.1,7131,2.7,7471,1.9
33,2,6,1,5,2,乾物・海藻,706,0.2,637,0.2,773,0.2,644,0.3,613,0.4,626,0.2,650,0.2
34,2,6,1,5,3,大豆加工品,1232,0.4,1222,0.4,1279,0.4,899,0.4,1143,0.8,1244,0.5,1178,0.3
