1,"東京都生計分析調査　令和 5年 8月","","","","","","","","","","","","","","","","","","",""
2,"","","","","","","第９表　世帯類型別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　","","","","","","","","","","","","",""
3,"","","","","","","注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。","","","","","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　2：生計支出）","","","","","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","夫婦のみの世帯／実数（円）","夫婦のみの世帯／構成比（％）","夫婦と未婚の子供から成る世帯／実数（円）","夫婦と未婚の子供から成る世帯／構成比（％）","一人親と未婚の子供から成る世帯／実数（円）","一人親と未婚の子供から成る世帯／構成比（％）","一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）","一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）","その他／実数（円）","その他／構成比（％）","（再掲）夫婦共働き世帯／実数（円）","（再掲）夫婦共働き世帯／構成比（％）"
46,"2","5","1","10","0","飲料",6617,1.9,5583,1.6,7219,1.9,7005,2.9,12418,4.0,6670,2.7,7112,1.9
47,"2","6","1","10","1","茶類",1395,0.4,1178,0.3,1436,0.4,1628,0.7,1942,0.6,1784,0.7,1357,0.4
48,"2","6","1","10","2","コーヒー・ココア",1084,0.3,1046,0.3,1157,0.3,1070,0.4,2012,0.6,807,0.3,1220,0.3
49,"2","6","1","10","3","他の飲料",4138,1.2,3359,1.0,4626,1.2,4307,1.8,8465,2.7,4079,1.6,4535,1.2
50,"2","5","1","11","0","酒類",4582,1.3,5516,1.6,4271,1.1,4297,1.8,1199,0.4,3097,1.3,4134,1.1
51,"2","5","1","12","0","外食",20766,6.0,17284,5.0,25767,6.7,10415,4.3,22316,7.1,13378,5.4,27918,7.6
52,"2","6","1","12","1","一般外食",20160,5.8,17284,5.0,24606,6.4,10415,4.3,22316,7.1,13219,5.3,26580,7.2
53,"2","6","1","12","2","学校給食",606,0.2,-,-,1161,0.3,-,-,-,-,159,0.1,1338,0.4
54,"2","4","2","0","0","住居",37582,10.8,58108,16.8,27290,7.1,36382,15.2,21602,6.9,21087,8.5,29054,7.9
55,"2","5","2","1","0","家賃地代",13487,3.9,14639,4.2,13753,3.6,20128,8.4,21602,6.9,1794,0.7,14046,3.8
56,"2","5","2","2","0","設備修繕・維持",24094,6.9,43469,12.6,13537,3.5,16254,6.8,-,-,19293,7.8,15007,4.1
57,"2","6","2","2","1","設備材料",14286,4.1,26509,7.7,8347,2.2,69,0.0,-,-,14966,6.1,9800,2.7
58,"2","6","2","2","2","工事その他のサービス",9808,2.8,16960,4.9,5190,1.4,16186,6.8,-,-,4327,1.7,5208,1.4
59,"2","4","3","0","0","光熱・水道",17684,5.1,15249,4.4,18873,4.9,17786,7.4,19098,6.1,19868,8.0,17721,4.8
60,"2","5","3","1","0","電気代",9368,2.7,7979,2.3,10094,2.6,9230,3.9,6510,2.1,10494,4.2,9490,2.6
61,"2","5","3","2","0","ガス代",3225,0.9,2989,0.9,3299,0.9,3392,1.4,4433,1.4,3545,1.4,2975,0.8
62,"2","5","3","3","0","他の光熱",27,0.0,50,0.0,15,0.0,7,0.0,-,-,31,0.0,42,0.0
63,"2","5","3","4","0","上下水道料",5064,1.5,4231,1.2,5465,1.4,5157,2.2,8155,2.6,5798,2.3,5215,1.4
64,"2","4","4","0","0","家具・家事用品",16113,4.6,17364,5.0,18061,4.7,7878,3.3,15847,5.1,6875,2.8,12572,3.4
65,"2","5","4","1","0","家庭用耐久財",7554,2.2,9329,2.7,8613,2.2,638,0.3,-,-,447,0.2,3974,1.1
66,"2","6","4","1","1","家事用耐久財",2119,0.6,2573,0.7,2357,0.6,492,0.2,-,-,371,0.1,410,0.1
67,"2","6","4","1","2","冷暖房用器具",3133,0.9,6647,1.9,1815,0.5,146,0.1,-,-,76,0.0,3304,0.9
68,"2","6","4","1","3","一般家具",2302,0.7,108,0.0,4441,1.2,-,-,-,-,-,-,260,0.1
69,"2","5","4","2","0","室内装備・装飾品",917,0.3,172,0.0,1491,0.4,61,0.0,-,-,1099,0.4,718,0.2
70,"2","5","4","3","0","寝具類",950,0.3,1088,0.3,965,0.3,1118,0.5,797,0.3,191,0.1,1350,0.4
71,"2","5","4","4","0","家事雑貨",2325,0.7,2473,0.7,2505,0.7,1155,0.5,6574,2.1,1700,0.7,2520,0.7
72,"2","5","4","5","0","家事用消耗品",3470,1.0,2762,0.8,3960,1.0,3493,1.5,8476,2.7,3264,1.3,3559,1.0
73,"2","5","4","6","0","家事サービス",896,0.3,1542,0.4,526,0.1,1414,0.6,-,-,175,0.1,451,0.1
74,"2","4","5","0","0","被服及び履物",8695,2.5,8519,2.5,9994,2.6,5094,2.1,10526,3.4,4776,1.9,9567,2.6
75,"2","5","5","1","0","和服",9,0.0,17,0.0,6,0.0,-,-,-,-,-,-,25,0.0
76,"2","5","5","2","0","洋服",3180,0.9,2418,0.7,4187,1.1,1536,0.6,4176,1.3,1543,0.6,2932,0.8
77,"2","6","5","2","1","男子用洋服",1523,0.4,1093,0.3,2191,0.6,267,0.1,-,-,294,0.1,730,0.2
78,"2","6","5","2","2","婦人用洋服",1321,0.4,1291,0.4,1377,0.4,1199,0.5,3221,1.0,1203,0.5,1723,0.5
79,"2","6","5","2","3","子供用洋服",336,0.1,34,0.0,618,0.2,70,0.0,955,0.3,46,0.0,479,0.1
80,"2","5","5","3","0","シャツ・セーター類",1915,0.5,2501,0.7,1764,0.5,1627,0.7,2183,0.7,815,0.3,2699,0.7
81,"2","6","5","3","1","男子用シャツ・セーター類",793,0.2,1264,0.4,702,0.2,221,0.1,-,-,19,0.0,1074,0.3
82,"2","6","5","3","2","婦人用シャツ・セーター類",1023,0.3,1237,0.4,887,0.2,1406,0.6,2183,0.7,680,0.3,1466,0.4
83,"2","6","5","3","3","子供用シャツ・セーター類",99,0.0,-,-,175,0.0,-,-,-,-,116,0.0,160,0.0
84,"2","5","5","4","0","下着類",656,0.2,695,0.2,735,0.2,349,0.1,-,-,301,0.1,853,0.2
85,"2","6","5","4","1","男子用下着類",150,0.0,145,0.0,186,0.0,24,0.0,-,-,67,0.0,190,0.1
86,"2","6","5","4","2","婦人用下着類",453,0.1,549,0.2,447,0.1,324,0.1,-,-,234,0.1,604,0.2
87,"2","6","5","4","3","子供用下着類",53,0.0,-,-,103,0.0,-,-,-,-,-,-,59,0.0
88,"2","5","5","5","0","生地・糸類",67,0.0,66,0.0,76,0.0,8,0.0,-,-,64,0.0,60,0.0
89,"2","5","5","6","0","他の被服",519,0.1,490,0.1,555,0.1,381,0.2,3068,1.0,533,0.2,655,0.2
90,"2","5","5","7","0","履物類",1558,0.4,1577,0.5,1681,0.4,865,0.4,878,0.3,1356,0.5,1712,0.5
91,"2","5","5","8","0","被服関連サービス",793,0.2,757,0.2,989,0.3,328,0.1,221,0.1,164,0.1,630,0.2
92,"2","4","6","0","0","保健医療",17077,4.9,19909,5.8,16727,4.4,10322,4.3,10178,3.2,14132,5.7,15687,4.2
93,"2","5","6","1","0","医薬品",2559,0.7,3064,0.9,2417,0.6,2453,1.0,2895,0.9,1565,0.6,2600,0.7
94,"2","5","6","2","0","健康保持用摂取品",1102,0.3,1436,0.4,1029,0.3,455,0.2,249,0.1,814,0.3,931,0.3
95,"2","5","6","3","0","保健医療用品・器具",3934,1.1,5682,1.6,3435,0.9,2543,1.1,7033,2.2,1399,0.6,3609,1.0
96,"2","5","6","4","0","保健医療サービス",9482,2.7,9727,2.8,9846,2.6,4872,2.0,-,-,10354,4.2,8547,2.3
97,"2","4","7","0","0","交通・通信",38813,11.1,32342,9.3,46851,12.2,22048,9.2,41928,13.4,30386,12.3,47386,12.8
98,"2","5","7","1","0","交通",13197,3.8,9827,2.8,16776,4.4,5567,2.3,17279,5.5,11452,4.6,18144,4.9
99,"2","5","7","2","0","自動車等関係費",12417,3.6,10785,3.1,15167,4.0,4222,1.8,6625,2.1,9427,3.8,15658,4.2
100,"2","6","7","2","1","自動車等購入",-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,"2","6","7","2","2","自転車購入",1374,0.4,-,-,2694,0.7,-,-,-,-,-,-,2013,0.5
102,"2","6","7","2","3","自動車等維持",11043,3.2,10785,3.1,12473,3.3,4222,1.8,6625,2.1,9427,3.8,13644,3.7
103,"2","5","7","3","0","通信",13199,3.8,11731,3.4,14908,3.9,12260,5.1,18024,5.7,9507,3.8,13585,3.7
104,"2","4","8","0","0","教育",7693,2.2,-,-,14934,3.9,236,0.1,454,0.1,639,0.3,12251,3.3
105,"2","5","8","1","0","授業料等",4373,1.3,-,-,8481,2.2,-,-,-,-,527,0.2,6850,1.9
106,"2","5","8","2","0","教科書・学習参考教材",40,0.0,-,-,74,0.0,33,0.0,454,0.1,-,-,51,0.0
107,"2","5","8","3","0","補習教育",3280,0.9,-,-,6379,1.7,203,0.1,-,-,112,0.0,5350,1.4
108,"2","4","9","0","0","教養娯楽",45493,13.0,40860,11.8,55268,14.4,20480,8.5,55459,17.7,26851,10.9,55566,15.0
109,"2","5","9","1","0","教養娯楽用耐久財",5113,1.5,4666,1.3,6610,1.7,79,0.0,-,-,2289,0.9,5075,1.4
110,"2","5","9","2","0","教養娯楽用品",7756,2.2,7292,2.1,8343,2.2,4964,2.1,10077,3.2,8456,3.4,9665,2.6
111,"2","5","9","3","0","書籍・他の印刷物",3237,0.9,3604,1.0,3148,0.8,2939,1.2,1777,0.6,2614,1.1,2623,0.7
112,"2","5","9","4","0","教養娯楽サービス",29388,8.4,25298,7.3,37167,9.7,12497,5.2,43605,13.9,13491,5.5,38202,10.3
113,"2","6","9","4","1","宿泊料",6662,1.9,3522,1.0,10486,2.7,1192,0.5,14798,4.7,726,0.3,9821,2.7
114,"2","6","9","4","2","パック旅行費",5175,1.5,3096,0.9,8046,2.1,672,0.3,-,-,-,-,7652,2.1
115,"2","6","9","4","3","月謝類",3368,1.0,1338,0.4,4892,1.3,476,0.2,3670,1.2,4598,1.9,5359,1.4
116,"2","6","9","4","4","他の教養娯楽サービス",14182,4.1,17342,5.0,13743,3.6,10157,4.2,25138,8.0,8167,3.3,15370,4.2
117,"2","4","10","0","0","その他の消費支出",59939,17.2,64018,18.5,64898,16.9,35409,14.8,39318,12.5,36082,14.6,61898,16.7
118,"2","5","10","1","0","諸雑費",30611,8.8,26954,7.8,35961,9.4,22645,9.4,18622,5.9,19769,8.0,33565,9.1
119,"2","6","10","1","1","理美容サービス",4368,1.3,4582,1.3,4406,1.1,4185,1.7,802,0.3,3483,1.4,4414,1.2
120,"2","6","10","1","2","理美容用品",5136,1.5,5272,1.5,5569,1.5,3481,1.5,6003,1.9,3479,1.4,6020,1.6
121,"2","6","10","1","3","身の回り用品",2678,0.8,2174,0.6,3659,1.0,690,0.3,4588,1.5,504,0.2,3370,0.9
122,"2","6","10","1","4","たばこ",1161,0.3,937,0.3,1130,0.3,2663,1.1,3493,1.1,911,0.4,740,0.2
123,"2","6","10","1","5","他の諸雑費",17268,5.0,13990,4.0,21196,5.5,11626,4.9,3736,1.2,11391,4.6,19022,5.1
124,"2","5","10","2","0","こづかい",5832,1.7,9242,2.7,4754,1.2,1013,0.4,401,0.1,3325,1.3,5645,1.5
125,"2","5","10","3","0","交際費",20972,6.0,24615,7.1,21370,5.6,11327,4.7,20295,6.5,12988,5.3,19328,5.2
126,"2","6","10","3","0","食料",5691,1.6,8469,2.4,4362,1.1,5041,2.1,7518,2.4,3504,1.4,4994,1.4
127,"2","6","10","3","0","家具・家事用品",385,0.1,52,0.0,672,0.2,300,0.1,-,-,25,0.0,819,0.2
128,"2","6","10","3","0","被服及び履物",244,0.1,468,0.1,84,0.0,572,0.2,-,-,51,0.0,157,0.0
129,"2","6","10","3","0","教養娯楽",2450,0.7,2154,0.6,3163,0.8,419,0.2,319,0.1,1107,0.4,3778,1.0
130,"2","6","10","3","0","他の物品サービス",661,0.2,1262,0.4,389,0.1,512,0.2,-,-,108,0.0,220,0.1
131,"2","6","10","3","6","贈与金",7342,2.1,6983,2.0,8423,2.2,3661,1.5,8923,2.8,5479,2.2,4871,1.3
132,"2","6","10","3","7","他の交際費",4199,1.2,5228,1.5,4277,1.1,821,0.3,3534,1.1,2714,1.1,4489,1.2
133,"2","5","10","4","0","仕送り金",2523,0.7,3207,0.9,2813,0.7,424,0.2,-,-,-,-,3359,0.9
134,"2","3","0","0","0","土地家屋購入",19896,-,945,-,38382,-,-,-,-,-,-,-,-,-
135,"2","3","0","0","0","（再掲）教育関係費",9951,2.9,2737,0.8,17406,4.5,738,0.3,2550,0.8,1311,0.5,15041,4.1
136,"2","3","0","0","0","（再掲）教養娯楽関係費",56714,16.3,48762,14.1,70577,18.4,23119,9.6,61468,19.6,33939,13.7,73000,19.7
137,"2","3","0","0","0","（再掲）移転支出（贈与金＋仕送り金）",9865,2.8,10189,2.9,11236,2.9,4085,1.7,8923,2.8,5479,2.2,8230,2.2
138,"2","3","0","0","0","（再掲）経常消費支出",236143,67.7,229034,66.2,253567,66.1,195473,81.6,252155,80.4,195130,78.9,251650,68.1
139,"2","3","0","0","0","（再掲）情報通信関係費",16677,4.8,15792,4.6,17650,4.6,16900,7.1,24938,8.0,14113,5.7,17550,4.7
140,"2","3","0","0","0","（再掲）消費支出（除く住居等）　1）",301312,86.4,277811,80.3,344919,90.0,199218,83.1,283146,90.3,220782,89.3,332394,89.9
