1,東京都生計分析調査　令和 5年 1月,,,,,,,,,,,,,,,,,,,
2,,,,,,,第９表　世帯類型別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,3544,-,5028,-,697,-,91,-,731,-,4056,-
7,0,0,0,0,0,調査世帯数,590,-,215,-,293,-,39,-,5,-,43,-,229,-
8,0,0,0,0,0,世帯人員,2.93,-,2,-,3.62,-,2.18,-,2,-,3.33,-,3.28,-
9,0,0,0,0,0,有業人員,1.45,-,0.86,-,1.9,-,1.21,-,0.62,-,1.39,-,2.22,-
10,0,0,0,0,0,世帯主平均年齢,59.7,-,67.3,-,53.2,-,70.9,-,49,-,56.5,-,51.6,-
11,2,2,0,0,0,生計支出,342467,-,302669,-,389030,-,232879,-,195665,-,319606,-,426786,-
12,2,3,0,0,0,消費支出,342467,100,302669,100,389030,100,232879,100,195665,100,319606,100,426786,100
13,2,4,1,0,0,食料,91487,26.7,82129,27.1,104507,26.9,51840,22.3,42607,21.8,85094,26.6,105544,24.7
14,2,5,1,1,0,穀類,6845,2,5341,1.8,8345,2.1,3936,1.7,2734,1.4,6588,2.1,7628,1.8
15,2,6,1,1,1,米類,1601,0.5,1293,0.4,1936,0.5,809,0.3,541,0.3,1545,0.5,1696,0.4
16,2,6,1,1,2,パン,3054,0.9,2323,0.8,3732,1,1930,0.8,1173,0.6,3007,0.9,3420,0.8
17,2,6,1,1,3,麺類,1611,0.5,1246,0.4,1981,0.5,846,0.4,436,0.2,1558,0.5,1786,0.4
18,2,6,1,1,4,他の穀類,579,0.2,479,0.2,695,0.2,352,0.2,585,0.3,478,0.1,727,0.2
19,2,5,1,2,0,魚介類,5940,1.7,6028,2,6240,1.6,3721,1.6,2176,1.1,5565,1.7,5953,1.4
20,2,6,1,2,1,生鮮魚介,3256,1,3293,1.1,3470,0.9,1840,0.8,1248,0.6,2952,0.9,3364,0.8
21,2,6,1,2,2,塩干魚介,1117,0.3,1131,0.4,1185,0.3,837,0.4,598,0.3,842,0.3,1090,0.3
22,2,6,1,2,3,魚肉練製品,692,0.2,713,0.2,701,0.2,453,0.2,152,0.1,758,0.2,678,0.2
23,2,6,1,2,4,他の魚介加工品,876,0.3,892,0.3,883,0.2,591,0.3,178,0.1,1013,0.3,820,0.2
24,2,5,1,3,0,肉類,8770,2.6,6654,2.2,10906,2.8,4635,2,3224,1.6,8283,2.6,10147,2.4
25,2,6,1,3,1,生鮮肉,7296,2.1,5496,1.8,9073,2.3,3763,1.6,2919,1.5,7166,2.2,8514,2
26,2,6,1,3,2,加工肉,1475,0.4,1158,0.4,1833,0.5,871,0.4,304,0.2,1117,0.3,1632,0.4
27,2,5,1,4,0,乳卵類,4482,1.3,4124,1.4,5159,1.3,2347,1,1261,0.6,3597,1.1,4704,1.1
28,2,6,1,4,1,牛乳,1350,0.4,1128,0.4,1646,0.4,807,0.3,462,0.2,908,0.3,1500,0.4
29,2,6,1,4,2,乳製品,2213,0.6,2149,0.7,2475,0.6,936,0.4,410,0.2,1938,0.6,2289,0.5
30,2,6,1,4,3,卵,919,0.3,847,0.3,1037,0.3,604,0.3,389,0.2,752,0.2,914,0.2
31,2,5,1,5,0,野菜・海藻,9652,2.8,9293,3.1,10631,2.7,5750,2.5,3472,1.8,8379,2.6,9956,2.3
32,2,6,1,5,1,生鮮野菜,6709,2,6361,2.1,7480,1.9,3890,1.7,2538,1.3,5783,1.8,7007,1.6
33,2,6,1,5,2,乾物・海藻,653,0.2,658,0.2,706,0.2,298,0.1,257,0.1,607,0.2,655,0.2
34,2,6,1,5,3,大豆加工品,1129,0.3,1105,0.4,1235,0.3,674,0.3,321,0.2,957,0.3,1122,0.3
35,2,6,1,5,4,他の野菜・海藻加工品,1160,0.3,1168,0.4,1211,0.3,888,0.4,355,0.2,1032,0.3,1171,0.3
36,2,5,1,6,0,果物,3587,1,3976,1.3,3543,0.9,2272,1,670,0.3,3265,1,3395,0.8
37,2,6,1,6,1,生鮮果物,3148,0.9,3400,1.1,3143,0.8,2081,0.9,670,0.3,2985,0.9,3010,0.7
38,2,6,1,6,2,果物加工品,439,0.1,576,0.2,400,0.1,191,0.1,-,-,279,0.1,385,0.1
39,2,5,1,7,0,油脂・調味料,4016,1.2,3437,1.1,4716,1.2,2240,1,2004,1,3696,1.2,4162,1
