1,東京都生計分析調査　令和 5年 3月,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第１表　生計支出７分位階層別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
7,0,0,0,0,0,調査世帯数,607,-,-,81,-,87,-,90,-,89,-,87,-,87,-,86,-
8,0,0,0,0,0,世帯人員,2.97,-,-,2.65,-,2.79,-,2.72,-,2.99,-,3.09,-,3.08,-,3.48,-
9,0,0,0,0,0,有業人員,1.44,-,-,1.09,-,1.39,-,1.26,-,1.40,-,1.58,-,1.62,-,1.73,-
10,0,0,0,0,0,世帯主平均年齢,59.4,-,-,63.6,-,59.8,-,63.3,-,60.4,-,57.8,-,55.3,-,55.4,-
11,2,2,0,0,0,生計支出,345213,-,2.7,110422,-,176184,-,227699,-,280804,-,343798,-,447084,-,824853,-
12,2,3,0,0,0,消費支出,345213,100.0,8.8,110422,100.0,176184,100.0,227699,100.0,280804,100.0,343798,100.0,447084,100.0,824853,100.0
13,2,4,1,0,0,食料,94221,27.3,9.6,53383,48.3,74638,42.4,81887,36.0,87222,31.1,105219,30.6,119880,26.8,136677,16.6
14,2,5,1,1,0,穀類,7265,2.1,4.9,4990,4.5,6229,3.5,6469,2.8,7039,2.5,8617,2.5,8300,1.9,9170,1.1
15,2,6,1,1,1,米類,1691,0.5,-6.1,1182,1.1,1409,0.8,1218,0.5,1860,0.7,1797,0.5,2073,0.5,2291,0.3
16,2,6,1,1,2,パン,3494,1.0,11.7,2492,2.3,2834,1.6,3129,1.4,3227,1.1,4193,1.2,4004,0.9,4556,0.6
17,2,6,1,1,3,麺類,1581,0.5,3.9,954,0.9,1551,0.9,1635,0.7,1476,0.5,1912,0.6,1701,0.4,1831,0.2
18,2,6,1,1,4,他の穀類,499,0.1,5.1,362,0.3,435,0.2,487,0.2,476,0.2,715,0.2,523,0.1,492,0.1
19,2,5,1,2,0,魚介類,6422,1.9,1.4,4101,3.7,5570,3.2,6319,2.8,7137,2.5,6668,1.9,7465,1.7,7683,0.9
20,2,6,1,2,1,生鮮魚介,3750,1.1,0.5,2525,2.3,3021,1.7,3791,1.7,4396,1.6,3862,1.1,4342,1.0,4315,0.5
21,2,6,1,2,2,塩干魚介,1180,0.3,8.9,640,0.6,1212,0.7,1230,0.5,1197,0.4,1392,0.4,1234,0.3,1349,0.2
22,2,6,1,2,3,魚肉練製品,610,0.2,4.1,450,0.4,587,0.3,532,0.2,550,0.2,712,0.2,657,0.1,776,0.1
23,2,6,1,2,4,他の魚介加工品,882,0.3,-5.7,487,0.4,750,0.4,766,0.3,994,0.4,703,0.2,1232,0.3,1243,0.2
24,2,5,1,3,0,肉類,8607,2.5,7.5,5397,4.9,7426,4.2,7902,3.5,8317,3.0,9703,2.8,10279,2.3,11178,1.4
25,2,6,1,3,1,生鮮肉,7034,2.0,8.7,4443,4.0,6034,3.4,6651,2.9,6705,2.4,8182,2.4,8240,1.8,8943,1.1
26,2,6,1,3,2,加工肉,1573,0.5,2.2,954,0.9,1393,0.8,1252,0.5,1612,0.6,1521,0.4,2039,0.5,2236,0.3
27,2,5,1,4,0,乳卵類,4581,1.3,4.0,3074,2.8,3950,2.2,4093,1.8,4585,1.6,5097,1.5,5200,1.2,6044,0.7
28,2,6,1,4,1,牛乳,1351,0.4,0.5,872,0.8,1091,0.6,1270,0.6,1433,0.5,1496,0.4,1429,0.3,1861,0.2
29,2,6,1,4,2,乳製品,2195,0.6,-0.2,1363,1.2,1936,1.1,1860,0.8,2143,0.8,2520,0.7,2554,0.6,2978,0.4
30,2,6,1,4,3,卵,1034,0.3,19.8,839,0.8,923,0.5,963,0.4,1009,0.4,1081,0.3,1217,0.3,1206,0.1
31,2,5,1,5,0,野菜・海藻,9893,2.9,-3.9,6828,6.2,9049,5.1,9499,4.2,10176,3.6,11399,3.3,10339,2.3,11916,1.4
32,2,6,1,5,1,生鮮野菜,6972,2.0,-3.5,4933,4.5,6321,3.6,6800,3.0,7096,2.5,7711,2.2,7323,1.6,8593,1.0
33,2,6,1,5,2,乾物・海藻,692,0.2,-13.6,413,0.4,726,0.4,674,0.3,850,0.3,775,0.2,734,0.2,676,0.1
34,2,6,1,5,3,大豆加工品,1108,0.3,-1.2,763,0.7,966,0.5,1012,0.4,1104,0.4,1352,0.4,1196,0.3,1354,0.2
35,2,6,1,5,4,他の野菜・海藻加工品,1121,0.3,-2.2,719,0.7,1037,0.6,1012,0.4,1127,0.4,1561,0.5,1086,0.2,1293,0.2
36,2,5,1,6,0,果物,3630,1.1,7.7,2723,2.5,3370,1.9,3128,1.4,3545,1.3,3792,1.1,3967,0.9,4869,0.6
37,2,6,1,6,1,生鮮果物,3229,0.9,6.9,2563,2.3,3010,1.7,2919,1.3,3223,1.1,3238,0.9,3266,0.7,4369,0.5
38,2,6,1,6,2,果物加工品,401,0.1,15.6,160,0.1,361,0.2,209,0.1,322,0.1,554,0.2,701,0.2,500,0.1
39,2,5,1,7,0,油脂・調味料,4134,1.2,3.0,2607,2.4,3487,2.0,3877,1.7,4003,1.4,5379,1.6,4725,1.1,4836,0.6
40,2,6,1,7,1,油脂,427,0.1,-1.6,313,0.3,489,0.3,393,0.2,374,0.1,594,0.2,400,0.1,426,0.1
41,2,6,1,7,2,調味料,3707,1.1,3.6,2294,2.1,2998,1.7,3484,1.5,3629,1.3,4785,1.4,4325,1.0,4410,0.5
42,2,5,1,8,0,菓子類,8197,2.4,9.0,4775,4.3,6243,3.5,6326,2.8,7690,2.7,9920,2.9,9924,2.2,12435,1.5
43,2,5,1,9,0,調理食品,14071,4.1,6.5,7305,6.6,11502,6.5,14740,6.5,11669,4.2,15792,4.6,18422,4.1,18961,2.3
44,2,6,1,9,1,主食的調理食品,6412,1.9,9.3,3501,3.2,5103,2.9,5795,2.5,5318,1.9,7399,2.2,8830,2.0,8888,1.1
45,2,6,1,9,2,他の調理食品,7660,2.2,4.2,3804,3.4,6399,3.6,8945,3.9,6352,2.3,8392,2.4,9592,2.1,10073,1.2
46,2,5,1,10,0,飲料,5505,1.6,10.0,3077,2.8,3874,2.2,4073,1.8,4991,1.8,6636,1.9,7640,1.7,8203,1.0
47,2,6,1,10,1,茶類,1263,0.4,-5.0,534,0.5,754,0.4,973,0.4,1330,0.5,1767,0.5,1645,0.4,1824,0.2
