1,東京都生計分析調査　令和 5年 5月,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第１表　生計支出７分位階層別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
7,0,0,0,0,0,調査世帯数,614,-,-,89,-,86,-,84,-,89,-,90,-,85,-,91,-
8,0,0,0,0,0,世帯人員,2.95,-,-,2.65,-,2.90,-,2.77,-,2.98,-,3.05,-,3.02,-,3.32,-
9,0,0,0,0,0,有業人員,1.43,-,-,1.06,-,1.27,-,1.27,-,1.52,-,1.60,-,1.48,-,1.77,-
10,0,0,0,0,0,世帯主平均年齢,59.3,-,-,63.5,-,59.6,-,63.6,-,59.5,-,59.1,-,54.6,-,55.3,-
11,2,2,0,0,0,生計支出,316448,-,-0.5,108268,-,171854,-,217064,-,262902,-,322986,-,413939,-,714147,-
12,2,3,0,0,0,消費支出,314270,100.0,-1.2,108268,100.0,171854,100.0,217064,100.0,262902,100.0,322986,100.0,413939,100.0,699033,100.0
13,2,4,1,0,0,食料,96374,30.7,8.6,55673,51.4,76875,44.7,85580,39.4,94063,35.8,106497,33.0,117542,28.4,137916,19.7
14,2,5,1,1,0,穀類,7257,2.3,9.8,4729,4.4,6333,3.7,6959,3.2,7413,2.8,7756,2.4,8188,2.0,9392,1.3
15,2,6,1,1,1,米類,1702,0.5,3.0,806,0.7,1201,0.7,1968,0.9,1942,0.7,1590,0.5,2048,0.5,2349,0.3
16,2,6,1,1,2,パン,3358,1.1,12.6,2339,2.2,3103,1.8,3265,1.5,2937,1.1,3699,1.1,4158,1.0,3997,0.6
17,2,6,1,1,3,麺類,1764,0.6,13.1,1233,1.1,1658,1.0,1348,0.6,2082,0.8,2036,0.6,1659,0.4,2319,0.3
18,2,6,1,1,4,他の穀類,434,0.1,4.6,351,0.3,371,0.2,379,0.2,452,0.2,430,0.1,324,0.1,726,0.1
19,2,5,1,2,0,魚介類,6264,2.0,3.0,4563,4.2,5357,3.1,6531,3.0,6809,2.6,6711,2.1,7079,1.7,6789,1.0
20,2,6,1,2,1,生鮮魚介,3647,1.2,4.9,2345,2.2,3121,1.8,3923,1.8,3939,1.5,3675,1.1,4269,1.0,4250,0.6
21,2,6,1,2,2,塩干魚介,1138,0.4,2.3,1067,1.0,1012,0.6,1110,0.5,1443,0.5,1161,0.4,1197,0.3,977,0.1
22,2,6,1,2,3,魚肉練製品,597,0.2,3.8,558,0.5,428,0.2,577,0.3,699,0.3,752,0.2,620,0.1,544,0.1
23,2,6,1,2,4,他の魚介加工品,882,0.3,-4.1,593,0.5,796,0.5,921,0.4,728,0.3,1124,0.3,993,0.2,1017,0.1
24,2,5,1,3,0,肉類,9053,2.9,17.3,6073,5.6,7616,4.4,8109,3.7,10044,3.8,10155,3.1,9686,2.3,11650,1.7
25,2,6,1,3,1,生鮮肉,7275,2.3,18.1,4927,4.6,6207,3.6,6576,3.0,8299,3.2,8014,2.5,7708,1.9,9165,1.3
26,2,6,1,3,2,加工肉,1778,0.6,14.2,1146,1.1,1409,0.8,1534,0.7,1745,0.7,2141,0.7,1977,0.5,2486,0.4
27,2,5,1,4,0,乳卵類,4935,1.6,13.9,3046,2.8,3858,2.2,4637,2.1,4859,1.8,5604,1.7,5690,1.4,6826,1.0
28,2,6,1,4,1,牛乳,1380,0.4,6.3,928,0.9,1222,0.7,1270,0.6,1156,0.4,1933,0.6,1456,0.4,1687,0.2
29,2,6,1,4,2,乳製品,2410,0.8,10.7,1257,1.2,1725,1.0,2274,1.0,2477,0.9,2422,0.7,2991,0.7,3712,0.5
30,2,6,1,4,3,卵,1145,0.4,33.4,860,0.8,912,0.5,1093,0.5,1227,0.5,1249,0.4,1244,0.3,1428,0.2
31,2,5,1,5,0,野菜・海藻,10864,3.5,7.0,8423,7.8,9195,5.4,10756,5.0,11286,4.3,11907,3.7,11468,2.8,12983,1.9
32,2,6,1,5,1,生鮮野菜,7646,2.4,6.4,5883,5.4,6672,3.9,7379,3.4,8230,3.1,8322,2.6,8147,2.0,8871,1.3
33,2,6,1,5,2,乾物・海藻,706,0.2,0.3,504,0.5,481,0.3,759,0.3,596,0.2,833,0.3,760,0.2,1004,0.1
34,2,6,1,5,3,大豆加工品,1232,0.4,8.6,1058,1.0,1000,0.6,1390,0.6,1122,0.4,1162,0.4,1368,0.3,1520,0.2
35,2,6,1,5,4,他の野菜・海藻加工品,1280,0.4,13.2,978,0.9,1042,0.6,1228,0.6,1338,0.5,1589,0.5,1193,0.3,1588,0.2
36,2,5,1,6,0,果物,3483,1.1,10.3,2561,2.4,2755,1.6,3503,1.6,3485,1.3,3635,1.1,3863,0.9,4568,0.7
37,2,6,1,6,1,生鮮果物,3104,1.0,13.1,2376,2.2,2486,1.4,3201,1.5,3179,1.2,3193,1.0,3286,0.8,3999,0.6
38,2,6,1,6,2,果物加工品,379,0.1,-8.0,185,0.2,269,0.2,302,0.1,306,0.1,442,0.1,577,0.1,569,0.1
39,2,5,1,7,0,油脂・調味料,4319,1.4,11.7,2833,2.6,3728,2.2,4057,1.9,4347,1.7,4997,1.5,4453,1.1,5794,0.8
40,2,6,1,7,1,油脂,493,0.2,9.1,263,0.2,497,0.3,531,0.2,487,0.2,625,0.2,454,0.1,590,0.1
41,2,6,1,7,2,調味料,3826,1.2,12.1,2569,2.4,3231,1.9,3525,1.6,3860,1.5,4371,1.4,3999,1.0,5204,0.7
42,2,5,1,8,0,菓子類,8269,2.6,16.0,5235,4.8,7171,4.2,6767,3.1,7554,2.9,8893,2.8,11148,2.7,11090,1.6
43,2,5,1,9,0,調理食品,14037,4.5,6.2,7731,7.1,10771,6.3,11799,5.4,15388,5.9,14252,4.4,17015,4.1,21220,3.0
44,2,6,1,9,1,主食的調理食品,6244,2.0,10.4,3568,3.3,4590,2.7,4748,2.2,6452,2.5,6239,1.9,8303,2.0,9778,1.4
45,2,6,1,9,2,他の調理食品,7793,2.5,3.0,4164,3.8,6181,3.6,7052,3.2,8936,3.4,8012,2.5,8712,2.1,11443,1.6
46,2,5,1,10,0,飲料,6193,2.0,11.3,3379,3.1,4270,2.5,4945,2.3,6056,2.3,6982,2.2,7499,1.8,10174,1.5
