1,東京都生計分析調査　令和 5年 6月,,,,,,,,,
2,,,主　　要　　指　　標　　　４　　―　全世帯，生計支出７分位階層別　―,,,,,,,
3,,,選択的支出係数　　　〔＝（選択的支出÷消費支出） ×１００〕　※令和５年１月から６月の６か月分について、令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,
4,年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
5,nen,平成28年平均,45.8,22.4,30.1,35.0,38.2,42.0,47.4,58.4
6,nen,平成29年平均,46.1,23.5,31.2,33.8,38.5,42.1,47.8,58.7
7,nen,平成30年平均,45.6,22.5,30.6,35.3,39.0,43.0,47.9,57.1
8,nen,平成31年・令和元年平均,46.0,23.0,30.3,35.7,39.9,44.3,48.9,56.4
9,nen,令和 2年平均,42.6,23.0,28.9,32.4,36.5,39.9,44.1,53.4
10,nen,令和 3年平均,43.6,25.2,29.4,33.4,36.6,39.6,44.2,55.4
11,nen,令和 4年平均,43.8,24.1,29.3,32.3,36.5,40.1,45.7,55.4
12,tuki,令和 4年 6月,42.2,24.6,28.9,32.1,38.3,39.6,44.0,52.5
13,tuki,令和 4年 7月,44.4,23.2,29.3,32.2,39.2,38.3,45.2,57.1
14,tuki,令和 4年 8月,43.8,22.4,29.2,31.6,38.1,39.3,46.4,54.6
15,tuki,令和 4年 9月,46.7,25.1,27.4,33.3,37.5,42.4,45.1,62.5
16,tuki,令和 4年10月,45.9,24.5,29.0,34.4,37.0,44.2,48.9,57.9
17,tuki,令和 4年11月,45.2,23.5,32.5,32.6,39.1,44.3,50.1,53.9
18,tuki,令和 4年12月,42.7,23.8,27.5,32.7,35.3,41.4,47.5,52.8
19,tuki,令和 5年 1月,43.6,20.4,32.0,30.8,38.1,40.8,44.1,56.2
20,tuki,令和 5年 2月,40.5,22.4,30.2,29.8,34.1,38.7,44.4,50.1
21,tuki,令和 5年 3月,46.0,27.0,27.9,33.7,38.9,38.4,46.6,60.9
22,tuki,令和 5年 4月,49.7,25.1,32.3,35.9,37.0,40.3,51.1,64.5
23,tuki,令和 5年 5月,44.1,25.4,31.5,35.8,33.7,41.0,49.2,54.8
24,tuki,令和 5年 6月,42.7,25.9,28.8,30.0,38.6,39.2,46.7,51.9
22,tuki,令和 N10月",25.2,42.2,23.1,25.7,28.5,27.4,17.8,24.2
14,"tuki","令K模一般住宅、アパート等が多い住宅地域,区道,北東,3.7,,,,ガス,水道,下水道,大崎広小路,,500 ,１住居,準防,60 ,300 ,,,,,,,,,,
〇,13109 ,28 ,品川,0 ,14 ,品川区,豊町１丁目１１３９番１６,豊町１－１１－１２,"674,000 ","644,000 ",4.7 ,96 ,,1.5,1,住宅,ＲＣ,3F,,一般住宅、マンション等が建ち並ぶ住宅地域,区道,南,5.3,,,,ガス,水道,下水道,戸越,,700 ,１中専,防火,60 ,200 ,,,,,,,,,,
〇,13109 ,28 ,品川,0 ,15 ,品川区,西品川１丁目１２２５番４,西品川１－１３－３,"489,000 ","463,000 ",5.6 ,84 ,,1,1.2,住宅,Ｗ,2F,,小規模住宅と小工場、店舗等が混在する住宅地域,区道,北,5.2,,,,ガス,水道,下水道,下神明,,600 ,準工,準防,60 ,200 ,,,,,,,,,,
〇,13109 ,28 ,品川,0 ,16 ,品川区,東大井２丁目１０６４番１,東大井２－２５－１０,"526,000 ","512,000 ",2.7 ,213 ,,1,2,事務所兼共同住宅,ＲＣ,4F,1B,一般住宅、共同住宅、事務所が混在する住宅地域,区道,南東,7.5,,,,ガス,水道,下水道,立会川,,220 ,準工,準防,60 ,300 ,,,,,,,,,,
〇,13109 ,28 ,品川,0 ,17 ,品川区,東品川４丁目１３番,東品川４－２－１１,"661,000 ","626,000 ",5.6 ,"1,655 ",,1,1,共同住宅,ＲＣ,7F,,中高層マンション等が建ち並ぶ混在住宅地域,区道,東,7.7,,三方路,,ガス,水道,下水道,青物横丁,,350 ,準工,準防,60 ,300 ,,,,,,,,,,
〇,13109 ,28 ,品川,0 ,18 ,品川区,小山５丁目３７番１５,小山５－７－１２,"579,000 ","555,000 ",4.3 ,114 ,,1,1.5,住宅,Ｗ,2F,,中規模一般住宅等が多い利便性の良い住宅地域,区道,南西,4.3,,,,ガス,水道,下水道,西小山,,400 ,１住居,準防,60 ,300 ,,,,,,,,,,
〇,13109 ,28 ,品川,0 ,19 ,品川区,西五反田４丁目５５２番１０,西五反田４－２７－６,"700,000 ","671,000 ",4.3 ,112 ,,1,2,共同住宅,Ｓ,4F,,店舗、共同住宅、事業所等が混在する住宅地域,区道,北西,15,,,,ガス,水道,下水道,不動前,,400 ,準工,防火,60 ,300 ,,,,,,,,,,
〇,13109 ,28 ,品川,0 ,20 ,品川区,南大井６丁目１１０番１０外,南大井６－３－１６,"604,000 ","580,000 ",4.1 ,86 ,,1.5,1,共同住宅,ＳＲＣ,5F,,中規模の共同住宅、事業所等が混在する地域,区道,西,8,,,,ガス,水道,下水道,大森,,550 ,準工,準防,60 ,300 ,,,,,,,,,,
〇,13109 ,28 ,品川,0 ,21 ,品川区,北品川１丁目１２３番４外,北品川１－８－１４,"1,050,000 ","1,010,000 ",4.0 ,533 ,不整形,1,1.5,共同住宅,ＲＣ,11F,,中高層の事務所、マンションが混在する住宅地域,区道,南東,11.6,,,,ガス,水道,下水道,北品川,,380 ,準工,防火,60 ,400 ,,,,,,,,,,
〇,13109 ,28 ,品川,0 ,22 ,品川区,大井５丁目４５４５番４,大井５－１１－４,"586,000 ","554,000 ",5.8 ,350 ,,1,1,共同住宅,ＲＣ,10F,,店舗兼住宅の中に中高層共同住宅が多い地域,区道,北,7,,背面道,,ガス,水道,下水道,西大井,,920 ,近商,防火,80 ,400 ,,,,,,,,,,
,13109 ,28 ,品川,0 ,23 ,品川区,豊町６丁目２２４番５,豊町６－２０－１,"521,000 ",,,82 ,,1,2,住宅,ＬＳ,3F,,中小規模一般住宅、共同住宅が建ち並ぶ住宅地域,区道,北,4.2,,,,ガス,水道,下水道,中延,,170 ,１住居,準防,60 ,200 ,,,,,,,,,,
,13109 ,28 ,品川,0 ,24 ,品川区,小山７丁目５０９番１７,小山７－１３－２,"715,000 ",,,136 ,,1,2,住宅,Ｗ,2F,1B,一般住宅が建ち並ぶ高台の閑静な住宅地域,区道,北,7.1,,,,ガス,水道,下水道,洗足,,310 ,１低専,準防,50 ,100 ,,,,,,,,,,
,13109 ,28 ,品川,0 ,25 ,品川区,西大井５丁目５８０５番４,西大井５－１６－２,"488,000 ",,,89 ,,1,2,住宅,Ｗ,3F,,中低層一般住宅、共同住宅が建ち並ぶ住宅地域,区道,北,4.3,,,,ガス,水道,下水道,西大井,,610 ,１中専,準防,60 ,200 ,,,,,,,,,,
,13109 ,28 ,品川,0 ,26 ,品川区,南品川４丁目４８８番４,南品川４－１５－１,"532,000 ",,,87 ,,1,1,住宅,ＬＳ,3F,,住宅、共同住宅、作業場等が混在する住宅地域,区道,北,5.4,,,,ガス,水道,下水道,新馬場,,430 ,準工,準防,60 ,300 ,,,,,,,,,,
,13109 ,28 ,品川,0 ,27 ,品川区,二葉２丁目５５８番４,二葉２－１５－６,"524,000 ",,,106 ,,1,1.2,住宅,Ｗ,2F,,一般住宅、アパート、小工場の混在する地域,区道,西,6,,,,ガス,水道,下水道,西大井,,300 ,準工,準防,60 ,200 ,,,,,,,,,,
,13109 ,28 ,品川,0 ,28 ,品川区,荏原１丁目５０６番４０,荏原１－２２－１,"617,000 ",,,141 ,,1,1,共同住宅,ＲＣ,3F,,住宅、共同住宅、作業所等が混在する住宅地域,区道,北西,7.7,,側道,北東,ガス,水道,下水道,戸越銀座,,470 ,準工,準防,60 ,300 ,,,,,,,,,,
