1,東京都生計分析調査　令和 5年 5月,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第４表　年間収入区分別及び住居所有形態別１世帯当たり１か月間の収入と用途別生計支出　―　無職世帯　―　,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,-,8482,-,2527,-,2060,-,7473,-,6422,-,1518,-
7,0,0,0,0,0,調査世帯数,181,-,-,153,-,42,-,33,-,139,-,120,-,28,-
8,0,0,0,0,0,世帯人員,2.41,-,-,2.41,-,2.31,-,2.36,-,2.45,-,2.42,-,2.44,-
9,0,0,0,0,0,有業人員,0.54,-,-,0.55,-,0.28,-,0.32,-,0.62,-,0.63,-,0.44,-
10,0,0,0,0,0,世帯主平均年齢,74.5,-,-,75.3,-,76.2,-,77.6,-,73.9,-,74.5,-,70.0,-
11,1,0,0,0,0,受取,454564,-,-18.2,462507,-,329010,-,348567,-,497027,-,499056,-,410178,-
12,1,1,0,0,0,実収入,53966,100.0,32.7,51849,100.0,20763,100.0,21132,100.0,65195,100.0,61703,100.0,65797,100.0
13,1,2,0,0,0,経常収入,49482,91.7,46.0,48572,93.7,18879,90.9,18961,89.7,59832,91.8,58071,94.1,54568,82.9
14,1,3,0,0,0,勤め先収入,28433,52.7,70.2,31999,61.7,12856,61.9,13942,66.0,33702,51.7,37791,61.2,8509,12.9
15,1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
