1,東京都生計分析調査　令和 5年 4月,,,,,,,,,,,,,,,
2,,,,,,,第５表　世帯人員別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,4239,-,2825,-,2335,-,601,-
7,0,0,0,0,0,調査世帯数,602,-,260,-,167,-,137,-,38,-
8,0,0,0,0,0,世帯人員,2.94,-,2.00,-,3.00,-,4.00,-,5.22,-
9,0,0,0,0,0,有業人員,1.43,-,0.84,-,1.71,-,2.07,-,1.83,-
10,0,0,0,0,0,世帯主平均年齢,59.4,-,66.7,-,58.0,-,50.2,-,49.8,-
11,2,2,0,0,0,生計支出,369068,-,296009,-,409694,-,397157,-,584251,-
12,2,3,0,0,0,消費支出,369068,100.0,296009,100.0,409694,100.0,397157,100.0,584251,100.0
13,2,4,1,0,0,食料,93678,25.4,81871,27.7,99118,24.2,101882,25.7,119493,20.5
14,2,5,1,1,0,穀類,7032,1.9,5537,1.9,7640,1.9,8387,2.1,9456,1.6
15,2,6,1,1,1,米類,1635,0.4,1217,0.4,2022,0.5,1808,0.5,2092,0.4
16,2,6,1,1,2,パン,3263,0.9,2688,0.9,3340,0.8,3874,1.0,4585,0.8
17,2,6,1,1,3,麺類,1683,0.5,1291,0.4,1810,0.4,2091,0.5,2258,0.4
18,2,6,1,1,4,他の穀類,451,0.1,341,0.1,467,0.1,613,0.2,522,0.1
19,2,5,1,2,0,魚介類,6200,1.7,5707,1.9,6977,1.7,5880,1.5,7270,1.2
20,2,6,1,2,1,生鮮魚介,3624,1.0,3242,1.1,4288,1.0,3484,0.9,3749,0.6
21,2,6,1,2,2,塩干魚介,1129,0.3,1140,0.4,1077,0.3,1020,0.3,1730,0.3
22,2,6,1,2,3,魚肉練製品,597,0.2,567,0.2,655,0.2,563,0.1,667,0.1
23,2,6,1,2,4,他の魚介加工品,849,0.2,759,0.3,957,0.2,812,0.2,1124,0.2
24,2,5,1,3,0,肉類,8906,2.4,6527,2.2,9426,2.3,11076,2.8,14805,2.5
25,2,6,1,3,1,生鮮肉,7286,2.0,5315,1.8,7619,1.9,9287,2.3,11838,2.0
26,2,6,1,3,2,加工肉,1620,0.4,1212,0.4,1807,0.4,1789,0.5,2966,0.5
27,2,5,1,4,0,乳卵類,4773,1.3,4037,1.4,5124,1.3,5196,1.3,6662,1.1
28,2,6,1,4,1,牛乳,1381,0.4,1135,0.4,1609,0.4,1490,0.4,1623,0.3
29,2,6,1,4,2,乳製品,2289,0.6,1952,0.7,2446,0.6,2439,0.6,3339,0.6
30,2,6,1,4,3,卵,1103,0.3,950,0.3,1069,0.3,1268,0.3,1701,0.3
31,2,5,1,5,0,野菜・海藻,10499,2.8,9551,3.2,11442,2.8,10187,2.6,13973,2.4
32,2,6,1,5,1,生鮮野菜,7402,2.0,6584,2.2,8166,2.0,7290,1.8,10011,1.7
33,2,6,1,5,2,乾物・海藻,711,0.2,646,0.2,764,0.2,679,0.2,1049,0.2
34,2,6,1,5,3,大豆加工品,1165,0.3,1083,0.4,1259,0.3,1162,0.3,1319,0.2
35,2,6,1,5,4,他の野菜・海藻加工品,1221,0.3,1238,0.4,1252,0.3,1056,0.3,1594,0.3
36,2,5,1,6,0,果物,3594,1.0,3767,1.3,3732,0.9,3258,0.8,3019,0.5
37,2,6,1,6,1,生鮮果物,3145,0.9,3352,1.1,3235,0.8,2810,0.7,2568,0.4
38,2,6,1,6,2,果物加工品,448,0.1,415,0.1,497,0.1,448,0.1,450,0.1
39,2,5,1,7,0,油脂・調味料,4072,1.1,3389,1.1,4528,1.1,4418,1.1,5396,0.9
40,2,6,1,7,1,油脂,454,0.1,355,0.1,525,0.1,489,0.1,671,0.1
41,2,6,1,7,2,調味料,3618,1.0,3034,1.0,4003,1.0,3929,1.0,4725,0.8
42,2,5,1,8,0,菓子類,7891,2.1,6344,2.1,7589,1.9,9594,2.4,13593,2.3
43,2,5,1,9,0,調理食品,13334,3.6,12041,4.1,13807,3.4,14298,3.6,16485,2.8
44,2,6,1,9,1,主食的調理食品,6162,1.7,5849,2.0,6240,1.5,6450,1.6,6882,1.2
45,2,6,1,9,2,他の調理食品,7172,1.9,6192,2.1,7566,1.8,7848,2.0,9603,1.6
46,2,5,1,10,0,飲料,5845,1.6,4858,1.6,6497,1.6,6285,1.6,8026,1.4
47,2,6,1,10,1,茶類,1260,0.3,1184,0.4,1366,0.3,1144,0.3,1751,0.3
48,2,6,1,10,2,コーヒー・ココア,1214,0.3,1103,0.4,1389,0.3,1174,0.3,1325,0.2
49,2,6,1,10,3,他の飲料,3371,0.9,2571,0.9,3743,0.9,3966,1.0,4950,0.8
50,2,5,1,11,0,酒類,3972,1.1,3947,1.3,4744,1.2,3075,0.8,3998,0.7
51,2,5,1,12,0,外食,17562,4.8,16166,5.5,17613,4.3,20228,5.1,16811,2.9
52,2,6,1,12,1,一般外食,17197,4.7,16166,5.5,17216,4.2,19565,4.9,15181,2.6
53,2,6,1,12,2,学校給食,365,0.1,-,-,397,0.1,664,0.2,1629,0.3
54,2,4,2,0,0,住居,24730,6.7,36049,12.2,13012,3.2,18716,4.7,23344,4.0
55,2,5,2,1,0,家賃地代,14526,3.9,14837,5.0,10504,2.6,17385,4.4,20129,3.4
56,2,5,2,2,0,設備修繕・維持,10204,2.8,21212,7.2,2508,0.6,1331,0.3,3215,0.6
57,2,6,2,2,1,設備材料,2004,0.5,3970,1.3,486,0.1,501,0.1,1114,0.2
58,2,6,2,2,2,工事その他のサービス,8200,2.2,17242,5.8,2022,0.5,830,0.2,2101,0.4
59,2,4,3,0,0,光熱・水道,26718,7.2,24431,8.3,27339,6.7,26851,6.8,39412,6.7
60,2,5,3,1,0,電気代,13145,3.6,12790,4.3,13360,3.3,13067,3.3,14942,2.6
61,2,5,3,2,0,ガス代,8523,2.3,7414,2.5,8781,2.1,8673,2.2,14548,2.5
62,2,5,3,3,0,他の光熱,136,0.0,199,0.1,95,0.0,57,0.0,200,0.0
63,2,5,3,4,0,上下水道料,4913,1.3,4028,1.4,5102,1.2,5054,1.3,9721,1.7
64,2,4,4,0,0,家具・家事用品,11931,3.2,13974,4.7,10581,2.6,10727,2.7,8550,1.5
65,2,5,4,1,0,家庭用耐久財,4313,1.2,7301,2.5,2967,0.7,1229,0.3,1539,0.3
66,2,6,4,1,1,家事用耐久財,2663,0.7,5289,1.8,445,0.1,878,0.2,1508,0.3
67,2,6,4,1,2,冷暖房用器具,1411,0.4,1797,0.6,2009,0.5,351,0.1,-,-
68,2,6,4,1,3,一般家具,238,0.1,216,0.1,513,0.1,-,-,31,0.0
69,2,5,4,2,0,室内装備・装飾品,700,0.2,897,0.3,469,0.1,756,0.2,188,0.0
70,2,5,4,3,0,寝具類,453,0.1,391,0.1,417,0.1,714,0.2,41,0.0
71,2,5,4,4,0,家事雑貨,2241,0.6,1775,0.6,2065,0.5,3365,0.8,1985,0.3
72,2,5,4,5,0,家事用消耗品,3490,0.9,2904,1.0,3728,0.9,3998,1.0,4530,0.8
73,2,5,4,6,0,家事サービス,735,0.2,706,0.2,935,0.2,665,0.2,267,0.0
74,2,4,5,0,0,被服及び履物,13042,3.5,10118,3.4,12457,3.0,17753,4.5,18107,3.1
75,2,5,5,1,0,和服,-,-,-,-,-,-,-,-,-,-
76,2,5,5,2,0,洋服,5115,1.4,3891,1.3,4827,1.2,6566,1.7,9472,1.6
77,2,6,5,2,1,男子用洋服,2427,0.7,2629,0.9,2414,0.6,2340,0.6,1406,0.2
78,2,6,5,2,2,婦人用洋服,2213,0.6,1262,0.4,1930,0.5,3426,0.9,5534,0.9
79,2,6,5,2,3,子供用洋服,475,0.1,-,-,483,0.1,800,0.2,2531,0.4
80,2,5,5,3,0,シャツ・セーター類,2984,0.8,2485,0.8,3121,0.8,3716,0.9,3022,0.5
81,2,6,5,3,1,男子用シャツ・セーター類,1074,0.3,957,0.3,1074,0.3,1519,0.4,163,0.0
82,2,6,5,3,2,婦人用シャツ・セーター類,1734,0.5,1528,0.5,1880,0.5,1684,0.4,2687,0.5
83,2,6,5,3,3,子供用シャツ・セーター類,177,0.0,-,-,166,0.0,513,0.1,172,0.0
84,2,5,5,4,0,下着類,943,0.3,604,0.2,1130,0.3,1329,0.3,957,0.2
85,2,6,5,4,1,男子用下着類,234,0.1,245,0.1,281,0.1,201,0.1,62,0.0
86,2,6,5,4,2,婦人用下着類,572,0.2,359,0.1,700,0.2,860,0.2,349,0.1
87,2,6,5,4,3,子供用下着類,137,0.0,-,-,149,0.0,267,0.1,547,0.1
88,2,5,5,5,0,生地・糸類,141,0.0,106,0.0,155,0.0,153,0.0,286,0.0
89,2,5,5,6,0,他の被服,782,0.2,563,0.2,724,0.2,1078,0.3,1456,0.2
90,2,5,5,7,0,履物類,1957,0.5,1261,0.4,1543,0.4,3572,0.9,2527,0.4
91,2,5,5,8,0,被服関連サービス,1118,0.3,1207,0.4,957,0.2,1340,0.3,388,0.1
92,2,4,6,0,0,保健医療,17934,4.9,19221,6.5,17296,4.2,16812,4.2,16217,2.8
93,2,5,6,1,0,医薬品,3000,0.8,3560,1.2,3128,0.8,2225,0.6,1463,0.3
94,2,5,6,2,0,健康保持用摂取品,1540,0.4,1646,0.6,2583,0.6,423,0.1,228,0.0
95,2,5,6,3,0,保健医療用品・器具,2931,0.8,1828,0.6,2465,0.6,5054,1.3,4656,0.8
96,2,5,6,4,0,保健医療サービス,10463,2.8,12187,4.1,9120,2.2,9109,2.3,9870,1.7
97,2,4,7,0,0,交通・通信,32649,8.8,26115,8.8,39318,9.6,34881,8.8,38703,6.6
98,2,5,7,1,0,交通,10655,2.9,7609,2.6,11821,2.9,13149,3.3,16972,2.9
99,2,5,7,2,0,自動車等関係費,11450,3.1,9182,3.1,16578,4.0,10257,2.6,7976,1.4
100,2,6,7,2,1,自動車等購入,-,-,-,-,-,-,-,-,-,-
101,2,6,7,2,2,自転車購入,864,0.2,223,0.1,1847,0.5,822,0.2,927,0.2
102,2,6,7,2,3,自動車等維持,10586,2.9,8959,3.0,14731,3.6,9435,2.4,7049,1.2
103,2,5,7,3,0,通信,10544,2.9,9325,3.2,10919,2.7,11475,2.9,13756,2.4
104,2,4,8,0,0,教育,55156,14.9,1801,0.6,69073,16.9,89507,22.5,232581,39.8
105,2,5,8,1,0,授業料等,50942,13.8,1629,0.6,64529,15.8,79815,20.1,222686,38.1
106,2,5,8,2,0,教科書・学習参考教材,547,0.1,172,0.1,384,0.1,1252,0.3,1214,0.2
107,2,5,8,3,0,補習教育,3667,1.0,-,-,4159,1.0,8439,2.1,8681,1.5
108,2,4,9,0,0,教養娯楽,36525,9.9,33667,11.4,39758,9.7,39371,9.9,30426,5.2
109,2,5,9,1,0,教養娯楽用耐久財,2301,0.6,899,0.3,3510,0.9,3652,0.9,1260,0.2
110,2,5,9,2,0,教養娯楽用品,9212,2.5,7822,2.6,10235,2.5,10454,2.6,9383,1.6
111,2,5,9,3,0,書籍・他の印刷物,3479,0.9,3715,1.3,3539,0.9,2765,0.7,4299,0.7
112,2,5,9,4,0,教養娯楽サービス,21533,5.8,21231,7.2,22474,5.5,22500,5.7,15484,2.7
113,2,6,9,4,1,宿泊料,2327,0.6,2211,0.7,2660,0.6,2732,0.7,-,-
114,2,6,9,4,2,パック旅行費,2106,0.6,2937,1.0,2637,0.6,252,0.1,953,0.2
115,2,6,9,4,3,月謝類,3497,0.9,1651,0.6,4233,1.0,5840,1.5,3944,0.7
116,2,6,9,4,4,他の教養娯楽サービス,13604,3.7,14431,4.9,12945,3.2,13676,3.4,10586,1.8
117,2,4,10,0,0,その他の消費支出,56706,15.4,48762,16.5,81742,20.0,40656,10.2,57418,9.8
118,2,5,10,1,0,諸雑費,29635,8.0,24058,8.1,40177,9.8,26916,6.8,29982,5.1
119,2,6,10,1,1,理美容サービス,4154,1.1,4282,1.4,4094,1.0,3884,1.0,4580,0.8
120,2,6,10,1,2,理美容用品,5028,1.4,4245,1.4,5433,1.3,6035,1.5,4726,0.8
121,2,6,10,1,3,身の回り用品,2781,0.8,2476,0.8,2723,0.7,3093,0.8,3989,0.7
122,2,6,10,1,4,たばこ,887,0.2,894,0.3,980,0.2,763,0.2,882,0.2
123,2,6,10,1,5,他の諸雑費,16785,4.5,12161,4.1,26946,6.6,13140,3.3,15804,2.7
124,2,5,10,2,0,こづかい,5906,1.6,5283,1.8,5675,1.4,3646,0.9,20180,3.5
125,2,5,10,3,0,交際費,14259,3.9,17115,5.8,15215,3.7,9723,2.4,7257,1.2
126,2,6,10,3,0,食料,4457,1.2,6146,2.1,3475,0.8,2552,0.6,4569,0.8
127,2,6,10,3,0,家具・家事用品,157,0.0,175,0.1,224,0.1,84,0.0,-,-
128,2,6,10,3,0,被服及び履物,338,0.1,643,0.2,109,0.0,151,0.0,-,-
129,2,6,10,3,0,教養娯楽,956,0.3,749,0.3,1227,0.3,1155,0.3,358,0.1
130,2,6,10,3,0,他の物品サービス,275,0.1,462,0.2,90,0.0,183,0.0,175,0.0
131,2,6,10,3,6,贈与金,3797,1.0,4734,1.6,4414,1.1,1908,0.5,1628,0.3
132,2,6,10,3,7,他の交際費,4279,1.2,4205,1.4,5676,1.4,3690,0.9,527,0.1
133,2,5,10,4,0,仕送り金,6905,1.9,2306,0.8,20676,5.0,372,0.1,-,-
134,2,3,0,0,0,土地家屋購入,-,-,-,-,-,-,-,-,-,-
135,2,3,0,0,0,（再掲）教育関係費,59297,16.1,3429,1.2,73162,17.9,95840,24.1,246179,42.1
136,2,3,0,0,0,（再掲）教養娯楽関係費,42318,11.5,40139,13.6,45361,11.1,45093,11.4,32608,5.6
137,2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,10702,2.9,7040,2.4,25090,6.1,2280,0.6,1628,0.3
138,2,3,0,0,0,（再掲）経常消費支出,241265,65.4,218276,73.7,254355,62.1,248964,62.7,311962,53.4
139,2,3,0,0,0,（再掲）情報通信関係費,15546,4.2,14741,5.0,16318,4.0,15291,3.9,18586,3.2
140,2,3,0,0,0,（再掲）消費支出（除く住居等）　1）,333636,90.4,252920,85.4,371592,90.7,376161,94.7,559279,95.7
