1,東京都生計分析調査　令和 5年 2月,,,,,,,,,,,,,,,,,,,
2,,,,第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,
3,,,,項目（0：世帯数等　1：公共料金等　2：準公共料金等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
5,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,0,0,調査世帯数,325,-,-,46,-,47,-,46,-,49,-,48,-,47,-,42,-
7,0,0,世帯人員,3.24,-,-,2.75,-,3.37,-,3.06,-,3.24,-,3.48,-,3.31,-,3.47,-
8,0,0,有業人員,1.79,-,-,1.57,-,1.76,-,1.57,-,1.83,-,1.96,-,1.85,-,2.00,-
9,0,0,世帯主平均年齢,50.8,-,-,57.5,-,52.6,-,52.3,-,48.2,-,48.1,-,48.4,-,48.6,-
10,0,0,消費支出,317159,-,7.4,221350,-,252266,-,271849,-,315400,-,411077,-,363029,-,383167,-
11,0,0,公共的料金,101939,32.1,14.5,74320,33.6,89400,35.4,93942,34.6,95261,30.2,157824,38.4,104580,28.8,98140,25.6
12,1,0,公共料金等,64204,20.2,14.2,57994,26.2,58451,23.2,68657,25.3,66312,21.0,62023,15.1,73018,20.1,62987,16.4
13,1,1,米,1441,0.5,-2.5,1155,0.5,1508,0.6,1432,0.5,1542,0.5,2014,0.5,1414,0.4,1022,0.3
14,1,1,食塩,24,0.0,-14.3,23,0.0,9,0.0,8,0.0,27,0.0,30,0.0,16,0.0,56,0.0
15,1,1,学校給食,1390,0.4,1.2,337,0.2,1703,0.7,1086,0.4,812,0.3,1600,0.4,2335,0.6,1844,0.5
16,1,1,公営家賃,2010,0.6,-37.9,3912,1.8,3534,1.4,3703,1.4,2950,0.9,-,-,-,-,-,-
17,1,1,電気代,15685,4.9,24.4,15028,6.8,14675,5.8,16348,6.0,16714,5.3,16097,3.9,16658,4.6,14276,3.7
18,1,1,都市ガス,9883,3.1,20.5,10032,4.5,8964,3.6,10304,3.8,9457,3.0,8432,2.1,10208,2.8,11792,3.1
19,1,1,上下水道料,5206,1.6,-18.4,5183,2.3,4971,2.0,5064,1.9,5892,1.9,3960,1.0,6292,1.7,5064,1.3
20,1,1,医科診療代,4008,1.3,40.9,7514,3.4,3197,1.3,3404,1.3,6980,2.2,2362,0.6,2036,0.6,2553,0.7
21,1,1,歯科診療代,1714,0.5,98.6,3466,1.6,323,0.1,1116,0.4,835,0.3,4142,1.0,1421,0.4,768,0.2
22,1,1,出産入院料,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,1,1,他の入院料,960,0.3,...,-,-,-,-,3079,1.1,20,0.0,-,-,3690,1.0,-,-
24,1,1,鉄道運賃,3537,1.1,75.4,1646,0.7,1873,0.7,2015,0.7,3780,1.2,2952,0.7,4922,1.4,7484,2.0
25,1,1,鉄道通学定期代,110,0.0,61.8,-,-,122,0.0,-,-,460,0.1,-,-,178,0.0,-,-
26,1,1,鉄道通勤定期代,1863,0.6,63.4,61,0.0,1351,0.5,2548,0.9,1778,0.6,3290,0.8,1738,0.5,2260,0.6
27,1,1,バス代,325,0.1,133.8,131,0.1,147,0.1,221,0.1,197,0.1,508,0.1,636,0.2,437,0.1
28,1,1,バス通学定期代,12,0.0,...,-,-,-,-,-,-,-,-,-,-,-,-,86,0.0
29,1,1,バス通勤定期代,370,0.1,...,288,0.1,770,0.3,-,-,-,-,-,-,1538,0.4,-,-
30,1,1,タクシー代,383,0.1,28.1,271,0.1,199,0.1,147,0.1,137,0.0,253,0.1,391,0.1,1276,0.3
31,1,1,航空運賃,630,0.2,198.6,-,-,2248,0.9,-,-,-,-,-,-,1491,0.4,649,0.2
