1,東京都生計分析調査　令和 5年 4月,,,,,,,,,,,,,,,
2,,,,,,,第１３表　住居所有形態別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,8065,-,1234,-,367,-,333,-
7,0,0,0,0,0,調査世帯数,602,-,488,-,72,-,24,-,18,-
8,0,0,0,0,0,世帯人員,2.94,-,2.91,-,3.07,-,2.61,-,3.60,-
9,0,0,0,0,0,有業人員,1.43,-,1.44,-,1.52,-,0.73,-,1.77,-
10,0,0,0,0,0,世帯主平均年齢,59.4,-,61.2,-,48.5,-,64.6,-,50.0,-
11,2,2,0,0,0,生計支出,369068,-,370596,-,362118,-,245992,-,493421,-
12,2,3,0,0,0,消費支出,369068,100.0,370596,100.0,362118,100.0,245992,100.0,493421,100.0
13,2,4,1,0,0,食料,93678,25.4,95960,25.9,82972,22.9,75319,30.6,98334,19.9
14,2,5,1,1,0,穀類,7032,1.9,7160,1.9,6449,1.8,6437,2.6,6741,1.4
15,2,6,1,1,1,米類,1635,0.4,1682,0.5,1261,0.3,1822,0.7,1685,0.3
16,2,6,1,1,2,パン,3263,0.9,3376,0.9,2928,0.8,2653,1.1,2450,0.5
17,2,6,1,1,3,麺類,1683,0.5,1643,0.4,1849,0.5,1709,0.7,1986,0.4
18,2,6,1,1,4,他の穀類,451,0.1,459,0.1,410,0.1,251,0.1,621,0.1
19,2,5,1,2,0,魚介類,6200,1.7,6465,1.7,3858,1.1,7977,3.2,6491,1.3
20,2,6,1,2,1,生鮮魚介,3624,1.0,3791,1.0,2311,0.6,4305,1.8,3695,0.7
21,2,6,1,2,2,塩干魚介,1129,0.3,1180,0.3,686,0.2,1100,0.4,1590,0.3
22,2,6,1,2,3,魚肉練製品,597,0.2,616,0.2,302,0.1,1135,0.5,647,0.1
23,2,6,1,2,4,他の魚介加工品,849,0.2,879,0.2,559,0.2,1438,0.6,559,0.1
24,2,5,1,3,0,肉類,8906,2.4,9127,2.5,8157,2.3,6530,2.7,8947,1.8
25,2,6,1,3,1,生鮮肉,7286,2.0,7520,2.0,6583,1.8,4860,2.0,6894,1.4
26,2,6,1,3,2,加工肉,1620,0.4,1607,0.4,1574,0.4,1670,0.7,2054,0.4
27,2,5,1,4,0,乳卵類,4773,1.3,4865,1.3,4237,1.2,4580,1.9,4742,1.0
28,2,6,1,4,1,牛乳,1381,0.4,1380,0.4,1318,0.4,1539,0.6,1461,0.3
29,2,6,1,4,2,乳製品,2289,0.6,2350,0.6,2052,0.6,1951,0.8,2062,0.4
30,2,6,1,4,3,卵,1103,0.3,1135,0.3,868,0.2,1091,0.4,1219,0.2
31,2,5,1,5,0,野菜・海藻,10499,2.8,10875,2.9,7953,2.2,10252,4.2,11117,2.3
32,2,6,1,5,1,生鮮野菜,7402,2.0,7702,2.1,5405,1.5,7082,2.9,7893,1.6
