1,東京都生計分析調査　令和 5年 6月,,,,,,,,,,,,,,,,,,,
2,,,,,,,第９表　世帯類型別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,3323,-,5070,-,804,-,87,-,803,-,3496,-
7,0,0,0,0,0,調査世帯数,617,-,211,-,307,-,50,-,6,-,49,-,216,-
8,0,0,0,0,0,世帯人員,2.96,-,2.00,-,3.68,-,2.30,-,2.50,-,3.04,-,3.37,-
9,0,0,0,0,0,有業人員,1.40,-,0.83,-,1.84,-,0.97,-,0.50,-,1.46,-,2.25,-
10,0,0,0,0,0,世帯主平均年齢,59.6,-,67.5,-,53.0,-,68.6,-,38.9,-,59.7,-,51.1,-
11,2,2,0,0,0,生計支出,315648,-,327894,-,335205,-,224030,-,162591,-,233215,-,363897,-
12,2,3,0,0,0,消費支出,315648,100.0,327894,100.0,335205,100.0,224030,100.0,162591,100.0,233215,100.0,363897,100.0
13,2,4,1,0,0,食料,92262,29.2,83284,25.4,102333,30.5,79031,35.3,68668,42.2,79071,33.9,100923,27.7
14,2,5,1,1,0,穀類,7067,2.2,5996,1.8,8064,2.4,5865,2.6,5149,3.2,6403,2.7,7749,2.1
15,2,6,1,1,1,米類,1551,0.5,1152,0.4,1906,0.6,1389,0.6,932,0.6,1120,0.5,1554,0.4
16,2,6,1,1,2,パン,3235,1.0,3023,0.9,3503,1.0,2541,1.1,2151,1.3,3108,1.3,3604,1.0
17,2,6,1,1,3,麺類,1834,0.6,1475,0.4,2113,0.6,1707,0.8,1618,1.0,1687,0.7,2047,0.6
18,2,6,1,1,4,他の穀類,447,0.1,346,0.1,542,0.2,229,0.1,448,0.3,487,0.2,543,0.1
19,2,5,1,2,0,魚介類,5924,1.9,5729,1.7,6185,1.8,5144,2.3,1775,1.1,5863,2.5,5092,1.4
20,2,6,1,2,1,生鮮魚介,3385,1.1,3153,1.0,3641,1.1,2904,1.3,1003,0.6,3214,1.4,2916,0.8
21,2,6,1,2,2,塩干魚介,1059,0.3,1116,0.3,1031,0.3,865,0.4,96,0.1,1194,0.5,897,0.2
22,2,6,1,2,3,魚肉練製品,576,0.2,568,0.2,549,0.2,712,0.3,233,0.1,647,0.3,456,0.1
23,2,6,1,2,4,他の魚介加工品,903,0.3,892,0.3,964,0.3,664,0.3,442,0.3,807,0.3,823,0.2
24,2,5,1,3,0,肉類,8801,2.8,6460,2.0,10666,3.2,8191,3.7,4469,2.7,7324,3.1,9897,2.7
25,2,6,1,3,1,生鮮肉,7190,2.3,5088,1.6,8842,2.6,6659,3.0,3363,2.1,5996,2.6,8215,2.3
26,2,6,1,3,2,加工肉,1611,0.5,1372,0.4,1824,0.5,1532,0.7,1106,0.7,1328,0.6,1683,0.5
27,2,5,1,4,0,乳卵類,4702,1.5,4070,1.2,5294,1.6,4085,1.8,3487,2.1,4204,1.8,4766,1.3
28,2,6,1,4,1,牛乳,1391,0.4,1107,0.3,1626,0.5,1110,0.5,1191,0.7,1357,0.6,1400,0.4
29,2,6,1,4,2,乳製品,2208,0.7,1974,0.6,2434,0.7,2141,1.0,1466,0.9,1816,0.8,2227,0.6
30,2,6,1,4,3,卵,1104,0.3,989,0.3,1234,0.4,833,0.4,830,0.5,1031,0.4,1139,0.3
31,2,5,1,5,0,野菜・海藻,10908,3.5,10898,3.3,11297,3.4,8916,4.0,6511,4.0,10484,4.5,10088,2.8
32,2,6,1,5,1,生鮮野菜,7636,2.4,7516,2.3,7964,2.4,6223,2.8,4675,2.9,7470,3.2,7033,1.9
33,2,6,1,5,2,乾物・海藻,783,0.2,659,0.2,912,0.3,573,0.3,268,0.2,693,0.3,761,0.2
34,2,6,1,5,3,大豆加工品,1232,0.4,1228,0.4,1258,0.4,1074,0.5,965,0.6,1241,0.5,1170,0.3
35,2,6,1,5,4,他の野菜・海藻加工品,1257,0.4,1495,0.5,1163,0.3,1045,0.5,603,0.4,1080,0.5,1124,0.3
36,2,5,1,6,0,果物,3674,1.2,3933,1.2,3689,1.1,3414,1.5,1603,1.0,2765,1.2,3125,0.9
37,2,6,1,6,1,生鮮果物,3351,1.1,3600,1.1,3329,1.0,3360,1.5,1544,0.9,2450,1.1,2755,0.8
38,2,6,1,6,2,果物加工品,323,0.1,333,0.1,360,0.1,54,0.0,59,0.0,315,0.1,370,0.1
39,2,5,1,7,0,油脂・調味料,4117,1.3,3681,1.1,4552,1.4,3655,1.6,3203,2.0,3637,1.6,4175,1.1
40,2,6,1,7,1,油脂,486,0.2,377,0.1,562,0.2,519,0.2,575,0.4,427,0.2,492,0.1
41,2,6,1,7,2,調味料,3630,1.2,3304,1.0,3989,1.2,3136,1.4,2628,1.6,3210,1.4,3683,1.0
42,2,5,1,8,0,菓子類,7574,2.4,6326,1.9,8670,2.6,6660,3.0,6918,4.3,6742,2.9,8758,2.4
43,2,5,1,9,0,調理食品,13064,4.1,12312,3.8,13865,4.1,12880,5.7,6285,3.9,11307,4.8,14220,3.9
