1,東京都生計分析調査　令和 5年 2月,,,,,,,,,,,,,,,,,,,
2,,,,第１１表　生計支出７分位階層別１世帯当たり１か月間の公共的料金支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,項目（0：世帯数等　1：公共料金等　2：準公共料金等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
5,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,0,0,調査世帯数,601,-,-,83,-,85,-,87,-,90,-,88,-,85,-,83,-
7,0,0,世帯人員,2.92,-,-,2.64,-,2.71,-,2.75,-,3.03,-,2.91,-,2.88,-,3.48,-
8,0,0,有業人員,1.41,-,-,1.01,-,1.12,-,1.20,-,1.66,-,1.50,-,1.59,-,1.80,-
9,0,0,世帯主平均年齢,59.8,-,-,66.6,-,63.0,-,59.7,-,60.3,-,59.0,-,56.3,-,53.8,-
10,0,0,消費支出,296643,-,3.8,103727,-,161336,-,206314,-,255725,-,305589,-,377612,-,663565,-
11,0,0,公共的料金,90406,30.5,12.1,30817,29.7,52031,32.3,73819,35.8,85849,33.6,101366,33.2,108028,28.6,180104,27.1
12,1,0,公共料金等,62180,21.0,11.7,26495,25.5,45233,28.0,52238,25.3,68876,26.9,72943,23.9,78673,20.8,90213,13.6
13,1,1,米,1528,0.5,-6.9,1443,1.4,1361,0.8,1531,0.7,1562,0.6,1338,0.4,1771,0.5,1694,0.3
14,1,1,食塩,27,0.0,-12.9,20,0.0,31,0.0,5,0.0,11,0.0,24,0.0,50,0.0,47,0.0
15,1,1,学校給食,778,0.3,-2.3,168,0.2,434,0.3,406,0.2,842,0.3,706,0.2,1194,0.3,1688,0.3
16,1,1,公営家賃,2114,0.7,-27.8,1107,1.1,579,0.4,3195,1.5,3495,1.4,3006,1.0,3415,0.9,-,-
17,1,1,電気代,16284,5.5,26.5,8054,7.8,14605,9.1,13686,6.6,19929,7.8,20264,6.6,19549,5.2,17729,2.7
18,1,1,都市ガス,10325,3.5,23.1,5137,5.0,9081,5.6,10456,5.1,11875,4.6,12151,4.0,10364,2.7,13127,2.0
19,1,1,上下水道料,5544,1.9,-10.9,2854,2.8,5040,3.1,5281,2.6,5577,2.2,6585,2.2,7063,1.9,6357,1.0
20,1,1,医科診療代,4718,1.6,53.2,1778,1.7,1619,1.0,2712,1.3,4039,1.6,4233,1.4,6983,1.8,11627,1.8
21,1,1,歯科診療代,1435,0.5,63.8,258,0.2,619,0.4,474,0.2,1301,0.5,3254,1.1,922,0.2,3182,0.5
22,1,1,出産入院料,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,1,1,他の入院料,779,0.3,-25.7,-,-,-,-,653,0.3,-,-,11,0.0,1636,0.4,3152,0.5
24,1,1,鉄道運賃,2643,0.9,69.3,293,0.3,1211,0.8,1310,0.6,2958,1.2,4003,1.3,2418,0.6,6262,0.9
25,1,1,鉄道通学定期代,72,0.0,-13.3,165,0.2,-,-,-,-,-,-,58,0.0,279,0.1,-,-
26,1,1,鉄道通勤定期代,1069,0.4,75.2,136,0.1,-,-,219,0.1,1062,0.4,1084,0.4,2713,0.7,2258,0.3
27,1,1,バス代,338,0.1,172.6,101,0.1,130,0.1,289,0.1,276,0.1,325,0.1,757,0.2,489,0.1
