1,東京都生計分析調査　令和 5年 6月,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第８表　世帯主年齢階層別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,905,-,724,-,1127,-,1891,-,1570,-,1388,-,1227,-,1167,-
7,0,0,0,0,0,調査世帯数,334,-,30,-,24,-,37,-,61,-,55,-,47,-,40,-,40,-
8,0,0,0,0,0,世帯人員,3.26,-,3.02,-,4.06,-,3.50,-,3.69,-,3.32,-,2.88,-,2.93,-,2.69,-
9,0,0,0,0,0,有業人員,1.75,-,1.53,-,1.53,-,1.61,-,1.66,-,1.86,-,1.96,-,1.87,-,1.86,-
10,0,0,0,0,0,世帯主平均年齢,50.9,-,30.8,-,37.1,-,42.6,-,46.9,-,51.5,-,57.1,-,61.9,-,69.7,-
11,1,0,0,0,0,受取,1813576,-,1834073,-,2217152,-,1610043,-,1840017,-,2045573,-,1958859,-,1848349,-,1179437,-
12,1,1,0,0,0,実収入,984465,100.0,717652,100.0,875195,100.0,805583,100.0,1112945,100.0,1299156,100.0,1219060,100.0,916097,100.0,593274,100.0
13,1,2,0,0,0,経常収入,966273,98.2,652283,90.9,868862,99.3,803471,99.7,1102812,99.1,1295299,99.7,1216609,99.8,846146,92.4,592144,99.8
14,1,3,0,0,0,勤め先収入,887273,90.1,605475,84.4,782707,89.4,780614,96.9,1071314,96.3,1257045,96.8,1180708,96.9,702405,76.7,323466,54.5
15,1,4,0,0,0,世帯主収入,732381,74.4,509256,71.0,738103,84.3,609771,75.7,936459,84.1,951360,73.2,1027389,84.3,526905,57.5,260203,43.9
16,1,6,0,0,0,うち男,703822,71.5,472553,65.8,647558,74.0,575340,71.4,919210,82.6,933851,71.9,986222,80.9,518675,56.6,242526,40.9
17,1,5,0,0,0,定期収入,428670,43.5,332909,46.4,414385,47.3,418718,52.0,506845,45.5,476037,36.6,504513,41.4,429357,46.9,240134,40.5
18,1,5,0,0,0,臨時収入,2477,0.3,626,0.1,2241,0.3,3286,0.4,986,0.1,3548,0.3,4653,0.4,2584,0.3,1554,0.3
19,1,5,0,0,0,賞与,301234,30.6,175721,24.5,321477,36.7,187766,23.3,428628,38.5,471776,36.3,518223,42.5,94965,10.4,18515,3.1
20,1,4,0,0,0,世帯主の配偶者の収入,139401,14.2,87581,12.2,44603,5.1,170844,21.2,134856,12.1,281979,21.7,114692,9.4,157453,17.2,34066,5.7
21,1,6,0,0,0,うち女,135165,13.7,87581,12.2,26303,3.0,170844,21.2,124017,11.1,281979,21.7,114692,9.4,157453,17.2,26692,4.5
22,1,4,0,0,0,他の世帯員収入,15490,1.6,8638,1.2,-,-,-,-,-,-,23706,1.8,38626,3.2,18047,2.0,29197,4.9
23,1,3,0,0,0,事業・内職収入,8943,0.9,-,-,23888,2.7,4277,0.5,2000,0.2,9637,0.7,4644,0.4,23217,2.5,11527,1.9
24,1,4,0,0,0,家賃収入,3749,0.4,-,-,-,-,2138,0.3,-,-,2900,0.2,-,-,20026,2.2,5102,0.9
25,1,4,0,0,0,他の事業収入,2242,0.2,-,-,16630,1.9,-,-,958,0.1,4038,0.3,-,-,1813,0.2,-,-
26,1,4,0,0,0,内職収入,2951,0.3,-,-,7258,0.8,2138,0.3,1042,0.1,2698,0.2,4644,0.4,1377,0.2,6425,1.1
