1,"東京都生計分析調査　令和 5年11月","","","","","","","","","","","","","","","","","","",""
2,"","","","","","","第９表　世帯類型別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　","","","","","","","","","","","","",""
3,"","","","","","","注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。","","","","","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　2：生計支出）","","","","","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","夫婦のみの世帯／実数（円）","夫婦のみの世帯／構成比（％）","夫婦と未婚の子供から成る世帯／実数（円）","夫婦と未婚の子供から成る世帯／構成比（％）","一人親と未婚の子供から成る世帯／実数（円）","一人親と未婚の子供から成る世帯／構成比（％）","一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）","一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）","その他／実数（円）","その他／構成比（％）","（再掲）夫婦共働き世帯／実数（円）","（再掲）夫婦共働き世帯／構成比（％）"
47,"2","6","1","10","1","茶類",1224,0.4,1244,0.4,1184,0.3,1172,0.5,2221,0.7,1426,0.6,1170,0.3
48,"2","6","1","10","2","コーヒー・ココア",1176,0.4,1040,0.3,1300,0.4,1278,0.5,1281,0.4,927,0.4,1322,0.4
49,"2","6","1","10","3","他の飲料",3017,0.9,2461,0.8,3389,1.0,3119,1.3,7167,2.3,3117,1.4,3256,1.0
50,"2","5","1","11","0","酒類",3705,1.2,4149,1.3,3879,1.1,1175,0.5,1586,0.5,2747,1.2,4135,1.2
51,"2","5","1","12","0","外食",18885,5.9,17771,5.6,21582,6.3,7666,3.1,9177,2.9,16498,7.3,23691,6.9
52,"2","6","1","12","1","一般外食",18550,5.8,17771,5.6,20953,6.1,7593,3.1,8532,2.7,16271,7.2,23104,6.8
53,"2","6","1","12","2","学校給食",335,0.1,-,-,629,0.2,73,0.0,645,0.2,226,0.1,587,0.2
54,"2","4","2","0","0","住居",19561,6.1,25772,8.1,16108,4.7,17561,7.1,20196,6.5,14794,6.5,22356,6.5
55,"2","5","2","1","0","家賃地代",12643,4.0,16180,5.1,11691,3.4,8895,3.6,19691,6.3,5796,2.5,17546,5.1
56,"2","5","2","2","0","設備修繕・維持",6918,2.2,9592,3.0,4418,1.3,8666,3.5,505,0.2,8998,4.0,4810,1.4
57,"2","6","2","2","1","設備材料",4033,1.3,6876,2.2,2741,0.8,2982,1.2,505,0.2,167,0.1,2519,0.7
58,"2","6","2","2","2","工事その他のサービス",2885,0.9,2717,0.9,1677,0.5,5684,2.3,-,-,8831,3.9,2291,0.7
59,"2","4","3","0","0","光熱・水道",19389,6.1,17084,5.3,20923,6.1,19591,7.9,17347,5.5,20034,8.8,18717,5.5
60,"2","5","3","1","0","電気代",9893,3.1,8757,2.7,10251,3.0,11122,4.5,10162,3.3,11743,5.2,9788,2.9
61,"2","5","3","2","0","ガス代",4206,1.3,3856,1.2,4621,1.4,3579,1.4,3902,1.2,3726,1.6,4114,1.2
62,"2","5","3","3","0","他の光熱",357,0.1,461,0.1,224,0.1,394,0.2,16,0.0,684,0.3,208,0.1
63,"2","5","3","4","0","上下水道料",4933,1.5,4010,1.3,5827,1.7,4496,1.8,3267,1.0,3882,1.7,4607,1.3
64,"2","4","4","0","0","家具・家事用品",15219,4.8,15579,4.9,16955,5.0,9146,3.7,17760,5.7,7870,3.5,17043,5.0
65,"2","5","4","1","0","家庭用耐久財",4648,1.5,2803,0.9,7055,2.1,547,0.2,1353,0.4,1396,0.6,7582,2.2
66,"2","6","4","1","1","家事用耐久財",1175,0.4,1411,0.4,1165,0.3,294,0.1,499,0.2,912,0.4,1944,0.6
67,"2","6","4","1","2","冷暖房用器具",2641,0.8,1233,0.4,4359,1.3,226,0.1,854,0.3,294,0.1,4961,1.4
68,"2","6","4","1","3","一般家具",832,0.3,159,0.0,1530,0.4,26,0.0,-,-,189,0.1,677,0.2
