1,東京都生計分析調査　令和 5年 4月,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第７表　世帯主年齢階層別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,556,-,390,-,801,-,1079,-,1146,-,1068,-,1067,-,3894,-,1814,-
7,0,0,0,0,0,調査世帯数,602,-,32,-,25,-,46,-,64,-,71,-,65,-,61,-,238,-,112,-
8,0,0,0,0,0,世帯人員,2.94,-,3.08,-,3.83,-,3.58,-,3.69,-,3.31,-,2.86,-,2.85,-,2.43,-,2.34,-
9,0,0,0,0,0,有業人員,1.43,-,1.54,-,1.43,-,1.56,-,1.68,-,1.85,-,2.04,-,1.83,-,0.93,-,0.58,-
10,0,0,0,0,0,世帯主平均年齢,59.4,-,30.9,-,37.6,-,42.6,-,47.1,-,51.4,-,57.1,-,62.0,-,74.7,-,80.9,-
11,2,2,0,0,0,生計支出,369068,-,321637,-,269299,-,328535,-,377698,-,696129,-,443492,-,384492,-,270861,-,241096,-
12,2,3,0,0,0,消費支出,369068,100.0,321637,100.0,269299,100.0,328535,100.0,377698,100.0,696129,100.0,443492,100.0,384492,100.0,270861,100.0,241096,100.0
13,2,4,1,0,0,食料,93678,25.4,74432,23.1,81477,30.3,96171,29.3,96283,25.5,110912,15.9,104617,23.6,106898,27.8,84716,31.3,81087,33.6
14,2,5,1,1,0,穀類,7032,1.9,6150,1.9,6308,2.3,6663,2.0,7943,2.1,8260,1.2,7497,1.7,7034,1.8,6564,2.4,6094,2.5
15,2,6,1,1,1,米類,1635,0.4,966,0.3,1621,0.6,1432,0.4,1811,0.5,1588,0.2,1905,0.4,1703,0.4,1646,0.6,1524,0.6
16,2,6,1,1,2,パン,3263,0.9,2957,0.9,2776,1.0,2784,0.8,3412,0.9,4259,0.6,3291,0.7,3348,0.9,3089,1.1,2835,1.2
17,2,6,1,1,3,麺類,1683,0.5,1816,0.6,1424,0.5,1762,0.5,2143,0.6,1912,0.3,1721,0.4,1577,0.4,1497,0.6,1439,0.6
18,2,6,1,1,4,他の穀類,451,0.1,410,0.1,487,0.2,685,0.2,577,0.2,501,0.1,580,0.1,406,0.1,332,0.1,296,0.1
19,2,5,1,2,0,魚介類,6200,1.7,2706,0.8,4489,1.7,4938,1.5,5606,1.5,5873,0.8,5844,1.3,6603,1.7,7377,2.7,7749,3.2
20,2,6,1,2,1,生鮮魚介,3624,1.0,1536,0.5,3076,1.1,2687,0.8,3229,0.9,3348,0.5,3321,0.7,3898,1.0,4369,1.6,4298,1.8
21,2,6,1,2,2,塩干魚介,1129,0.3,562,0.2,613,0.2,1097,0.3,1032,0.3,1046,0.2,1009,0.2,1162,0.3,1344,0.5,1535,0.6
22,2,6,1,2,3,魚肉練製品,597,0.2,251,0.1,164,0.1,421,0.1,515,0.1,661,0.1,757,0.2,610,0.2,682,0.3,772,0.3
23,2,6,1,2,4,他の魚介加工品,849,0.2,358,0.1,636,0.2,733,0.2,830,0.2,817,0.1,757,0.2,933,0.2,981,0.4,1145,0.5
24,2,5,1,3,0,肉類,8906,2.4,6476,2.0,7568,2.8,8972,2.7,10479,2.8,12013,1.7,9082,2.0,9975,2.6,7681,2.8,7143,3.0
25,2,6,1,3,1,生鮮肉,7286,2.0,5420,1.7,6101,2.3,7388,2.2,8759,2.3,10010,1.4,7366,1.7,8194,2.1,6168,2.3,5728,2.4
26,2,6,1,3,2,加工肉,1620,0.4,1056,0.3,1467,0.5,1584,0.5,1720,0.5,2003,0.3,1717,0.4,1781,0.5,1512,0.6,1415,0.6
27,2,5,1,4,0,乳卵類,4773,1.3,2850,0.9,5255,2.0,5415,1.6,5092,1.3,5004,0.7,4802,1.1,4897,1.3,4668,1.7,4540,1.9
28,2,6,1,4,1,牛乳,1381,0.4,587,0.2,1616,0.6,1827,0.6,1350,0.4,1141,0.2,1598,0.4,1232,0.3,1439,0.5,1524,0.6
29,2,6,1,4,2,乳製品,2289,0.6,1501,0.5,2621,1.0,2473,0.8,2480,0.7,2579,0.4,2148,0.5,2641,0.7,2134,0.8,1974,0.8
30,2,6,1,4,3,卵,1103,0.3,762,0.2,1017,0.4,1114,0.3,1263,0.3,1284,0.2,1056,0.2,1024,0.3,1095,0.4,1042,0.4
31,2,5,1,5,0,野菜・海藻,10499,2.8,5512,1.7,7381,2.7,8759,2.7,10285,2.7,11308,1.6,9851,2.2,11300,2.9,11661,4.3,12196,5.1
32,2,6,1,5,1,生鮮野菜,7402,2.0,3986,1.2,5547,2.1,6587,2.0,7155,1.9,7947,1.1,6794,1.5,8129,2.1,8118,3.0,8612,3.6
33,2,6,1,5,2,乾物・海藻,711,0.2,396,0.1,444,0.2,535,0.2,863,0.2,742,0.1,539,0.1,664,0.2,829,0.3,841,0.3
34,2,6,1,5,3,大豆加工品,1165,0.3,676,0.2,841,0.3,942,0.3,1130,0.3,1325,0.2,1237,0.3,1188,0.3,1251,0.5,1241,0.5
35,2,6,1,5,4,他の野菜・海藻加工品,1221,0.3,454,0.1,549,0.2,695,0.2,1136,0.3,1294,0.2,1281,0.3,1319,0.3,1464,0.5,1502,0.6
36,2,5,1,6,0,果物,3594,1.0,1557,0.5,3121,1.2,2640,0.8,2779,0.7,3375,0.5,3411,0.8,3777,1.0,4417,1.6,5418,2.2
37,2,6,1,6,1,生鮮果物,3145,0.9,1421,0.4,3072,1.1,2231,0.7,2426,0.6,2812,0.4,2769,0.6,3077,0.8,4006,1.5,5017,2.1
38,2,6,1,6,2,果物加工品,448,0.1,136,0.0,50,0.0,409,0.1,353,0.1,563,0.1,641,0.1,700,0.2,411,0.2,401,0.2
39,2,5,1,7,0,油脂・調味料,4072,1.1,3146,1.0,3853,1.4,3746,1.1,4526,1.2,5028,0.7,3800,0.9,4621,1.2,3810,1.4,3703,1.5
40,2,6,1,7,1,油脂,454,0.1,289,0.1,348,0.1,345,0.1,623,0.2,487,0.1,366,0.1,506,0.1,463,0.2,539,0.2
41,2,6,1,7,2,調味料,3618,1.0,2857,0.9,3505,1.3,3401,1.0,3903,1.0,4541,0.7,3434,0.8,4115,1.1,3347,1.2,3164,1.3
42,2,5,1,8,0,菓子類,7891,2.1,6645,2.1,7576,2.8,8728,2.7,8715,2.3,9740,1.4,8867,2.0,9197,2.4,6529,2.4,6358,2.6
43,2,5,1,9,0,調理食品,13334,3.6,10778,3.4,10116,3.8,13253,4.0,11647,3.1,16550,2.4,14380,3.2,17453,4.5,12143,4.5,11747,4.9
44,2,6,1,9,1,主食的調理食品,6162,1.7,6141,1.9,4086,1.5,5096,1.6,5883,1.6,8294,1.2,6749,1.5,8342,2.2,5283,2.0,5132,2.1
45,2,6,1,9,2,他の調理食品,7172,1.9,4636,1.4,6030,2.2,8158,2.5,5764,1.5,8256,1.2,7631,1.7,9111,2.4,6859,2.5,6615,2.7
46,2,5,1,10,0,飲料,5845,1.6,5448,1.7,5652,2.1,5364,1.6,6748,1.8,7658,1.1,7849,1.8,6284,1.6,4565,1.7,4100,1.7
47,2,6,1,10,1,茶類,1260,0.3,1086,0.3,1089,0.4,1001,0.3,1270,0.3,1541,0.2,1531,0.3,1716,0.4,1071,0.4,1047,0.4
