1,東京都生計分析調査　令和 5年 2月,,,,,,,,,,,,,,,
2,,,,,,,第１３表　住居所有形態別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,7744,-,1217,-,603,-,435,-
7,0,0,0,0,0,調査世帯数,601,-,474,-,69,-,36,-,22,-
8,0,0,0,0,0,世帯人員,2.92,-,2.90,-,2.91,-,2.67,-,3.46,-
9,0,0,0,0,0,有業人員,1.41,-,1.41,-,1.48,-,0.87,-,2.00,-
10,0,0,0,0,0,世帯主平均年齢,59.8,-,61.5,-,49.4,-,68.0,-,46.7,-
11,2,2,0,0,0,生計支出,296643,-,293545,-,340533,-,213221,-,344667,-
12,2,3,0,0,0,消費支出,296643,100.0,293545,100.0,340533,100.0,213221,100.0,344667,100.0
13,2,4,1,0,0,食料,84615,28.5,87244,29.7,77580,22.8,65763,30.8,83644,24.3
14,2,5,1,1,0,穀類,6495,2.2,6611,2.3,6231,1.8,5733,2.7,6231,1.8
15,2,6,1,1,1,米類,1526,0.5,1545,0.5,1289,0.4,1460,0.7,1950,0.6
16,2,6,1,1,2,パン,3030,1.0,3114,1.1,2877,0.8,2549,1.2,2623,0.8
17,2,6,1,1,3,麺類,1474,0.5,1497,0.5,1581,0.5,1122,0.5,1262,0.4
18,2,6,1,1,4,他の穀類,464,0.2,454,0.2,484,0.1,602,0.3,396,0.1
19,2,5,1,2,0,魚介類,5563,1.9,6007,2.0,3593,1.1,5111,2.4,3793,1.1
20,2,6,1,2,1,生鮮魚介,3079,1.0,3366,1.1,1845,0.5,2666,1.3,1997,0.6
21,2,6,1,2,2,塩干魚介,1037,0.3,1084,0.4,763,0.2,1276,0.6,626,0.2
22,2,6,1,2,3,魚肉練製品,601,0.2,631,0.2,407,0.1,639,0.3,543,0.2
23,2,6,1,2,4,他の魚介加工品,846,0.3,925,0.3,578,0.2,530,0.2,627,0.2
24,2,5,1,3,0,肉類,8125,2.7,8336,2.8,7184,2.1,6177,2.9,9702,2.8
25,2,6,1,3,1,生鮮肉,6683,2.3,6898,2.3,5759,1.7,4825,2.3,8014,2.3
26,2,6,1,3,2,加工肉,1442,0.5,1438,0.5,1425,0.4,1353,0.6,1688,0.5
27,2,5,1,4,0,乳卵類,4258,1.4,4295,1.5,4066,1.2,3884,1.8,4655,1.4
28,2,6,1,4,1,牛乳,1269,0.4,1238,0.4,1193,0.4,1368,0.6,1886,0.5
29,2,6,1,4,2,乳製品,2070,0.7,2109,0.7,2052,0.6,1754,0.8,1860,0.5
30,2,6,1,4,3,卵,919,0.3,947,0.3,821,0.2,762,0.4,909,0.3
31,2,5,1,5,0,野菜・海藻,9227,3.1,9601,3.3,7177,2.1,9038,4.2,8563,2.5
32,2,6,1,5,1,生鮮野菜,6392,2.2,6645,2.3,5004,1.5,6220,2.9,6009,1.7
33,2,6,1,5,2,乾物・海藻,691,0.2,715,0.2,557,0.2,677,0.3,669,0.2
34,2,6,1,5,3,大豆加工品,1042,0.4,1101,0.4,798,0.2,816,0.4,992,0.3
35,2,6,1,5,4,他の野菜・海藻加工品,1102,0.4,1140,0.4,819,0.2,1326,0.6,894,0.3
36,2,5,1,6,0,果物,3471,1.2,3664,1.2,2395,0.7,3876,1.8,2471,0.7
37,2,6,1,6,1,生鮮果物,3085,1.0,3238,1.1,2242,0.7,3657,1.7,1929,0.6
38,2,6,1,6,2,果物加工品,386,0.1,427,0.1,153,0.0,219,0.1,543,0.2
39,2,5,1,7,0,油脂・調味料,3812,1.3,3909,1.3,3531,1.0,3203,1.5,3711,1.1
40,2,6,1,7,1,油脂,372,0.1,386,0.1,392,0.1,279,0.1,194,0.1
41,2,6,1,7,2,調味料,3440,1.2,3523,1.2,3140,0.9,2924,1.4,3518,1.0
42,2,5,1,8,0,菓子類,7701,2.6,7848,2.7,7228,2.1,5170,2.4,9913,2.9
43,2,5,1,9,0,調理食品,12821,4.3,13155,4.5,12097,3.6,9741,4.6,13165,3.8
44,2,6,1,9,1,主食的調理食品,6189,2.1,6395,2.2,5298,1.6,5233,2.5,6335,1.8
45,2,6,1,9,2,他の調理食品,6632,2.2,6761,2.3,6798,2.0,4508,2.1,6830,2.0
46,2,5,1,10,0,飲料,4809,1.6,4922,1.7,4477,1.3,3520,1.7,5495,1.6
47,2,6,1,10,1,茶類,1139,0.4,1121,0.4,1212,0.4,961,0.5,1511,0.4
48,2,6,1,10,2,コーヒー・ココア,1182,0.4,1263,0.4,915,0.3,766,0.4,1071,0.3
49,2,6,1,10,3,他の飲料,2487,0.8,2538,0.9,2350,0.7,1793,0.8,2912,0.8
50,2,5,1,11,0,酒類,3263,1.1,3660,1.2,1923,0.6,2040,1.0,1651,0.5
51,2,5,1,12,0,外食,15072,5.1,15236,5.2,17678,5.2,8270,3.9,14292,4.1
52,2,6,1,12,1,一般外食,14294,4.8,14440,4.9,17057,5.0,7696,3.6,13119,3.8
53,2,6,1,12,2,学校給食,778,0.3,797,0.3,621,0.2,573,0.3,1174,0.3
54,2,4,2,0,0,住居,24197,8.2,10014,3.4,93805,27.5,35504,16.7,66211,19.2
55,2,5,2,1,0,家賃地代,15631,5.3,773,0.3,93608,27.5,35048,16.4,34995,10.2
56,2,5,2,2,0,設備修繕・維持,8567,2.9,9241,3.1,197,0.1,456,0.2,31216,9.1
57,2,6,2,2,1,設備材料,2572,0.9,3276,1.1,169,0.0,233,0.1,11,0.0
58,2,6,2,2,2,工事その他のサービス,5995,2.0,5966,2.0,28,0.0,223,0.1,31205,9.1
59,2,4,3,0,0,光熱・水道,33282,11.2,35359,12.0,26859,7.9,27188,12.8,22719,6.6
60,2,5,3,1,0,電気代,16284,5.5,17532,6.0,12013,3.5,12792,6.0,10846,3.1
61,2,5,3,2,0,ガス代,10862,3.7,11473,3.9,8769,2.6,9315,4.4,7993,2.3
62,2,5,3,3,0,他の光熱,592,0.2,619,0.2,705,0.2,404,0.2,58,0.0
63,2,5,3,4,0,上下水道料,5544,1.9,5735,2.0,5371,1.6,4677,2.2,3823,1.1
64,2,4,4,0,0,家具・家事用品,8132,2.7,8337,2.8,7882,2.3,6683,3.1,7199,2.1
65,2,5,4,1,0,家庭用耐久財,1834,0.6,2083,0.7,828,0.2,1990,0.9,-,-
66,2,6,4,1,1,家事用耐久財,786,0.3,938,0.3,59,0.0,870,0.4,-,-
67,2,6,4,1,2,冷暖房用器具,514,0.2,605,0.2,256,0.1,234,0.1,-,-
68,2,6,4,1,3,一般家具,534,0.2,540,0.2,513,0.2,885,0.4,-,-
69,2,5,4,2,0,室内装備・装飾品,308,0.1,369,0.1,30,0.0,287,0.1,23,0.0
70,2,5,4,3,0,寝具類,306,0.1,342,0.1,207,0.1,-,-,374,0.1
71,2,5,4,4,0,家事雑貨,2066,0.7,1997,0.7,2190,0.6,1404,0.7,3869,1.1
72,2,5,4,5,0,家事用消耗品,2888,1.0,2914,1.0,2756,0.8,2788,1.3,2928,0.8
73,2,5,4,6,0,家事サービス,730,0.2,632,0.2,1871,0.5,213,0.1,5,0.0
74,2,4,5,0,0,被服及び履物,8019,2.7,8414,2.9,6637,1.9,2931,1.4,11900,3.5
75,2,5,5,1,0,和服,134,0.0,173,0.1,-,-,-,-,-,-
76,2,5,5,2,0,洋服,3595,1.2,3718,1.3,2953,0.9,603,0.3,7360,2.1
77,2,6,5,2,1,男子用洋服,1063,0.4,1191,0.4,236,0.1,173,0.1,2335,0.7
78,2,6,5,2,2,婦人用洋服,2183,0.7,2255,0.8,2311,0.7,412,0.2,3000,0.9
79,2,6,5,2,3,子供用洋服,350,0.1,272,0.1,406,0.1,18,0.0,2025,0.6
80,2,5,5,3,0,シャツ・セーター類,1200,0.4,1346,0.5,893,0.3,439,0.2,511,0.1
81,2,6,5,3,1,男子用シャツ・セーター類,334,0.1,357,0.1,348,0.1,120,0.1,192,0.1
82,2,6,5,3,2,婦人用シャツ・セーター類,802,0.3,915,0.3,518,0.2,271,0.1,319,0.1
83,2,6,5,3,3,子供用シャツ・セーター類,64,0.0,75,0.0,27,0.0,48,0.0,-,-
84,2,5,5,4,0,下着類,827,0.3,839,0.3,758,0.2,928,0.4,666,0.2
85,2,6,5,4,1,男子用下着類,244,0.1,249,0.1,127,0.0,170,0.1,577,0.2
86,2,6,5,4,2,婦人用下着類,539,0.2,543,0.2,567,0.2,758,0.4,89,0.0
87,2,6,5,4,3,子供用下着類,44,0.0,46,0.0,64,0.0,-,-,-,-
88,2,5,5,5,0,生地・糸類,119,0.0,137,0.0,107,0.0,-,-,-,-
89,2,5,5,6,0,他の被服,620,0.2,594,0.2,699,0.2,254,0.1,1366,0.4
90,2,5,5,7,0,履物類,1140,0.4,1227,0.4,859,0.3,218,0.1,1661,0.5
91,2,5,5,8,0,被服関連サービス,385,0.1,382,0.1,368,0.1,489,0.2,336,0.1
92,2,4,6,0,0,保健医療,16503,5.6,17362,5.9,15551,4.6,10109,4.7,12741,3.7
93,2,5,6,1,0,医薬品,3124,1.1,3256,1.1,2392,0.7,2372,1.1,3869,1.1
94,2,5,6,2,0,健康保持用摂取品,1200,0.4,1290,0.4,611,0.2,653,0.3,1995,0.6
95,2,5,6,3,0,保健医療用品・器具,3463,1.2,3632,1.2,3026,0.9,2928,1.4,2428,0.7
96,2,5,6,4,0,保健医療サービス,8715,2.9,9183,3.1,9521,2.8,4156,1.9,4449,1.3
97,2,4,7,0,0,交通・通信,25971,8.8,26238,8.9,23463,6.9,29082,13.6,23912,6.9
98,2,5,7,1,0,交通,5639,1.9,5408,1.8,6819,2.0,4896,2.3,7482,2.2
99,2,5,7,2,0,自動車等関係費,10072,3.4,10589,3.6,5346,1.6,14192,6.7,8364,2.4
100,2,6,7,2,1,自動車等購入,931,0.3,1203,0.4,-,-,-,-,-,-
101,2,6,7,2,2,自転車購入,617,0.2,682,0.2,-,-,1463,0.7,-,-
102,2,6,7,2,3,自動車等維持,8524,2.9,8704,3.0,5346,1.6,12729,6.0,8364,2.4
103,2,5,7,3,0,通信,10260,3.5,10241,3.5,11298,3.3,9993,4.7,8065,2.3
104,2,4,8,0,0,教育,16274,5.5,14505,4.9,27348,8.0,3977,1.9,33847,9.8
105,2,5,8,1,0,授業料等,11474,3.9,9727,3.3,21707,6.4,882,0.4,28620,8.3
106,2,5,8,2,0,教科書・学習参考教材,362,0.1,461,0.2,-,-,77,0.0,-,-
107,2,5,8,3,0,補習教育,4439,1.5,4316,1.5,5641,1.7,3017,1.4,5228,1.5
108,2,4,9,0,0,教養娯楽,32481,10.9,33819,11.5,33587,9.9,14672,6.9,30257,8.8
109,2,5,9,1,0,教養娯楽用耐久財,1586,0.5,868,0.3,6408,1.9,61,0.0,2988,0.9
110,2,5,9,2,0,教養娯楽用品,6813,2.3,7489,2.6,4419,1.3,3619,1.7,5908,1.7
111,2,5,9,3,0,書籍・他の印刷物,3302,1.1,3542,1.2,2112,0.6,2909,1.4,2909,0.8
112,2,5,9,4,0,教養娯楽サービス,20779,7.0,21920,7.5,20648,6.1,8082,3.8,18451,5.4
113,2,6,9,4,1,宿泊料,2555,0.9,2896,1.0,2346,0.7,454,0.2,-,-
114,2,6,9,4,2,パック旅行費,3232,1.1,3228,1.1,4864,1.4,-,-,3218,0.9
115,2,6,9,4,3,月謝類,3467,1.2,3637,1.2,2384,0.7,1136,0.5,6698,1.9
116,2,6,9,4,4,他の教養娯楽サービス,11525,3.9,12160,4.1,11054,3.2,6492,3.0,8535,2.5
117,2,4,10,0,0,その他の消費支出,47170,15.9,52252,17.8,27821,8.2,17312,8.1,52238,15.2
118,2,5,10,1,0,諸雑費,29938,10.1,33172,11.3,17951,5.3,11068,5.2,32087,9.3
119,2,6,10,1,1,理美容サービス,3807,1.3,3884,1.3,3928,1.2,1590,0.7,5179,1.5
120,2,6,10,1,2,理美容用品,4751,1.6,4864,1.7,4273,1.3,2623,1.2,7026,2.0
121,2,6,10,1,3,身の回り用品,2415,0.8,2660,0.9,963,0.3,180,0.1,5213,1.5
122,2,6,10,1,4,たばこ,817,0.3,794,0.3,1051,0.3,1078,0.5,225,0.1
123,2,6,10,1,5,他の諸雑費,18147,6.1,20970,7.1,7736,2.3,5597,2.6,14445,4.2
124,2,5,10,2,0,こづかい,5672,1.9,6013,2.0,2610,0.8,1769,0.8,13580,3.9
125,2,5,10,3,0,交際費,10635,3.6,11978,4.1,6601,1.9,4475,2.1,6570,1.9
126,2,6,10,3,0,食料,2511,0.8,2634,0.9,2604,0.8,1272,0.6,1761,0.5
127,2,6,10,3,0,家具・家事用品,174,0.1,208,0.1,26,0.0,0,0.0,215,0.1
128,2,6,10,3,0,被服及び履物,262,0.1,305,0.1,42,0.0,-,-,465,0.1
129,2,6,10,3,0,教養娯楽,429,0.1,422,0.1,669,0.2,339,0.2,-,-
130,2,6,10,3,0,他の物品サービス,264,0.1,288,0.1,161,0.0,-,-,499,0.1
131,2,6,10,3,6,贈与金,2908,1.0,3497,1.2,440,0.1,2061,1.0,519,0.2
132,2,6,10,3,7,他の交際費,4088,1.4,4623,1.6,2658,0.8,802,0.4,3112,0.9
133,2,5,10,4,0,仕送り金,924,0.3,1090,0.4,659,0.2,-,-,-,-
134,2,3,0,0,0,土地家屋購入,-,-,-,-,-,-,-,-,-,-
135,2,3,0,0,0,（再掲）教育関係費,17878,6.0,16209,5.5,28234,8.3,5759,2.7,35421,10.3
136,2,3,0,0,0,（再掲）教養娯楽関係費,36225,12.2,37469,12.8,38813,11.4,15679,7.4,35338,10.3
137,2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,3833,1.3,4587,1.6,1098,0.3,2061,1.0,519,0.2
138,2,3,0,0,0,（再掲）経常消費支出,225740,76.1,219144,74.7,279034,81.9,188540,88.4,245622,71.3
139,2,3,0,0,0,（再掲）情報通信関係費,15053,5.1,15592,5.3,13654,4.0,13640,6.4,11328,3.3
140,2,3,0,0,0,（再掲）消費支出（除く住居等）　1）,267682,90.2,277742,94.6,245629,72.1,175655,82.4,277937,80.6
