1,東京都生計分析調査　令和 5年 2月,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第１表　生計支出７分位階層別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
7,0,0,0,0,0,調査世帯数,601,-,-,83,-,85,-,87,-,90,-,88,-,85,-,83,-
8,0,0,0,0,0,世帯人員,2.92,-,-,2.64,-,2.71,-,2.75,-,3.03,-,2.91,-,2.88,-,3.48,-
9,0,0,0,0,0,有業人員,1.41,-,-,1.01,-,1.12,-,1.20,-,1.66,-,1.50,-,1.59,-,1.80,-
10,0,0,0,0,0,世帯主平均年齢,59.8,-,-,66.6,-,63.0,-,59.7,-,60.3,-,59.0,-,56.3,-,53.8,-
11,2,2,0,0,0,生計支出,296643,-,-3.7,103727,-,161336,-,206314,-,255725,-,305589,-,377612,-,663565,-
12,2,3,0,0,0,消費支出,296643,100.0,3.8,103727,100.0,161336,100.0,206314,100.0,255725,100.0,305589,100.0,377612,100.0,663565,100.0
13,2,4,1,0,0,食料,84615,28.5,8.6,52406,50.5,69288,42.9,70706,34.3,88076,34.4,86640,28.4,101766,26.9,122924,18.5
14,2,5,1,1,0,穀類,6495,2.2,1.8,4991,4.8,5362,3.3,6105,3.0,7246,2.8,6167,2.0,6906,1.8,8672,1.3
15,2,6,1,1,1,米類,1526,0.5,-5.0,1443,1.4,1348,0.8,1531,0.7,1562,0.6,1338,0.4,1771,0.5,1694,0.3
16,2,6,1,1,2,パン,3030,1.0,7.2,2050,2.0,2432,1.5,2779,1.3,3517,1.4,2827,0.9,3112,0.8,4482,0.7
17,2,6,1,1,3,麺類,1474,0.5,1.1,1194,1.2,1066,0.7,1442,0.7,1621,0.6,1601,0.5,1624,0.4,1770,0.3
18,2,6,1,1,4,他の穀類,464,0.2,-5.5,304,0.3,515,0.3,353,0.2,546,0.2,401,0.1,400,0.1,726,0.1
19,2,5,1,2,0,魚介類,5563,1.9,-7.0,4842,4.7,5362,3.3,5060,2.5,6312,2.5,5253,1.7,5788,1.5,6311,1.0
20,2,6,1,2,1,生鮮魚介,3079,1.0,-12.3,2661,2.6,2907,1.8,2667,1.3,3777,1.5,2916,1.0,2991,0.8,3630,0.5
21,2,6,1,2,2,塩干魚介,1037,0.3,5.4,969,0.9,1146,0.7,1031,0.5,972,0.4,913,0.3,1217,0.3,1009,0.2
22,2,6,1,2,3,魚肉練製品,601,0.2,-1.5,534,0.5,545,0.3,595,0.3,679,0.3,586,0.2,668,0.2,597,0.1
23,2,6,1,2,4,他の魚介加工品,846,0.3,-3.4,678,0.7,764,0.5,767,0.4,885,0.3,838,0.3,912,0.2,1074,0.2
24,2,5,1,3,0,肉類,8125,2.7,5.6,5157,5.0,6976,4.3,7988,3.9,8918,3.5,7717,2.5,9076,2.4,11006,1.7
25,2,6,1,3,1,生鮮肉,6683,2.3,5.6,4328,4.2,5604,3.5,6808,3.3,7416,2.9,6227,2.0,7373,2.0,9000,1.4
26,2,6,1,3,2,加工肉,1442,0.5,5.6,829,0.8,1372,0.9,1180,0.6,1502,0.6,1489,0.5,1703,0.5,2006,0.3
27,2,5,1,4,0,乳卵類,4258,1.4,0.6,3038,2.9,3683,2.3,4016,1.9,4256,1.7,4098,1.3,4989,1.3,5709,0.9
28,2,6,1,4,1,牛乳,1269,0.4,-4.7,829,0.8,1039,0.6,1249,0.6,1347,0.5,1369,0.4,1391,0.4,1652,0.2
29,2,6,1,4,2,乳製品,2070,0.7,-1.9,1469,1.4,1818,1.1,1884,0.9,1998,0.8,1847,0.6,2554,0.7,2915,0.4
30,2,6,1,4,3,卵,919,0.3,16.5,740,0.7,826,0.5,883,0.4,911,0.4,882,0.3,1044,0.3,1142,0.2
31,2,5,1,5,0,野菜・海藻,9227,3.1,-5.9,7473,7.2,8014,5.0,8961,4.3,9919,3.9,8694,2.8,10460,2.8,11052,1.7
32,2,6,1,5,1,生鮮野菜,6392,2.2,-5.3,5069,4.9,5552,3.4,6303,3.1,6842,2.7,5944,1.9,7129,1.9,7895,1.2
33,2,6,1,5,2,乾物・海藻,691,0.2,-10.1,506,0.5,652,0.4,619,0.3,719,0.3,623,0.2,784,0.2,934,0.1
34,2,6,1,5,3,大豆加工品,1042,0.4,-5.4,843,0.8,931,0.6,1033,0.5,1118,0.4,1024,0.3,1222,0.3,1120,0.2
35,2,6,1,5,4,他の野菜・海藻加工品,1102,0.4,-7.1,1055,1.0,879,0.5,1006,0.5,1241,0.5,1103,0.4,1325,0.4,1104,0.2
36,2,5,1,6,0,果物,3471,1.2,-1.9,2635,2.5,3420,2.1,3316,1.6,3640,1.4,3199,1.0,4076,1.1,3998,0.6
37,2,6,1,6,1,生鮮果物,3085,1.0,-1.7,2401,2.3,3044,1.9,3031,1.5,3213,1.3,2826,0.9,3578,0.9,3491,0.5
38,2,6,1,6,2,果物加工品,386,0.1,-3.5,234,0.2,375,0.2,286,0.1,427,0.2,373,0.1,497,0.1,507,0.1
39,2,5,1,7,0,油脂・調味料,3812,1.3,1.6,2617,2.5,3334,2.1,3406,1.7,4135,1.6,3704,1.2,4743,1.3,4726,0.7
40,2,6,1,7,1,油脂,372,0.1,-8.1,326,0.3,341,0.2,315,0.2,429,0.2,308,0.1,484,0.1,399,0.1
41,2,6,1,7,2,調味料,3440,1.2,2.7,2291,2.2,2993,1.9,3091,1.5,3706,1.4,3396,1.1,4259,1.1,4327,0.7
42,2,5,1,8,0,菓子類,7701,2.6,12.7,4506,4.3,5983,3.7,6025,2.9,8685,3.4,7226,2.4,8740,2.3,12697,1.9
43,2,5,1,9,0,調理食品,12821,4.3,7.5,8485,8.2,10118,6.3,11069,5.4,12273,4.8,13728,4.5,14283,3.8,19725,3.0
