1,東京都生計分析調査　令和 5年 4月,,,,,,,,,,,,,,,,,,,
2,,,,,,,第９表　世帯類型別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
51,2,5,1,12,0,外食,17562,4.8,16086,5.2,19239,4.4,19310,7.8,20725,7.9,11887,4.2,22760,4.8
52,2,6,1,12,1,一般外食,17197,4.7,16086,5.2,18543,4.3,19310,7.8,20725,7.9,11825,4.2,21981,4.6
53,2,6,1,12,2,学校給食,365,0.1,-,-,696,0.2,-,-,-,-,62,0.0,778,0.2
54,2,4,2,0,0,住居,24730,6.7,40519,13.1,17614,4.0,18644,7.6,9871,3.8,7546,2.7,30467,6.4
55,2,5,2,1,0,家賃地代,14526,3.9,14569,4.7,15719,3.6,17463,7.1,9808,3.7,4657,1.7,17897,3.8
56,2,5,2,2,0,設備修繕・維持,10204,2.8,25951,8.4,1895,0.4,1181,0.5,63,0.0,2890,1.0,12570,2.6
57,2,6,2,2,1,設備材料,2004,0.5,4848,1.6,588,0.1,199,0.1,63,0.0,272,0.1,980,0.2
58,2,6,2,2,2,工事その他のサービス,8200,2.2,21103,6.8,1307,0.3,981,0.4,-,-,2618,0.9,11590,2.4
59,2,4,3,0,0,光熱・水道,26718,7.2,24290,7.8,27916,6.4,24575,10.0,17741,6.8,30891,11.0,26207,5.5
60,2,5,3,1,0,電気代,13145,3.6,12729,4.1,13288,3.0,12871,5.2,10992,4.2,14192,5.1,12548,2.6
61,2,5,3,2,0,ガス代,8523,2.3,7449,2.4,9236,2.1,6727,2.7,4988,1.9,9807,3.5,8991,1.9
62,2,5,3,3,0,他の光熱,136,0.0,241,0.1,70,0.0,31,0.0,45,0.0,194,0.1,50,0.0
63,2,5,3,4,0,上下水道料,4913,1.3,3871,1.2,5322,1.2,4946,2.0,1715,0.7,6699,2.4,4618,1.0
64,2,4,4,0,0,家具・家事用品,11931,3.2,13877,4.5,10449,2.4,23721,9.6,100620,38.3,4740,1.7,10747,2.3
65,2,5,4,1,0,家庭用耐久財,4313,1.2,6706,2.2,1863,0.4,17992,7.3,94877,36.2,34,0.0,2854,0.6
66,2,6,4,1,1,家事用耐久財,2663,0.7,6391,2.1,809,0.2,778,0.3,-,-,34,0.0,2506,0.5
67,2,6,4,1,2,冷暖房用器具,1411,0.4,65,0.0,770,0.2,17118,7.0,94877,36.2,-,-,58,0.0
68,2,6,4,1,3,一般家具,238,0.1,250,0.1,284,0.1,96,0.0,-,-,-,-,290,0.1
69,2,5,4,2,0,室内装備・装飾品,700,0.2,1069,0.3,573,0.1,266,0.1,344,0.1,259,0.1,466,0.1
70,2,5,4,3,0,寝具類,453,0.1,408,0.1,545,0.1,459,0.2,123,0.0,56,0.0,651,0.1
71,2,5,4,4,0,家事雑貨,2241,0.6,1792,0.6,2694,0.6,2165,0.9,2962,1.1,1310,0.5,2464,0.5
72,2,5,4,5,0,家事用消耗品,3490,0.9,3107,1.0,3948,0.9,2575,1.0,2313,0.9,2845,1.0,3761,0.8
73,2,5,4,6,0,家事サービス,735,0.2,795,0.3,825,0.2,263,0.1,-,-,238,0.1,550,0.1
74,2,4,5,0,0,被服及び履物,13042,3.5,10764,3.5,15995,3.7,8734,3.5,6012,2.3,6946,2.5,18088,3.8
75,2,5,5,1,0,和服,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,2,5,5,2,0,洋服,5115,1.4,4478,1.4,6310,1.4,1790,0.7,1392,0.5,2576,0.9,8080,1.7
77,2,6,5,2,1,男子用洋服,2427,0.7,3186,1.0,2372,0.5,666,0.3,353,0.1,826,0.3,4054,0.9
78,2,6,5,2,2,婦人用洋服,2213,0.6,1292,0.4,3097,0.7,1013,0.4,219,0.1,1331,0.5,3210,0.7
79,2,6,5,2,3,子供用洋服,475,0.1,-,-,841,0.2,110,0.0,820,0.3,419,0.1,816,0.2
80,2,5,5,3,0,シャツ・セーター類,2984,0.8,2168,0.7,3501,0.8,4897,2.0,652,0.2,1787,0.6,3868,0.8
81,2,6,5,3,1,男子用シャツ・セーター類,1074,0.3,1081,0.3,1232,0.3,549,0.2,275,0.1,411,0.1,1416,0.3
82,2,6,5,3,2,婦人用シャツ・セーター類,1734,0.5,1086,0.4,1935,0.4,4328,1.8,235,0.1,1341,0.5,2159,0.5
83,2,6,5,3,3,子供用シャツ・セーター類,177,0.0,-,-,334,0.1,19,0.0,142,0.1,36,0.0,293,0.1
84,2,5,5,4,0,下着類,943,0.3,657,0.2,1260,0.3,390,0.2,-,-,532,0.2,1244,0.3
85,2,6,5,4,1,男子用下着類,234,0.1,296,0.1,242,0.1,-,-,-,-,87,0.0,284,0.1
86,2,6,5,4,2,婦人用下着類,572,0.2,362,0.1,768,0.2,390,0.2,-,-,347,0.1,748,0.2
87,2,6,5,4,3,子供用下着類,137,0.0,-,-,250,0.1,-,-,-,-,98,0.0,212,0.0
88,2,5,5,5,0,生地・糸類,141,0.0,101,0.0,177,0.0,70,0.0,-,-,134,0.0,153,0.0
89,2,5,5,6,0,他の被服,782,0.2,589,0.2,964,0.2,609,0.2,904,0.3,566,0.2,1090,0.2
90,2,5,5,7,0,履物類,1957,0.5,1420,0.5,2646,0.6,676,0.3,3064,1.2,751,0.3,2459,0.5
91,2,5,5,8,0,被服関連サービス,1118,0.3,1350,0.4,1137,0.3,303,0.1,-,-,600,0.2,1194,0.3
92,2,4,6,0,0,保健医療,17934,4.9,19632,6.3,17002,3.9,10878,4.4,3852,1.5,21701,7.8,16669,3.5
93,2,5,6,1,0,医薬品,3000,0.8,3644,1.2,2514,0.6,2189,0.9,1090,0.4,3946,1.4,2674,0.6
94,2,5,6,2,0,健康保持用摂取品,1540,0.4,1299,0.4,1040,0.2,2527,1.0,177,0.1,5035,1.8,1568,0.3
95,2,5,6,3,0,保健医療用品・器具,2931,0.8,1616,0.5,3910,0.9,1620,0.7,2584,1.0,3203,1.1,4064,0.9
96,2,5,6,4,0,保健医療サービス,10463,2.8,13072,4.2,9539,2.2,4541,1.8,-,-,9517,3.4,8362,1.8
97,2,4,7,0,0,交通・通信,32649,8.8,27212,8.8,37928,8.7,23039,9.4,13264,5.1,28888,10.3,41751,8.8
98,2,5,7,1,0,交通,10655,2.9,8304,2.7,12912,3.0,6281,2.6,138,0.1,9357,3.3,15710,3.3
99,2,5,7,2,0,自動車等関係費,11450,3.1,9602,3.1,13598,3.1,7499,3.0,7463,2.8,8408,3.0,14919,3.1
100,2,6,7,2,1,自動車等購入,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,2,6,7,2,2,自転車購入,864,0.2,274,0.1,1277,0.3,618,0.3,4588,1.7,904,0.3,1853,0.4
102,2,6,7,2,3,自動車等維持,10586,2.9,9327,3.0,12321,2.8,6881,2.8,2875,1.1,7504,2.7,13066,2.7
103,2,5,7,3,0,通信,10544,2.9,9306,3.0,11419,2.6,9259,3.8,5663,2.2,11122,4.0,11121,2.3
104,2,4,8,0,0,教育,55156,14.9,-,-,102234,23.4,13609,5.5,24465,9.3,18444,6.6,107547,22.6
105,2,5,8,1,0,授業料等,50942,13.8,-,-,94582,21.7,11981,4.9,15131,5.8,16438,5.9,99821,20.9
106,2,5,8,2,0,教科書・学習参考教材,547,0.1,-,-,859,0.2,1628,0.7,9334,3.6,106,0.0,1067,0.2
107,2,5,8,3,0,補習教育,3667,1.0,-,-,6793,1.6,-,-,-,-,1900,0.7,6658,1.4
108,2,4,9,0,0,教養娯楽,36525,9.9,36855,11.9,39645,9.1,15938,6.5,12548,4.8,29933,10.7,43421,9.1
109,2,5,9,1,0,教養娯楽用耐久財,2301,0.6,1088,0.4,3519,0.8,151,0.1,187,0.1,1214,0.4,3249,0.7
110,2,5,9,2,0,教養娯楽用品,9212,2.5,8464,2.7,10430,2.4,4368,1.8,3417,1.3,8079,2.9,10355,2.2
111,2,5,9,3,0,書籍・他の印刷物,3479,0.9,3989,1.3,3251,0.7,2009,0.8,-,-,3816,1.4,3489,0.7
112,2,5,9,4,0,教養娯楽サービス,21533,5.8,23314,7.5,22445,5.1,9410,3.8,8943,3.4,16824,6.0,26328,5.5
113,2,6,9,4,1,宿泊料,2327,0.6,2495,0.8,2498,0.6,454,0.2,-,-,1861,0.7,2894,0.6
114,2,6,9,4,2,パック旅行費,2106,0.6,3165,1.0,1584,0.4,1188,0.5,997,0.4,1601,0.6,1814,0.4
115,2,6,9,4,3,月謝類,3497,0.9,2031,0.7,5123,1.2,608,0.2,4302,1.6,1398,0.5,5315,1.1
116,2,6,9,4,4,他の教養娯楽サービス,13604,3.7,15623,5.0,13240,3.0,7160,2.9,3645,1.4,11963,4.3,16305,3.4
117,2,4,10,0,0,その他の消費支出,56706,15.4,52225,16.8,63806,14.6,31474,12.8,16259,6.2,48435,17.3,77271,16.2
118,2,5,10,1,0,諸雑費,29635,8.0,24126,7.8,34469,7.9,10512,4.3,14688,5.6,35792,12.8,40867,8.6
119,2,6,10,1,1,理美容サービス,4154,1.1,4635,1.5,4325,1.0,2007,0.8,4221,1.6,2550,0.9,5848,1.2
120,2,6,10,1,2,理美容用品,5028,1.4,4586,1.5,5873,1.3,2531,1.0,5979,2.3,3293,1.2,6327,1.3
121,2,6,10,1,3,身の回り用品,2781,0.8,2684,0.9,3083,0.7,588,0.2,675,0.3,2833,1.0,5304,1.1
122,2,6,10,1,4,たばこ,887,0.2,775,0.2,834,0.2,1442,0.6,-,-,1310,0.5,1124,0.2
123,2,6,10,1,5,他の諸雑費,16785,4.5,11446,3.7,20354,4.7,3943,1.6,3813,1.5,25806,9.2,22264,4.7
124,2,5,10,2,0,こづかい,5906,1.6,6385,2.1,6173,1.4,-,-,-,-,6392,2.3,7456,1.6
125,2,5,10,3,0,交際費,14259,3.9,18871,6.1,12921,3.0,10220,4.2,1571,0.6,6142,2.2,15152,3.2
126,2,6,10,3,0,食料,4457,1.2,6757,2.2,3434,0.8,4313,1.8,872,0.3,1342,0.5,5255,1.1
127,2,6,10,3,0,家具・家事用品,157,0.0,216,0.1,153,0.0,-,-,-,-,45,0.0,168,0.0
128,2,6,10,3,0,被服及び履物,338,0.1,788,0.3,124,0.0,-,-,-,-,43,0.0,138,0.0
129,2,6,10,3,0,教養娯楽,956,0.3,892,0.3,1212,0.3,192,0.1,-,-,140,0.1,1317,0.3
130,2,6,10,3,0,他の物品サービス,275,0.1,536,0.2,145,0.0,109,0.0,483,0.2,114,0.0,284,0.1
131,2,6,10,3,6,贈与金,3797,1.0,5189,1.7,3262,0.7,3309,1.3,-,-,1660,0.6,2604,0.5
132,2,6,10,3,7,他の交際費,4279,1.2,4494,1.4,4591,1.1,2297,0.9,215,0.1,2797,1.0,5386,1.1
133,2,5,10,4,0,仕送り金,6905,1.9,2843,0.9,10243,2.3,10742,4.4,-,-,109,0.0,13796,2.9
134,2,3,0,0,0,土地家屋購入,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,2,3,0,0,0,（再掲）教育関係費,59297,16.1,1866,0.6,108204,24.8,16233,6.6,24808,9.5,21652,7.7,113822,23.9
136,2,3,0,0,0,（再掲）教養娯楽関係費,42318,11.5,44302,14.3,45107,10.3,17777,7.2,12374,4.7,33652,12.0,50641,10.6
137,2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,10702,2.9,8032,2.6,13505,3.1,14051,5.7,-,-,1769,0.6,16400,3.4
138,2,3,0,0,0,（再掲）経常消費支出,241265,65.4,225561,72.7,260955,59.9,183745,74.7,145988,55.6,223341,79.8,273046,57.3
139,2,3,0,0,0,（再掲）情報通信関係費,15546,4.2,14767,4.8,16243,3.7,12979,5.3,8735,3.3,16234,5.8,16189,3.4
140,2,3,0,0,0,（再掲）消費支出（除く住居等）　1）,333636,90.4,261649,84.3,404862,92.9,213407,86.7,252517,96.2,270455,96.7,429968,90.2
