1,東京都生計分析調査　令和 5年 3月,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第７表　世帯主年齢階層別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,448,-,426,-,863,-,995,-,1213,-,1202,-,1016,-,3837,-,1869,-
7,0,0,0,0,0,調査世帯数,607,-,26,-,27,-,50,-,63,-,75,-,71,-,58,-,237,-,117,-
8,0,0,0,0,0,世帯人員,2.97,-,2.88,-,3.85,-,3.61,-,3.85,-,3.34,-,2.95,-,2.92,-,2.42,-,2.27,-
9,0,0,0,0,0,有業人員,1.44,-,1.66,-,1.44,-,1.60,-,1.74,-,1.74,-,1.92,-,1.95,-,0.93,-,0.58,-
10,0,0,0,0,0,世帯主平均年齢,59.4,-,30.1,-,37.4,-,42.5,-,47.0,-,51.4,-,57.2,-,61.9,-,74.7,-,80.9,-
11,2,2,0,0,0,生計支出,345213,-,290392,-,363317,-,363657,-,427032,-,436933,-,432753,-,307686,-,277741,-,255269,-
12,2,3,0,0,0,消費支出,345213,100.0,290392,100.0,363317,100.0,363657,100.0,427032,100.0,436933,100.0,432753,100.0,307686,100.0,277741,100.0,255269,100.0
13,2,4,1,0,0,食料,94221,27.3,82933,28.6,77850,21.4,99520,27.4,100137,23.4,101422,23.2,103229,23.9,101583,33.0,87583,31.5,81648,32.0
14,2,5,1,1,0,穀類,7265,2.1,6572,2.3,6552,1.8,7597,2.1,8564,2.0,8163,1.9,7208,1.7,6853,2.2,6855,2.5,6111,2.4
15,2,6,1,1,1,米類,1691,0.5,1166,0.4,1627,0.4,1462,0.4,2457,0.6,2264,0.5,1451,0.3,1272,0.4,1616,0.6,1767,0.7
16,2,6,1,1,2,パン,3494,1.0,3361,1.2,2859,0.8,3734,1.0,3331,0.8,3884,0.9,3788,0.9,3383,1.1,3382,1.2,2748,1.1
17,2,6,1,1,3,麺類,1581,0.5,1544,0.5,1558,0.4,1812,0.5,2084,0.5,1596,0.4,1529,0.4,1808,0.6,1358,0.5,1220,0.5
18,2,6,1,1,4,他の穀類,499,0.1,501,0.2,509,0.1,589,0.2,692,0.2,419,0.1,440,0.1,391,0.1,499,0.2,376,0.1
19,2,5,1,2,0,魚介類,6422,1.9,2942,1.0,4805,1.3,5069,1.4,5441,1.3,5004,1.1,6179,1.4,7720,2.5,7748,2.8,8504,3.3
20,2,6,1,2,1,生鮮魚介,3750,1.1,1769,0.6,2965,0.8,2760,0.8,3051,0.7,2938,0.7,3398,0.8,4617,1.5,4611,1.7,5107,2.0
21,2,6,1,2,2,塩干魚介,1180,0.3,449,0.2,889,0.2,1334,0.4,1212,0.3,747,0.2,1077,0.2,1305,0.4,1391,0.5,1548,0.6
22,2,6,1,2,3,魚肉練製品,610,0.2,352,0.1,296,0.1,293,0.1,395,0.1,545,0.1,747,0.2,544,0.2,796,0.3,742,0.3
23,2,6,1,2,4,他の魚介加工品,882,0.3,372,0.1,656,0.2,682,0.2,783,0.2,774,0.2,957,0.2,1254,0.4,950,0.3,1106,0.4
24,2,5,1,3,0,肉類,8607,2.5,7114,2.4,7674,2.1,9464,2.6,9836,2.3,9662,2.2,8430,1.9,10707,3.5,7539,2.7,7030,2.8
25,2,6,1,3,1,生鮮肉,7034,2.0,5916,2.0,6010,1.7,7747,2.1,8038,1.9,8208,1.9,6707,1.5,8868,2.9,6103,2.2,5690,2.2
26,2,6,1,3,2,加工肉,1573,0.5,1198,0.4,1665,0.5,1717,0.5,1798,0.4,1454,0.3,1722,0.4,1839,0.6,1437,0.5,1340,0.5
27,2,5,1,4,0,乳卵類,4581,1.3,3777,1.3,4413,1.2,5006,1.4,4444,1.0,5124,1.2,4322,1.0,4719,1.5,4506,1.6,4353,1.7
28,2,6,1,4,1,牛乳,1351,0.4,942,0.3,1597,0.4,1695,0.5,1308,0.3,1262,0.3,1251,0.3,1233,0.4,1397,0.5,1408,0.6
29,2,6,1,4,2,乳製品,2195,0.6,1988,0.7,1900,0.5,2300,0.6,1917,0.4,2785,0.6,2167,0.5,2426,0.8,2062,0.7,1908,0.7
30,2,6,1,4,3,卵,1034,0.3,847,0.3,916,0.3,1011,0.3,1220,0.3,1077,0.2,904,0.2,1060,0.3,1047,0.4,1037,0.4
31,2,5,1,5,0,野菜・海藻,9893,2.9,6142,2.1,6963,1.9,8583,2.4,9265,2.2,9992,2.3,9871,2.3,9602,3.1,11166,4.0,11715,4.6
32,2,6,1,5,1,生鮮野菜,6972,2.0,4644,1.6,4957,1.4,6196,1.7,6422,1.5,6706,1.5,6973,1.6,7007,2.3,7860,2.8,8187,3.2
33,2,6,1,5,2,乾物・海藻,692,0.2,381,0.1,478,0.1,516,0.1,824,0.2,651,0.1,642,0.1,638,0.2,802,0.3,992,0.4
34,2,6,1,5,3,大豆加工品,1108,0.3,624,0.2,678,0.2,985,0.3,1060,0.2,1333,0.3,1175,0.3,934,0.3,1205,0.4,1136,0.4
35,2,6,1,5,4,他の野菜・海藻加工品,1121,0.3,493,0.2,850,0.2,886,0.2,960,0.2,1302,0.3,1082,0.3,1024,0.3,1299,0.5,1401,0.5
36,2,5,1,6,0,果物,3630,1.1,1567,0.5,2682,0.7,2987,0.8,2773,0.6,2915,0.7,3521,0.8,3393,1.1,4666,1.7,5528,2.2
37,2,6,1,6,1,生鮮果物,3229,0.9,1437,0.5,2382,0.7,2618,0.7,2395,0.6,2498,0.6,2970,0.7,3017,1.0,4254,1.5,5121,2.0
38,2,6,1,6,2,果物加工品,401,0.1,130,0.0,300,0.1,370,0.1,378,0.1,417,0.1,551,0.1,376,0.1,412,0.1,407,0.2
39,2,5,1,7,0,油脂・調味料,4134,1.2,3339,1.1,3529,1.0,3424,0.9,4640,1.1,4541,1.0,4789,1.1,4281,1.4,3950,1.4,3885,1.5
40,2,6,1,7,1,油脂,427,0.1,472,0.2,275,0.1,408,0.1,415,0.1,410,0.1,465,0.1,362,0.1,458,0.2,475,0.2
41,2,6,1,7,2,調味料,3707,1.1,2867,1.0,3254,0.9,3016,0.8,4225,1.0,4131,0.9,4324,1.0,3919,1.3,3492,1.3,3410,1.3
42,2,5,1,8,0,菓子類,8197,2.4,7285,2.5,8206,2.3,9691,2.7,10648,2.5,9010,2.1,8614,2.0,8526,2.8,6856,2.5,6206,2.4
43,2,5,1,9,0,調理食品,14071,4.1,13274,4.6,9370,2.6,13254,3.6,12817,3.0,14381,3.3,16823,3.9,17626,5.7,13295,4.8,10837,4.2
44,2,6,1,9,1,主食的調理食品,6412,1.9,6972,2.4,3877,1.1,6192,1.7,6115,1.4,6360,1.5,7313,1.7,7986,2.6,6071,2.2,5117,2.0
45,2,6,1,9,2,他の調理食品,7660,2.2,6302,2.2,5493,1.5,7062,1.9,6701,1.6,8022,1.8,9510,2.2,9640,3.1,7224,2.6,5720,2.2
46,2,5,1,10,0,飲料,5505,1.6,6012,2.1,4103,1.1,5213,1.4,6335,1.5,6204,1.4,6897,1.6,5750,1.9,4729,1.7,4094,1.6
47,2,6,1,10,1,茶類,1263,0.4,1144,0.4,527,0.1,974,0.3,1228,0.3,1377,0.3,1368,0.3,1610,0.5,1270,0.5,1224,0.5
48,2,6,1,10,2,コーヒー・ココア,1182,0.3,1220,0.4,763,0.2,1293,0.4,1312,0.3,1210,0.3,1448,0.3,1224,0.4,1062,0.4,835,0.3
49,2,6,1,10,3,他の飲料,3060,0.9,3647,1.3,2814,0.8,2946,0.8,3796,0.9,3616,0.8,4080,0.9,2916,0.9,2397,0.9,2035,0.8
50,2,5,1,11,0,酒類,3734,1.1,1969,0.7,3241,0.9,3029,0.8,2535,0.6,4375,1.0,3664,0.8,6577,2.1,3532,1.3,3048,1.2
51,2,5,1,12,0,外食,18182,5.3,22940,7.9,16311,4.5,26203,7.2,22838,5.3,22051,5.0,22911,5.3,15828,5.1,12741,4.6,10337,4.0
52,2,6,1,12,1,一般外食,17745,5.1,22620,7.8,13590,3.7,24466,6.7,22291,5.2,21616,4.9,22497,5.2,15828,5.1,12741,4.6,10337,4.0
53,2,6,1,12,2,学校給食,437,0.1,320,0.1,2721,0.7,1737,0.5,547,0.1,435,0.1,414,0.1,-,-,-,-,-,-
54,2,4,2,0,0,住居,20675,6.0,59946,20.6,86565,23.8,12985,3.6,24849,5.8,13254,3.0,21026,4.9,5844,1.9,15579,5.6,17940,7.0
55,2,5,2,1,0,家賃地代,14525,4.2,59751,20.6,31239,8.6,12451,3.4,23579,5.5,12638,2.9,18430,4.3,3999,1.3,7667,2.8,7190,2.8
56,2,5,2,2,0,設備修繕・維持,6150,1.8,195,0.1,55326,15.2,535,0.1,1271,0.3,616,0.1,2596,0.6,1845,0.6,7913,2.8,10750,4.2
57,2,6,2,2,1,設備材料,4401,1.3,195,0.1,55326,15.2,262,0.1,708,0.2,340,0.1,438,0.1,67,0.0,4794,1.7,6182,2.4
58,2,6,2,2,2,工事その他のサービス,1749,0.5,-,-,-,-,272,0.1,563,0.1,276,0.1,2157,0.5,1778,0.6,3119,1.1,4568,1.8
59,2,4,3,0,0,光熱・水道,33262,9.6,22599,7.8,32187,8.9,30398,8.4,30176,7.1,36712,8.4,37723,8.7,33587,10.9,33497,12.1,32902,12.9
60,2,5,3,1,0,電気代,16872,4.9,13544,4.7,15189,4.2,14395,4.0,14119,3.3,17657,4.0,19928,4.6,16334,5.3,17655,6.4,18144,7.1
61,2,5,3,2,0,ガス代,10511,3.0,6340,2.2,10556,2.9,11084,3.0,9832,2.3,11860,2.7,11908,2.8,10619,3.5,10148,3.7,9701,3.8
62,2,5,3,3,0,他の光熱,249,0.1,181,0.1,-,-,4,0.0,63,0.0,239,0.1,139,0.0,243,0.1,426,0.2,524,0.2
63,2,5,3,4,0,上下水道料,5631,1.6,2533,0.9,6441,1.8,4916,1.4,6162,1.4,6955,1.6,5749,1.3,6391,2.1,5268,1.9,4534,1.8
64,2,4,4,0,0,家具・家事用品,10397,3.0,7298,2.5,15106,4.2,8144,2.2,11290,2.6,12919,3.0,17273,4.0,10380,3.4,7563,2.7,4425,1.7
65,2,5,4,1,0,家庭用耐久財,3811,1.1,931,0.3,5161,1.4,1279,0.4,3087,0.7,6207,1.4,9923,2.3,1312,0.4,2743,1.0,707,0.3
66,2,6,4,1,1,家事用耐久財,2736,0.8,-,-,5161,1.4,1201,0.3,1639,0.4,2044,0.5,9274,2.1,35,0.0,2302,0.8,693,0.3
67,2,6,4,1,2,冷暖房用器具,742,0.2,-,-,-,-,-,-,-,-,3409,0.8,650,0.2,1156,0.4,347,0.1,-,-
68,2,6,4,1,3,一般家具,332,0.1,931,0.3,-,-,78,0.0,1448,0.3,754,0.2,-,-,121,0.0,94,0.0,15,0.0
69,2,5,4,2,0,室内装備・装飾品,287,0.1,228,0.1,435,0.1,225,0.1,997,0.2,124,0.0,303,0.1,46,0.0,218,0.1,191,0.1
70,2,5,4,3,0,寝具類,439,0.1,160,0.1,2317,0.6,309,0.1,49,0.0,707,0.2,422,0.1,1410,0.5,58,0.0,42,0.0
71,2,5,4,4,0,家事雑貨,2143,0.6,2705,0.9,3015,0.8,2513,0.7,3260,0.8,1662,0.4,2536,0.6,2854,0.9,1449,0.5,997,0.4
72,2,5,4,5,0,家事用消耗品,3263,0.9,3225,1.1,3398,0.9,3545,1.0,3430,0.8,3643,0.8,3845,0.9,3751,1.2,2714,1.0,2271,0.9
73,2,5,4,6,0,家事サービス,454,0.1,49,0.0,780,0.2,273,0.1,467,0.1,576,0.1,244,0.1,1007,0.3,382,0.1,217,0.1
74,2,4,5,0,0,被服及び履物,12987,3.8,14215,4.9,12160,3.3,14638,4.0,27723,6.5,17856,4.1,15500,3.6,12811,4.2,6462,2.3,4932,1.9
75,2,5,5,1,0,和服,4,0.0,-,-,90,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,2,5,5,2,0,洋服,5801,1.7,5870,2.0,4338,1.2,7523,2.1,14402,3.4,9126,2.1,6628,1.5,5264,1.7,2170,0.8,1366,0.5
77,2,6,5,2,1,男子用洋服,1785,0.5,1136,0.4,894,0.2,3784,1.0,5292,1.2,2670,0.6,2061,0.5,827,0.3,487,0.2,317,0.1
78,2,6,5,2,2,婦人用洋服,3467,1.0,3013,1.0,1207,0.3,2134,0.6,7772,1.8,6319,1.4,4475,1.0,4437,1.4,1479,0.5,1037,0.4
79,2,6,5,2,3,子供用洋服,550,0.2,1721,0.6,2236,0.6,1604,0.4,1337,0.3,137,0.0,93,0.0,-,-,204,0.1,12,0.0
80,2,5,5,3,0,シャツ・セーター類,2447,0.7,1824,0.6,1703,0.5,1488,0.4,4747,1.1,3739,0.9,2255,0.5,3982,1.3,1467,0.5,1507,0.6
81,2,6,5,3,1,男子用シャツ・セーター類,745,0.2,643,0.2,129,0.0,754,0.2,1967,0.5,712,0.2,791,0.2,948,0.3,449,0.2,432,0.2
82,2,6,5,3,2,婦人用シャツ・セーター類,1581,0.5,1092,0.4,479,0.1,324,0.1,2655,0.6,2890,0.7,1429,0.3,3035,1.0,1014,0.4,1075,0.4
83,2,6,5,3,3,子供用シャツ・セーター類,121,0.0,89,0.0,1095,0.3,411,0.1,125,0.0,137,0.0,36,0.0,-,-,4,0.0,-,-
84,2,5,5,4,0,下着類,804,0.2,792,0.3,632,0.2,1281,0.4,980,0.2,810,0.2,663,0.2,699,0.2,741,0.3,510,0.2
85,2,6,5,4,1,男子用下着類,228,0.1,24,0.0,51,0.0,312,0.1,413,0.1,321,0.1,79,0.0,237,0.1,220,0.1,165,0.1
86,2,6,5,4,2,婦人用下着類,478,0.1,627,0.2,110,0.0,625,0.2,330,0.1,447,0.1,528,0.1,462,0.2,505,0.2,344,0.1
87,2,6,5,4,3,子供用下着類,98,0.0,141,0.0,471,0.1,344,0.1,236,0.1,42,0.0,56,0.0,-,-,17,0.0,-,-
88,2,5,5,5,0,生地・糸類,94,0.0,61,0.0,100,0.0,93,0.0,170,0.0,65,0.0,224,0.1,7,0.0,69,0.0,63,0.0
89,2,5,5,6,0,他の被服,859,0.2,3250,1.1,923,0.3,1145,0.3,1530,0.4,1336,0.3,517,0.1,490,0.2,388,0.1,345,0.1
90,2,5,5,7,0,履物類,2000,0.6,2129,0.7,3546,1.0,2324,0.6,4077,1.0,1835,0.4,3660,0.8,1384,0.4,898,0.3,813,0.3
91,2,5,5,8,0,被服関連サービス,978,0.3,288,0.1,829,0.2,784,0.2,1817,0.4,945,0.2,1551,0.4,984,0.3,729,0.3,329,0.1
92,2,4,6,0,0,保健医療,17743,5.1,11908,4.1,9118,2.5,14646,4.0,21838,5.1,17353,4.0,22818,5.3,12758,4.1,18872,6.8,13728,5.4
93,2,5,6,1,0,医薬品,3387,1.0,1579,0.5,2070,0.6,2944,0.8,2239,0.5,4258,1.0,4165,1.0,4224,1.4,3400,1.2,3199,1.3
94,2,5,6,2,0,健康保持用摂取品,1353,0.4,237,0.1,229,0.1,631,0.2,364,0.1,1080,0.2,1887,0.4,1108,0.4,2010,0.7,1946,0.8
95,2,5,6,3,0,保健医療用品・器具,2795,0.8,2997,1.0,3284,0.9,3417,0.9,3111,0.7,4075,0.9,2341,0.5,821,0.3,2756,1.0,1755,0.7
96,2,5,6,4,0,保健医療サービス,10209,3.0,7095,2.4,3535,1.0,7655,2.1,16124,3.8,7940,1.8,14425,3.3,6606,2.1,10706,3.9,6829,2.7
97,2,4,7,0,0,交通・通信,39612,11.5,27049,9.3,23915,6.6,71396,19.6,30341,7.1,53102,12.2,58857,13.6,41780,13.6,27208,9.8,20012,7.8
98,2,5,7,1,0,交通,9167,2.7,10586,3.6,10108,2.8,11000,3.0,9389,2.2,11982,2.7,13741,3.2,9105,3.0,6121,2.2,3696,1.4
99,2,5,7,2,0,自動車等関係費,17999,5.2,5498,1.9,6162,1.7,48821,13.4,7373,1.7,27232,6.2,28477,6.6,13885,4.5,11483,4.1,7414,2.9
100,2,6,7,2,1,自動車等購入,3994,1.2,-,-,-,-,35083,9.6,-,-,-,-,4132,1.0,-,-,1225,0.4,-,-
101,2,6,7,2,2,自転車購入,467,0.1,-,-,-,-,3285,0.9,1502,0.4,282,0.1,-,-,-,-,-,-,-,-
102,2,6,7,2,3,自動車等維持,13537,3.9,5498,1.9,6162,1.7,10452,2.9,5870,1.4,26950,6.2,24345,5.6,13885,4.5,10259,3.7,7414,2.9
103,2,5,7,3,0,通信,12446,3.6,10965,3.8,7645,2.1,11576,3.2,13579,3.2,13888,3.2,16639,3.8,18791,6.1,9604,3.5,8903,3.5
104,2,4,8,0,0,教育,18251,5.3,3017,1.0,18024,5.0,21018,5.8,74582,17.5,37321,8.5,29191,6.7,121,0.0,168,0.1,-,-
105,2,5,8,1,0,授業料等,12852,3.7,1922,0.7,8772,2.4,5669,1.6,57585,13.5,27430,6.3,23372,5.4,121,0.0,63,0.0,-,-
106,2,5,8,2,0,教科書・学習参考教材,1021,0.3,26,0.0,205,0.1,2277,0.6,3636,0.9,2559,0.6,881,0.2,-,-,94,0.0,-,-
107,2,5,8,3,0,補習教育,4378,1.3,1070,0.4,9047,2.5,13072,3.6,13361,3.1,7332,1.7,4938,1.1,-,-,11,0.0,-,-
108,2,4,9,0,0,教養娯楽,44849,13.0,26797,9.2,39830,11.0,57012,15.7,59174,13.9,77760,17.8,55274,12.8,40573,13.2,28523,10.3,22507,8.8
109,2,5,9,1,0,教養娯楽用耐久財,5928,1.7,125,0.0,3473,1.0,11812,3.2,15127,3.5,10430,2.4,9308,2.2,5790,1.9,723,0.3,1405,0.6
110,2,5,9,2,0,教養娯楽用品,8770,2.5,9142,3.1,9835,2.7,10450,2.9,10115,2.4,10791,2.5,15130,3.5,10921,3.5,4680,1.7,4254,1.7
111,2,5,9,3,0,書籍・他の印刷物,3251,0.9,2754,0.9,2828,0.8,2398,0.7,2478,0.6,2876,0.7,2637,0.6,3225,1.0,4065,1.5,4178,1.6
112,2,5,9,4,0,教養娯楽サービス,26901,7.8,14777,5.1,23694,6.5,32352,8.9,31455,7.4,53663,12.3,28198,6.5,20636,6.7,19055,6.9,12670,5.0
113,2,6,9,4,1,宿泊料,4318,1.3,-,-,4707,1.3,5783,1.6,7683,1.8,9107,2.1,5904,1.4,1234,0.4,2382,0.9,2347,0.9
114,2,6,9,4,2,パック旅行費,4174,1.2,257,0.1,-,-,2655,0.7,1736,0.4,16041,3.7,2824,0.7,2357,0.8,3220,1.2,960,0.4
115,2,6,9,4,3,月謝類,4927,1.4,3579,1.2,10874,3.0,9416,2.6,7851,1.8,10689,2.4,3771,0.9,490,0.2,2371,0.9,1616,0.6
116,2,6,9,4,4,他の教養娯楽サービス,13482,3.9,10940,3.8,8113,2.2,14498,4.0,14185,3.3,17826,4.1,15700,3.6,16555,5.4,11082,4.0,7747,3.0
117,2,4,10,0,0,その他の消費支出,53215,15.4,34629,11.9,48564,13.4,33901,9.3,46921,11.0,69236,15.8,71862,16.6,48248,15.7,52286,18.8,57175,22.4
