1,東京都生計分析調査　令和 5年 3月,,,,,,,,,,,,,,,
2,,,,,,,第１３表　住居所有形態別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,7771,-,1267,-,525,-,437,-
7,0,0,0,0,0,調査世帯数,607,-,477,-,74,-,33,-,23,-
8,0,0,0,0,0,世帯人員,2.97,-,2.95,-,2.97,-,2.75,-,3.62,-
9,0,0,0,0,0,有業人員,1.44,-,1.44,-,1.48,-,0.90,-,2.07,-
10,0,0,0,0,0,世帯主平均年齢,59.4,-,61.1,-,49.7,-,65.9,-,48.7,-
11,2,2,0,0,0,生計支出,345213,-,348743,-,338935,-,227482,-,442079,-
12,2,3,0,0,0,消費支出,345213,100.0,348743,100.0,338935,100.0,227482,100.0,442079,100.0
13,2,4,1,0,0,食料,94221,27.3,96945,27.8,83072,24.5,78538,34.5,96949,21.9
14,2,5,1,1,0,穀類,7265,2.1,7259,2.1,7306,2.2,7628,3.4,6809,1.5
15,2,6,1,1,1,米類,1691,0.5,1637,0.5,1845,0.5,2203,1.0,1583,0.4
16,2,6,1,1,2,パン,3494,1.0,3610,1.0,3097,0.9,3033,1.3,3138,0.7
17,2,6,1,1,3,麺類,1581,0.5,1549,0.4,1765,0.5,1665,0.7,1520,0.3
18,2,6,1,1,4,他の穀類,499,0.1,463,0.1,599,0.2,726,0.3,568,0.1
19,2,5,1,2,0,魚介類,6422,1.9,6762,1.9,4208,1.2,7504,3.3,5495,1.2
20,2,6,1,2,1,生鮮魚介,3750,1.1,3931,1.1,2510,0.7,4655,2.0,3056,0.7
21,2,6,1,2,2,塩干魚介,1180,0.3,1232,0.4,761,0.2,1354,0.6,1266,0.3
22,2,6,1,2,3,魚肉練製品,610,0.2,640,0.2,354,0.1,860,0.4,505,0.1
23,2,6,1,2,4,他の魚介加工品,882,0.3,960,0.3,582,0.2,635,0.3,667,0.2
24,2,5,1,3,0,肉類,8607,2.5,8833,2.5,7786,2.3,6578,2.9,9411,2.1
25,2,6,1,3,1,生鮮肉,7034,2.0,7260,2.1,6327,1.9,5004,2.2,7495,1.7
26,2,6,1,3,2,加工肉,1573,0.5,1573,0.5,1458,0.4,1574,0.7,1916,0.4
27,2,5,1,4,0,乳卵類,4581,1.3,4675,1.3,4182,1.2,4276,1.9,4429,1.0
