1,東京都生計分析調査　令和 5年 3月,,,,,,,,,,,,,,,
2,,,,,,,第５表　世帯人員別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,4132,-,2863,-,2316,-,689,-
7,0,0,0,0,0,調査世帯数,607,-,256,-,171,-,135,-,45,-
8,0,0,0,0,0,世帯人員,2.97,-,2.00,-,3.00,-,4.00,-,5.22,-
9,0,0,0,0,0,有業人員,1.44,-,0.82,-,1.76,-,2.04,-,1.83,-
10,0,0,0,0,0,世帯主平均年齢,59.4,-,67.0,-,58.1,-,50.4,-,49.0,-
11,2,2,0,0,0,生計支出,345213,-,271237,-,364598,-,419716,-,457846,-
12,2,3,0,0,0,消費支出,345213,100.0,271237,100.0,364598,100.0,419716,100.0,457846,100.0
13,2,4,1,0,0,食料,94221,27.3,80646,29.7,102239,28.0,100091,23.8,122574,26.8
14,2,5,1,1,0,穀類,7265,2.1,5767,2.1,7935,2.2,8281,2.0,10043,2.2
15,2,6,1,1,1,米類,1691,0.5,1211,0.4,1855,0.5,1983,0.5,2901,0.6
16,2,6,1,1,2,パン,3494,1.0,2929,1.1,3835,1.1,3827,0.9,4344,0.9
17,2,6,1,1,3,麺類,1581,0.5,1193,0.4,1677,0.5,1950,0.5,2277,0.5
18,2,6,1,1,4,他の穀類,499,0.1,434,0.2,569,0.2,521,0.1,521,0.1
19,2,5,1,2,0,魚介類,6422,1.9,5955,2.2,7259,2.0,5943,1.4,7357,1.6
20,2,6,1,2,1,生鮮魚介,3750,1.1,3390,1.2,4391,1.2,3637,0.9,3632,0.8
21,2,6,1,2,2,塩干魚介,1180,0.3,1106,0.4,1225,0.3,1046,0.2,1888,0.4
22,2,6,1,2,3,魚肉練製品,610,0.2,681,0.3,603,0.2,498,0.1,585,0.1
23,2,6,1,2,4,他の魚介加工品,882,0.3,778,0.3,1041,0.3,762,0.2,1252,0.3
24,2,5,1,3,0,肉類,8607,2.5,6466,2.4,9073,2.5,10586,2.5,12859,2.8
25,2,6,1,3,1,生鮮肉,7034,2.0,5304,2.0,7336,2.0,8785,2.1,10263,2.2
26,2,6,1,3,2,加工肉,1573,0.5,1161,0.4,1737,0.5,1801,0.4,2596,0.6
27,2,5,1,4,0,乳卵類,4581,1.3,4008,1.5,4768,1.3,5025,1.2,5746,1.3
28,2,6,1,4,1,牛乳,1351,0.4,1155,0.4,1360,0.4,1589,0.4,1692,0.4
29,2,6,1,4,2,乳製品,2195,0.6,1973,0.7,2353,0.6,2305,0.5,2505,0.5
30,2,6,1,4,3,卵,1034,0.3,880,0.3,1055,0.3,1131,0.3,1548,0.3
31,2,5,1,5,0,野菜・海藻,9893,2.9,9153,3.4,11234,3.1,9264,2.2,10872,2.4
32,2,6,1,5,1,生鮮野菜,6972,2.0,6472,2.4,7924,2.2,6532,1.6,7493,1.6
33,2,6,1,5,2,乾物・海藻,692,0.2,623,0.2,763,0.2,697,0.2,797,0.2
34,2,6,1,5,3,大豆加工品,1108,0.3,1025,0.4,1200,0.3,1106,0.3,1224,0.3
35,2,6,1,5,4,他の野菜・海藻加工品,1121,0.3,1032,0.4,1346,0.4,928,0.2,1358,0.3
36,2,5,1,6,0,果物,3630,1.1,3907,1.4,3641,1.0,3141,0.7,3568,0.8
37,2,6,1,6,1,生鮮果物,3229,0.9,3529,1.3,3215,0.9,2725,0.6,3186,0.7
38,2,6,1,6,2,果物加工品,401,0.1,379,0.1,427,0.1,416,0.1,382,0.1
39,2,5,1,7,0,油脂・調味料,4134,1.2,3427,1.3,4511,1.2,4579,1.1,5311,1.2
40,2,6,1,7,1,油脂,427,0.1,388,0.1,410,0.1,505,0.1,479,0.1
41,2,6,1,7,2,調味料,3707,1.1,3040,1.1,4101,1.1,4075,1.0,4832,1.1
42,2,5,1,8,0,菓子類,8197,2.4,6428,2.4,8215,2.3,9639,2.3,13883,3.0
43,2,5,1,9,0,調理食品,14071,4.1,12711,4.7,15709,4.3,13771,3.3,16433,3.6
44,2,6,1,9,1,主食的調理食品,6412,1.9,5654,2.1,7441,2.0,6290,1.5,7083,1.5
45,2,6,1,9,2,他の調理食品,7660,2.2,7057,2.6,8267,2.3,7481,1.8,9350,2.0
46,2,5,1,10,0,飲料,5505,1.6,4753,1.8,6213,1.7,5614,1.3,6700,1.5
47,2,6,1,10,1,茶類,1263,0.4,1181,0.4,1415,0.4,1124,0.3,1581,0.3
48,2,6,1,10,2,コーヒー・ココア,1182,0.3,1131,0.4,1287,0.4,1148,0.3,1160,0.3
49,2,6,1,10,3,他の飲料,3060,0.9,2441,0.9,3511,1.0,3341,0.8,3959,0.9
