1,東京都生計分析調査　令和 5年 3月,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第８表　世帯主年齢階層別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,776,-,658,-,1414,-,1594,-,1674,-,1554,-,1076,-,1255,-
7,0,0,0,0,0,調査世帯数,332,-,24,-,23,-,45,-,55,-,59,-,51,-,35,-,40,-
8,0,0,0,0,0,世帯人員,3.27,-,2.80,-,3.91,-,3.62,-,3.85,-,3.42,-,2.90,-,2.98,-,2.60,-
9,0,0,0,0,0,有業人員,1.78,-,1.67,-,1.48,-,1.62,-,1.71,-,1.73,-,1.88,-,2.15,-,1.92,-
10,0,0,0,0,0,世帯主平均年齢,51.1,-,30.1,-,37.2,-,42.5,-,46.8,-,51.4,-,57.2,-,61.7,-,69.5,-
11,1,0,0,0,0,受取,1364283,-,1222112,-,1549759,-,1599538,-,1430437,-,1391290,-,1453424,-,1101537,-,1084665,-
12,1,1,0,0,0,実収入,593190,100.0,635020,100.0,608372,100.0,637602,100.0,612188,100.0,668771,100.0,649002,100.0,567069,100.0,337562,100.0
13,1,2,0,0,0,経常収入,572176,96.5,624397,98.3,605893,99.6,632748,99.2,539783,88.2,655544,98.0,619747,95.5,564839,99.6,331205,98.1
14,1,3,0,0,0,勤め先収入,558861,94.2,612171,96.4,604250,99.3,605542,95.0,527877,86.2,636642,95.2,616170,94.9,553030,97.5,319063,94.5
15,1,4,0,0,0,世帯主収入,449219,75.7,438539,69.1,523794,86.1,484669,76.0,440082,71.9,494909,74.0,518511,79.9,468775,82.7,224840,66.6
16,1,6,0,0,0,うち男,430622,72.6,410478,64.6,487524,80.1,472855,74.2,418034,68.3,484669,72.5,493579,76.1,462011,81.5,204661,60.6
17,1,5,0,0,0,定期収入,426944,72.0,404802,63.7,505864,83.2,466111,73.1,436409,71.3,482977,72.2,488839,75.3,393421,69.4,220421,65.3
18,1,5,0,0,0,臨時収入,8118,1.4,31159,4.9,5962,1.0,8379,1.3,3674,0.6,6686,1.0,13179,2.0,1,0.0,2944,0.9
19,1,5,0,0,0,賞与,14157,2.4,2577,0.4,11969,2.0,10179,1.6,-,-,5246,0.8,16493,2.5,75354,13.3,1475,0.4
20,1,4,0,0,0,世帯主の配偶者の収入,100398,16.9,173632,27.3,80455,13.2,119882,18.8,87795,14.3,136104,20.4,79633,12.3,72455,12.8,61605,18.2
21,1,6,0,0,0,うち女,96729,16.3,157857,24.9,80455,13.2,119882,18.8,77138,12.6,136104,20.4,79633,12.3,72455,12.8,55669,16.5
22,1,4,0,0,0,他の世帯員収入,9244,1.6,-,-,-,-,991,0.2,-,-,5629,0.8,18027,2.8,11800,2.1,32618,9.7
23,1,3,0,0,0,事業・内職収入,4543,0.8,376,0.1,122,0.0,7860,1.2,585,0.1,5735,0.9,2553,0.4,9049,1.6,7738,2.3
24,1,4,0,0,0,家賃収入,2327,0.4,376,0.1,-,-,4718,0.7,-,-,-,-,-,-,8245,1.5,5929,1.8
25,1,4,0,0,0,他の事業収入,459,0.1,-,-,122,0.0,2528,0.4,585,0.1,-,-,-,-,-,-,-,-
26,1,4,0,0,0,内職収入,1757,0.3,-,-,-,-,614,0.1,-,-,5735,0.9,2553,0.4,803,0.1,1809,0.5
27,1,3,0,0,0,他の経常収入,8773,1.5,11850,1.9,1521,0.3,19346,3.0,11321,1.8,13167,2.0,1024,0.2,2760,0.5,4404,1.3
28,1,4,0,0,0,財産収入,195,0.0,1,0.0,-,-,6,0.0,36,0.0,0,0.0,819,0.1,563,0.1,-,-
29,1,4,0,0,0,社会保障給付,8578,1.4,11849,1.9,1521,0.3,19340,3.0,11285,1.8,13167,2.0,205,0.0,2197,0.4,4404,1.3
30,1,5,0,0,0,公的年金給付,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,1,5,0,0,0,他の社会保障給付,8578,1.4,11849,1.9,1521,0.3,19340,3.0,11285,1.8,13167,2.0,205,0.0,2197,0.4,4404,1.3
32,1,4,0,0,0,仕送り金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,1,2,0,0,0,特別収入,21013,3.5,10623,1.7,2479,0.4,4854,0.8,72405,11.8,13227,2.0,29254,4.5,2229,0.4,6357,1.9
34,1,3,0,0,0,受贈金,11426,1.9,1024,0.2,605,0.1,425,0.1,46054,7.5,3753,0.6,21093,3.3,-,-,-,-
35,1,3,0,0,0,他の特別収入,9587,1.6,9599,1.5,1874,0.3,4429,0.7,26351,4.3,9474,1.4,8162,1.3,2229,0.4,6357,1.9
36,1,1,0,0,0,実収入以外の受取(繰入金を除く),524592,-,365722,-,531939,-,590568,-,538000,-,636304,-,651236,-,374675,-,350281,-
37,1,2,0,0,0,預貯金引出,367642,-,257088,-,371273,-,365415,-,390963,-,459783,-,447095,-,273341,-,266519,-
38,1,2,0,0,0,保険金,2058,-,-,-,-,-,-,-,306,-,-,-,1158,-,3571,-,11517,-
39,1,3,0,0,0,個人・企業年金保険金,1625,-,-,-,-,-,-,-,-,-,-,-,1158,-,-,-,11517,-
40,1,3,0,0,0,他の保険金,433,-,-,-,-,-,-,-,306,-,-,-,-,-,3571,-,-,-
41,1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,1,2,0,0,0,他の借入金,597,-,-,-,-,-,-,-,-,-,352,-,-,-,4436,-,486,-
44,1,2,0,0,0,クレジット購入借入金,152549,-,108633,-,160656,-,224975,-,145858,-,176098,-,192918,-,93326,-,71711,-
45,1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,1,2,0,0,0,実収入以外の受取のその他,1746,-,-,-,9,-,178,-,873,-,71,-,10065,-,-,-,48,-
47,1,1,0,0,0,繰入金,246501,-,221370,-,409449,-,371369,-,280249,-,86215,-,153186,-,159793,-,396822,-
48,2,0,0,0,0,支払,1364283,-,1222112,-,1549759,-,1599538,-,1430437,-,1391290,-,1453424,-,1101537,-,1084665,-
49,2,1,0,0,0,実支出,491079,-,405022,-,495026,-,490215,-,523683,-,581226,-,571362,-,408094,-,353228,-
50,2,2,0,0,0,生計支出,379798,-,281170,-,376409,-,377314,-,431505,-,438847,-,440700,-,278724,-,312137,-
51,2,3,0,0,0,消費支出,379798,100.0,281170,100.0,376409,100.0,377314,100.0,431505,100.0,438847,100.0,440700,100.0,278724,100.0,312137,100.0
52,2,4,1,0,0,食料,97134,25.6,81365,28.9,81220,21.6,100486,26.6,99213,23.0,101701,23.2,106118,24.1,94717,34.0,93669,30.0
53,2,5,1,1,0,穀類,7696,2.0,6566,2.3,6734,1.8,7695,2.0,8704,2.0,8364,1.9,7621,1.7,6892,2.5,7515,2.4
54,2,6,1,1,1,米類,1788,0.5,1180,0.4,1662,0.4,1529,0.4,2397,0.6,2396,0.5,1743,0.4,999,0.4,1671,0.5
55,2,6,1,1,2,パン,3700,1.0,3387,1.2,2989,0.8,3721,1.0,3522,0.8,4023,0.9,3829,0.9,3622,1.3,3944,1.3
56,2,6,1,1,3,麺類,1646,0.4,1513,0.5,1481,0.4,1883,0.5,2076,0.5,1517,0.3,1564,0.4,1786,0.6,1155,0.4
57,2,6,1,1,4,他の穀類,562,0.1,487,0.2,601,0.2,562,0.1,708,0.2,427,0.1,486,0.1,485,0.2,745,0.2
58,2,5,1,2,0,魚介類,5481,1.4,2770,1.0,4467,1.2,5263,1.4,5161,1.2,4933,1.1,6238,1.4,7289,2.6,6584,2.1
