1,東京都生計分析調査　令和 5年 3月,,,,,,,,,,,,,,,,,,,
2,,,,,,,第９表　世帯類型別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,3290,-,5223,-,656,-,76,-,831,-,3901,-
7,0,0,0,0,0,調査世帯数,607,-,204,-,312,-,40,-,4,-,51,-,232,-
8,0,0,0,0,0,世帯人員,2.97,-,2.00,-,3.65,-,2.22,-,2.00,-,3.17,-,3.38,-
9,0,0,0,0,0,有業人員,1.44,-,0.79,-,1.91,-,1.08,-,0.57,-,1.37,-,2.23,-
10,0,0,0,0,0,世帯主平均年齢,59.4,-,67.9,-,53.2,-,69.6,-,45.3,-,56.2,-,51.9,-
11,2,2,0,0,0,生計支出,345213,-,287627,-,408099,-,194407,-,157478,-,296923,-,422389,-
12,2,3,0,0,0,消費支出,345213,100.0,287627,100.0,408099,100.0,194407,100.0,157478,100.0,296923,100.0,422389,100.0
13,2,4,1,0,0,食料,94221,27.3,85334,29.7,105251,25.8,64283,33.1,56242,35.7,83695,28.2,105798,25.0
14,2,5,1,1,0,穀類,7265,2.1,6053,2.1,8332,2.0,4616,2.4,3038,1.9,7440,2.5,8105,1.9
15,2,6,1,1,1,米類,1691,0.5,1220,0.4,2018,0.5,1190,0.6,210,0.1,1889,0.6,1873,0.4
16,2,6,1,1,2,パン,3494,1.0,3194,1.1,3849,0.9,1870,1.0,1545,1.0,3729,1.3,3866,0.9
17,2,6,1,1,3,麺類,1581,0.5,1201,0.4,1880,0.5,1177,0.6,570,0.4,1526,0.5,1770,0.4
18,2,6,1,1,4,他の穀類,499,0.1,438,0.2,585,0.1,379,0.2,713,0.5,296,0.1,596,0.1
19,2,5,1,2,0,魚介類,6422,1.9,6223,2.2,6774,1.7,5634,2.9,3603,2.3,5617,1.9,6231,1.5
20,2,6,1,2,1,生鮮魚介,3750,1.1,3516,1.2,4072,1.0,3536,1.8,1591,1.0,2828,1.0,3623,0.9
21,2,6,1,2,2,塩干魚介,1180,0.3,1205,0.4,1192,0.3,858,0.4,1157,0.7,1259,0.4,1162,0.3
22,2,6,1,2,3,魚肉練製品,610,0.2,691,0.2,551,0.1,551,0.3,271,0.2,699,0.2,576,0.1
23,2,6,1,2,4,他の魚介加工品,882,0.3,812,0.3,959,0.2,689,0.4,584,0.4,831,0.3,870,0.2
24,2,5,1,3,0,肉類,8607,2.5,6927,2.4,10301,2.5,5365,2.8,3292,2.1,7172,2.4,9901,2.3
25,2,6,1,3,1,生鮮肉,7034,2.0,5672,2.0,8394,2.1,4467,2.3,2722,1.7,5898,2.0,8130,1.9
26,2,6,1,3,2,加工肉,1573,0.5,1255,0.4,1906,0.5,898,0.5,569,0.4,1274,0.4,1771,0.4
27,2,5,1,4,0,乳卵類,4581,1.3,4324,1.5,5075,1.2,2993,1.5,2842,1.8,3743,1.3,5006,1.2
28,2,6,1,4,1,牛乳,1351,0.4,1247,0.4,1536,0.4,988,0.5,1558,1.0,889,0.3,1538,0.4
29,2,6,1,4,2,乳製品,2195,0.6,2158,0.8,2399,0.6,1166,0.6,665,0.4,1874,0.6,2379,0.6
30,2,6,1,4,3,卵,1034,0.3,919,0.3,1140,0.3,839,0.4,619,0.4,979,0.3,1089,0.3
31,2,5,1,5,0,野菜・海藻,9893,2.9,9558,3.3,10444,2.6,8376,4.3,5558,3.5,8947,3.0,9933,2.4
32,2,6,1,5,1,生鮮野菜,6972,2.0,6749,2.3,7389,1.8,5886,3.0,3542,2.2,6093,2.1,7155,1.7
33,2,6,1,5,2,乾物・海藻,692,0.2,645,0.2,746,0.2,617,0.3,407,0.3,600,0.2,642,0.2
34,2,6,1,5,3,大豆加工品,1108,0.3,1066,0.4,1144,0.3,900,0.5,880,0.6,1208,0.4,1116,0.3
35,2,6,1,5,4,他の野菜・海藻加工品,1121,0.3,1098,0.4,1165,0.3,974,0.5,729,0.5,1045,0.4,1019,0.2
36,2,5,1,6,0,果物,3630,1.1,4210,1.5,3457,0.8,2730,1.4,1156,0.7,3132,1.1,3474,0.8
37,2,6,1,6,1,生鮮果物,3229,0.9,3789,1.3,3017,0.7,2518,1.3,1156,0.7,2902,1.0,3031,0.7
38,2,6,1,6,2,果物加工品,401,0.1,421,0.1,440,0.1,212,0.1,-,-,230,0.1,444,0.1
39,2,5,1,7,0,油脂・調味料,4134,1.2,3550,1.2,4736,1.2,3152,1.6,3019,1.9,3440,1.2,4545,1.1
40,2,6,1,7,1,油脂,427,0.1,397,0.1,468,0.1,367,0.2,317,0.2,339,0.1,455,0.1
41,2,6,1,7,2,調味料,3707,1.1,3153,1.1,4267,1.0,2785,1.4,2702,1.7,3101,1.0,4089,1.0
42,2,5,1,8,0,菓子類,8197,2.4,6940,2.4,9513,2.3,4844,2.5,3718,2.4,7550,2.5,9943,2.4
43,2,5,1,9,0,調理食品,14071,4.1,13295,4.6,15021,3.7,9408,4.8,8338,5.3,14857,5.0,15270,3.6
44,2,6,1,9,1,主食的調理食品,6412,1.9,6000,2.1,6889,1.7,4014,2.1,4345,2.8,6935,2.3,6731,1.6
45,2,6,1,9,2,他の調理食品,7660,2.2,7296,2.5,8132,2.0,5394,2.8,3993,2.5,7922,2.7,8539,2.0
46,2,5,1,10,0,飲料,5505,1.6,5117,1.8,6030,1.5,2815,1.4,2720,1.7,5863,2.0,6458,1.5
47,2,6,1,10,1,茶類,1263,0.4,1247,0.4,1259,0.3,1117,0.6,719,0.5,1458,0.5,1234,0.3
48,2,6,1,10,2,コーヒー・ココア,1182,0.3,1291,0.4,1211,0.3,506,0.3,645,0.4,1102,0.4,1383,0.3
49,2,6,1,10,3,他の飲料,3060,0.9,2579,0.9,3559,0.9,1192,0.6,1356,0.9,3303,1.1,3841,0.9
50,2,5,1,11,0,酒類,3734,1.1,4165,1.4,3720,0.9,2218,1.1,4251,2.7,3316,1.1,3798,0.9
51,2,5,1,12,0,外食,18182,5.3,14971,5.2,21849,5.4,12131,6.2,14708,9.3,12617,4.2,23134,5.5
52,2,6,1,12,1,一般外食,17745,5.1,14971,5.2,21029,5.2,12131,6.2,14708,9.3,12514,4.2,22360,5.3
53,2,6,1,12,2,学校給食,437,0.1,-,-,821,0.2,-,-,-,-,103,0.0,774,0.2
54,2,4,2,0,0,住居,20675,6.0,13771,4.8,26293,6.4,22535,11.6,10023,6.4,11231,3.8,26540,6.3
55,2,5,2,1,0,家賃地代,14525,4.2,9871,3.4,17316,4.2,22054,11.3,9882,6.3,9466,3.2,16401,3.9
56,2,5,2,2,0,設備修繕・維持,6150,1.8,3900,1.4,8977,2.2,481,0.2,141,0.1,1765,0.6,10139,2.4
57,2,6,2,2,1,設備材料,4401,1.3,702,0.2,7903,1.9,33,0.0,141,0.1,476,0.2,9502,2.2
58,2,6,2,2,2,工事その他のサービス,1749,0.5,3198,1.1,1073,0.3,449,0.2,-,-,1289,0.4,638,0.2
59,2,4,3,0,0,光熱・水道,33262,9.6,30908,10.7,35921,8.8,28049,14.4,13177,8.4,29986,10.1,33541,7.9
60,2,5,3,1,0,電気代,16872,4.9,15946,5.5,17670,4.3,16085,8.3,7479,4.7,16139,5.4,16214,3.8
61,2,5,3,2,0,ガス代,10511,3.0,9596,3.3,11455,2.8,8335,4.3,5438,3.5,9919,3.3,10490,2.5
62,2,5,3,3,0,他の光熱,249,0.1,351,0.1,195,0.0,45,0.0,-,-,342,0.1,154,0.0
63,2,5,3,4,0,上下水道料,5631,1.6,5015,1.7,6601,1.6,3585,1.8,260,0.2,3586,1.2,6683,1.6
64,2,4,4,0,0,家具・家事用品,10397,3.0,7364,2.6,13758,3.4,4872,2.5,3829,2.4,5639,1.9,13117,3.1
65,2,5,4,1,0,家庭用耐久財,3811,1.1,2201,0.8,5741,1.4,569,0.3,-,-,613,0.2,5352,1.3
66,2,6,4,1,1,家事用耐久財,2736,0.8,1706,0.6,4019,1.0,569,0.3,-,-,461,0.2,3817,0.9
67,2,6,4,1,2,冷暖房用器具,742,0.2,450,0.2,1138,0.3,-,-,-,-,-,-,912,0.2
68,2,6,4,1,3,一般家具,332,0.1,44,0.0,584,0.1,-,-,-,-,153,0.1,623,0.1
