1,東京都生計分析調査　令和 5年 3月,,,,,,,,,,,,,,,,,,,
2,,,,第１６表　生計支出７分位階層別１世帯当たり１か月間の財・サービス別支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,注1)財・サービス別結果は、品目別分類を再分類して集計した。,,,,,,,,,,,,,,,,
4,,,,注2)消費支出には、「こづかい」、「贈与金」、「他の交際費」及び「仕送り金」は含まれていない。,,,,,,,,,,,,,,,,
5,,,,項目（0：世帯数等、消費支出等　1：耐久財　2：半耐久財　3：非耐久財　4：サービス）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
6,区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
7,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
8,0,0,調査世帯数,607,-,-,81,-,87,-,90,-,89,-,87,-,87,-,86,-
9,0,0,世帯人員,2.97,-,-,2.65,-,2.79,-,2.72,-,2.99,-,3.09,-,3.08,-,3.48,-
10,0,0,有業人員,1.44,-,-,1.09,-,1.39,-,1.26,-,1.40,-,1.58,-,1.62,-,1.73,-
11,0,0,世帯主平均年齢,59.4,-,-,63.6,-,59.8,-,63.3,-,60.4,-,57.8,-,55.3,-,55.4,-
12,0,0,消費支出,324577,100.0,8.2,108548,100.0,171599,100.0,214962,100.0,266544,100.0,325846,100.0,422926,100.0,756526,100.0
13,1,0,商品,184181,56.7,12.7,81351,74.9,115244,67.2,141828,66.0,163671,61.4,187789,57.6,221097,52.3,375971,49.7
14,1,1,耐久財,22073,6.8,64.8,1173,1.1,1142,0.7,3591,1.7,6593,2.5,8776,2.7,20354,4.8,111899,14.8
15,1,2,半耐久財,26060,8.0,10.7,5622,5.2,8085,4.7,13336,6.2,22800,8.6,23749,7.3,36072,8.5,72296,9.6
16,1,3,非耐久財,136048,41.9,7.5,74556,68.7,106017,61.8,124901,58.1,134277,50.4,155264,47.6,164671,38.9,191776,25.3
17,1,0,サービス,140397,43.3,2.9,27197,25.1,56355,32.8,73134,34.0,102873,38.6,138057,42.4,201829,47.7,380555,50.3
18,2,0,食料,98460,30.3,10.5,54504,50.2,75564,44.0,85249,39.7,92715,34.8,110326,33.9,124283,29.4,145893,19.3
