,13110 ,28 ,目黒,0 ,30 ,目黒区,下目黒２丁目２２０番１外,下目黒２－１０－１０,"655,000 ",,,276 ,,1,2,事務所兼共同住宅,ＲＣ,3F,,一般住宅、共同住宅、小売店舗等の混在する地域,区道,南西,6,,,,ガス,水道,下水道,目黒,,740 ,準工,準防,60 ,300 ,,,,,,,,,,
,13110 ,28 ,目黒,0 ,31 ,目黒区,目黒本町２丁目９番９,目黒本町２－１５－２０,"638,000 ",,,376 ,台形,1,1,共同住宅兼事務所,Ｓ,3F,,共同住宅を中心に作業所等もみられる住宅地域,区道,北西,8,,,,ガス,水道,下水道,学芸大学,,960 ,準工,準防,60 ,200 ,,,,,,,,,,
〇,13110 ,28 ,目黒,5 ,1 ,目黒区,自由が丘１丁目７番７,自由が丘１－７－１３,"2,390,000 ","2,240,000 ",6.7 ,418 ,台形,1,1,店舗兼事務所,ＲＣ,7F,,大型店、各種専門店等が建ち並ぶ繁華な商業地域,区道,北,6.2,,側道,西,ガス,水道,下水道,自由が丘,,100 ,商業,防火,80 ,400 ,,,,,,,,,,
〇,13110 ,28 ,目黒,5 ,2 ,目黒区,上目黒３丁目１８６０番６外,上目黒３－４－３,"3,050,000 ","2,760,000 ",10.5 ,155 ,台形,1,1,店舗、事務所兼住宅,ＲＣ,6F,,中高層店舗兼事務所ビルが建ち並ぶ駅前商業地域,都道,北東,35,,側道,北西,ガス,水道,下水道,中目黒,近接,0 ,商業,防火,80 ,500 ,,,,,*,13110,5 ,3 ,"2,850,000 ",7.0 
〇,13110 ,28 ,目黒,5 ,3 ,目黒区,中目黒３丁目４８４番５,中目黒３－２３－１６,"753,000 ","718,000 ",4.9 ,145 ,,1,2,店舗兼共同住宅,ＲＣ,3F,,中低層店舗、共同住宅等が見られる近隣商業地域,都道,北西,15,,側道,南西,ガス,水道,下水道,祐天寺,,740 ,近商,準防,80 ,300 ,,,,,,,,,,
〇,13110 ,28 ,目黒,5 ,4 ,目黒区,祐天寺２丁目１１３８番１７,祐天寺２－３－１１,"812,000 ","770,000 ",5.5 ,142 ,台形,1,1.5,店舗兼事務所,ＲＣ,3F,,小売店舗、飲食店舗等が建ち並ぶ駅前の商業地域,区道,南西,6.9,,,,ガス,水道,下水道,祐天寺,,100 ,近商,準防,80 ,300 ,,,,,*,13110,5 ,5 ,"791,000 ",2.7 
〇,13110 ,28 ,目黒,5 ,5 ,目黒区,八雲４丁目８番２外,八雲４－１－１９,"726,000 ","693,000 ",4.8 ,255 ,,1,1.5,店舗兼共同住宅,ＲＣ,3F,,駒沢通り沿いで店舗等がみられる近隣商業地域,都道,北,15,,,,ガス,水道,下水道,都立大学,,"1,100 ",１中専,準防,60 ,200 ,,,,,,,,,,
〇,13110 ,28 ,目黒,5 ,6 ,目黒区,鷹番２丁目１８９番２,鷹番２－１９－２０,"1,350,000 ","1,290,000 ",4.7 ,105 ,,1,1.2,店舗,ＲＣ,3F,1B,中小規模の小売店舗等が建ち並ぶ駅前の商業地域,区道,北,6.2,,,,ガス,水道,下水道,学芸大学,,70 ,商業,防火,80 ,400 ,,,,,,,,,,
〇,13110 ,28 ,目黒,5 ,7 ,目黒区,青葉台１丁目１３００番１,青葉台１－２７－１２,"1,590,000 ","1,470,000 ",8.2 ,193 ,,1.5,1,店舗、事務所兼共同住宅,ＲＣ,8F,1B,中高層の店舗付マンション等が建ち並ぶ商業地域,都道,南西,30,,,,ガス,水道,下水道,中目黒,,600 ,商業,防火,80 ,500 ,,,,,,,,,,
〇,13110 ,28 ,目黒,5 ,8 ,目黒区,下目黒６丁目９９１番３０,下目黒６－１７－２１,"870,000 ","827,000 ",5.2 ,125 ,,1,1.5,店舗、事務所兼共同住宅,ＳＲＣ,7F,,中高層店舗付共同住宅、事務所等が多い商業地域,都道,北西,25,,,,ガス,水道,下水道,学芸大学,,"1,200 ",商業,防火,80 ,400 ,,,,,,,,,,
〇,13110 ,28 ,目黒,5 ,9 ,目黒区,平町１丁目２１５番２１外,平町１－２７－１,"1,430,000 ","1,360,000 ",5.1 ,200 ,,1,1.5,店舗,ＲＣ,4F,1B,中小規模の店舗ビル等が建ち並ぶ駅前の商業地域,区道,北東,11,,側道,北西,ガス,水道,下水道,都立大学,近接,0 ,商業,防火,80 ,400 ,,,,,,,,,,
〇,13110 ,28 ,目黒,5 ,10 ,目黒区,自由が丘１丁目１４７番１０外,自由が丘１－２４－５,"1,020,000 ","952,000 ",7.1 ,162 ,,1.2,1,店舗、事務所兼住宅,ＲＣ,3F,,中小規模小売店舗、飲食店等が建ち並ぶ商業地域,都道,東,8,,,,ガス,水道,下水道,自由が丘,,300 ,近商,準防,80 ,300 ,,,,,,,,,,
〇,13110 ,28 ,目黒,5 ,11 ,目黒区,下目黒３丁目６０４番６外,下目黒３－４－２,"1,030,000 ","958,000 ",7.5 ,144 ,不整形,1.5,1,事務所兼共同住宅,ＳＲＣ,8F,,中高層の事務所兼店舗付共同住宅が多い商業地域,都道,北東,32,,,,ガス,水道,下水道,目黒,,680 ,商業,防火,80 ,500 ,,,,,,,,,,
〇,13110 ,28 ,目黒,5 ,12 ,目黒区,自由が丘１丁目６１番４外,自由が丘１－２９－９,"3,830,000 ","3,570,000 ",7.3 ,511 ,台形,1,3,銀行,ＳＲＣ,4F,1B,大手銀行や飲食店舗等が建ち並ぶ駅前商業地域,区道,南,0,駅前広場,三方路,,ガス,水道,下水道,自由が丘,駅前広場接面,0 ,商業,防火,80 ,600 ,,,,,,,,,,
,13110 ,28 ,目黒,5 ,13 ,目黒区,原町１丁目１２５６番１８,原町１－１１－２,"703,000 ",,,82 ,,1,1.5,店舗兼共同住宅,ＲＣ,4F,,小規模の小売店舗等が建ち並ぶ駅前の商業地域,区道,北東,4.3,,,,ガス,水道,下水道,西小山,,120 ,近商,準防,80 ,300 ,,,,,,,,,,
,13110 ,28 ,目黒,5 ,14 ,目黒区,駒場１丁目８２８番５,駒場１－１１－１５,"698,000 ",,,92 ,,1,1.2,店舗兼共同住宅,ＲＣ,4F,,日用品店、飲食店等が建ち並ぶ近隣商業地域,区道,北,4.5,,,,ガス,水道,下水道,駒場東大前,,320 ,近商,準防,80 ,300 ,,,,,,,,,,
,13110 ,28 ,目黒,5 ,15 ,目黒区,目黒本町４丁目１３２番４,目黒本町４－１－３,"710,000 ",,,279 ,,1,1.2,店舗兼共同住宅,Ｓ,3F,,中小規模の小売店舗等が建ち並ぶ既成商業地域,区道,南,7.3,,,,ガス,水道,下水道,武蔵小山,,600 ,近商,準防,80 ,300 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,1 ,大田区,大森北３丁目２０７番４,大森北３－１８－８,"405,000 ","396,000 ",2.3 ,127 ,,1,2,作業所兼住宅,ＲＣ,3F,,一般住宅、共同住宅等が混在する住宅地域,区道,北,6,,,,ガス,水道,下水道,大森海岸,,500 ,１住居,準防,60 ,300 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,2 ,大田区,久が原４丁目６８９番１０,久が原４－４２－４,"490,000 ","477,000 ",2.7 ,173 ,,1,2,住宅,ＲＣ,2F,,中規模一般住宅が多い区画整然とした住宅地域,区道,北,7,,,,ガス,水道,下水道,千鳥町,,750 ,１低専,準防,50 ,100 ,,,,,*,13111,0 ,11 ,"483,000 ",1.4 
〇,13111 ,28 ,大田,0 ,3 ,大田区,大森西３丁目２１４番５,大森西３－１８－２２,"407,000 ","395,000 ",3.0 ,132 ,,1,2.5,住宅,Ｓ,3F,,一般住宅、アパート、医院等が混在する住宅地域,区道,西,5.8,,,,ガス,水道,下水道,大森町,,270 ,１住居,準防,60 ,200 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,4 ,大田区,田園調布３丁目２３番３,田園調布３－２３－１５,"1,010,000 ","947,000 ",6.7 ,930 ,,1,1,住宅,ＲＣ,2F,1B,大規模住宅が建ち並ぶ名声のある住宅地域,区道,西,7,,,,ガス,水道,下水道,田園調布,,280 ,１低専,準防,40 ,80 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,5 ,大田区,東雪谷１丁目４６４番３,東雪谷１－３２－１６,"472,000 ","461,000 ",2.4 ,144 ,,1,1.5,住宅,Ｗ,2F,,中規模一般住宅が多い閑静な住宅地域,区道,西,6,,,,ガス,水道,下水道,洗足池,,500 ,１低専,準防,50 ,100 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,6 ,大田区,中馬込１丁目２３番１８,中馬込１－１２－５,"429,000 ","414,000 ",3.6 ,228 ,,1,2.5,住宅,Ｗ,2F,,中規模程度の一般住宅が建ち並ぶ住宅地域,区道,北東,5.5,,,,ガス,水道,下水道,馬込,,560 ,１中専,準防,60 ,200 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,7 ,大田区,東糀谷２丁目９３１番１外,東糀谷２－２－２２,"353,000 ","345,000 ",2.3 ,264 ,,1,1.5,工場、事務所兼住宅,Ｓ,3F,,小工場、共同住宅のほかに住宅等が混在する地域,区道,西,6.3,,,,ガス,水道,下水道,大鳥居,,660 ,準工,準防,60 ,200 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,8 ,大田区,南六郷２丁目１０番３４,南六郷２－８－１２,"350,000 ","342,000 ",2.3 ,149 ,,1,1.2,事務所兼住宅,Ｓ,4F,,一般住宅、小工場、事務所等が混在する住宅地域,区道,北東,5,,,,ガス,水道,下水道,雑色,,700 ,準工,準防,60 ,200 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,9 ,大田区,久が原２丁目１６０番１,久が原２－２１－２２,"513,000 ","497,000 ",3.2 ,"2,401 ",,1,1.5,共同住宅,ＲＣ,12F,,共同住宅、事業所、店舗等が混在する住宅地域,区道,南西,10.9,,,,ガス,水道,下水道,西馬込,,"1,100 ",準工,準防,60 ,200 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,10 ,大田区,山王３丁目１５００番４２,山王３－３４－３,"578,000 ","561,000 ",3.0 ,231 ,,1,1.5,住宅,Ｗ,2F,,中規模一般住宅が多い閑静な住宅地域,区道,北西,5,,,,ガス,水道,下水道,大森,,450 ,１中専,準防,60 ,200 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,11 ,大田区,南雪谷２丁目２５８番２,南雪谷２－２－４,"636,000 ","613,000 ",3.8 ,993 ,台形,1.5,1,共同住宅,ＳＲＣ,11F,1B,共同住宅が多くみられる駅にも近い住宅地域,区道,南東,6.1,,側道,北東,ガス,水道,下水道,雪が谷大塚,,190 ,近商,準防,80 ,300 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,12 ,大田区,大森西１丁目１７６番１,大森西１－９－３,"372,000 ","361,000 ",3.0 ,342 ,,1,1.5,共同住宅,Ｓ,3F,,一般住宅、共同住宅、事業所が混在する住宅地域,区道,北東,5.4,,,,ガス,水道,下水道,平和島,,850 ,準工,準防,60 ,200 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,13 ,大田区,蒲田４丁目３６番５外,蒲田４－３６－９,"457,000 ","442,000 ",3.4 ,135 ,,1,1.2,住宅兼共同住宅,Ｓ,5F,,中規模一般住宅、共同住宅が混在する住宅地域,区道,南,6,,,,ガス,水道,下水道,蒲田,,660 ,１住居,準防,60 ,300 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,14 ,大田区,仲六郷３丁目１９番５,仲六郷３－１６－８,"326,000 ","320,000 ",1.9 ,245 ,,1,1.5,工場兼共同住宅,ＲＣ,4F,,住宅、共同住宅、工場等が混在する住宅地域,区道,南西,4.2,,,,ガス,水道,下水道,雑色,,650 ,準工,準防,60 ,200 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,15 ,大田区,下丸子２丁目２３５番２,下丸子２－２１－４,"360,000 ","354,000 ",1.7 ,214 ,,1,2,住宅、工場兼事務所等,Ｓ,4F,1B,中小工場、一般住宅、共同住宅等が混在する地域,区道,北東,6.5,,,,ガス,水道,下水道,武蔵新田,,700 ,準工,準防,60 ,200 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,16 ,大田区,南雪谷４丁目６５１番,南雪谷４－１２－７,"496,000 ","487,000 ",1.8 ,482 ,,1,1.5,住宅,Ｗ,2F,,中規模一般住宅、アパート等が混在する住宅地域,区道,南,6,,,,ガス,水道,下水道,雪が谷大塚,,550 ,１低専,準防,50 ,100 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,17 ,大田区,上池台１丁目１０１３番１２,上池台１－３５－５,"435,000 ","423,000 ",2.8 ,321 ,,1,1.2,住宅,Ｗ,2F,1B,一般住宅のほか共同住宅もある閑静な住宅地域,区道,東,5,,,,ガス,水道,下水道,長原,,300 ,１低専,準防,50 ,100 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,18 ,大田区,西馬込２丁目３４番７外,西馬込２－２５－１３,"433,000 ","412,000 ",5.1 ,165 ,,1,1,住宅,Ｗ,2F,,中規模一般住宅、アパートが混在する住宅地域,区道,北,6,,,,ガス,水道,下水道,西馬込,,380 ,１中専,準防,60 ,150 ,,,,,*,13111,0 ,8 ,"420,000 ",3.1 
〇,13111 ,28 ,大田,0 ,19 ,大田区,東嶺町１３４番４８,東嶺町３４－１４,"451,000 ","438,000 ",3.0 ,304 ,,1,2,住宅,Ｗ,2F,,中小規模一般住宅、アパートが混在する住宅地域,区道,南東,6,,,,ガス,水道,下水道,久が原,,150 ,１低専,準防,50 ,100 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,20 ,大田区,田園調布２丁目２４番２６外,田園調布２－２４－２１,"570,000 ","563,000 ",1.2 ,263 ,,1,1.5,住宅,Ｗ,3F,,中規模住宅が多い閑静な住宅地域,区道,東,7.2,,,,ガス,水道,下水道,多摩川,,530 ,１低専,準防,50 ,100 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,21 ,大田区,南千束３丁目３１２番３,南千束３－２５－５,"490,000 ","475,000 ",3.2 ,266 ,,1,2,住宅,ＲＣ,2F,,中規模程度の一般住宅が多い住宅地域,区道,東,5.5,,,,ガス,水道,下水道,洗足池,,510 ,１低専,準防,50 ,100 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,22 ,大田区,新蒲田２丁目１２０番３,新蒲田２－２３－１５,"390,000 ","378,000 ",3.2 ,121 ,,1,2,住宅,ＬＳ,2F,,一般住宅の中にアパートが見られる住宅地域,区道,西,8,,,,ガス,水道,下水道,蓮沼,,700 ,１住居,準防,60 ,200 ,,,,,*,13111,0 ,16 ,"381,000 ",2.4 
〇,13111 ,28 ,大田,0 ,23 ,大田区,下丸子４丁目４２７番４,下丸子４－７－１５,"385,000 ","377,000 ",2.1 ,99 ,,1,1.5,住宅,Ｗ,2F,,一般住宅、アパート等が混在する住宅地域,区道,南西,6.5,,,,ガス,水道,下水道,下丸子,,430 ,１住居,準防,60 ,200 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,24 ,大田区,中央６丁目２１３番３,中央６－２０－２,"419,000 ","411,000 ",1.9 ,165 ,台形,1,1.5,住宅兼共同住宅,ＬＳ,3F,,中規模一般住宅に共同住宅も見られる住宅地域,区道,北西,5.5,,,,ガス,水道,下水道,池上,,"1,300 ",１住居,準防,60 ,200 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,25 ,大田区,西糀谷４丁目１６４番１,西糀谷４－１９－９,"370,000 ","361,000 ",2.5 ,135 ,,1,1.2,住宅,Ｗ,2F,,一般住宅の中に店舗等が見られる住宅地域,区道,東,6,,,,ガス,水道,下水道,糀谷,,300 ,１住居,準防,60 ,200 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,26 ,大田区,大森中３丁目４８４番２,大森中３－２９－４,"368,000 ","357,000 ",3.1 ,122 ,,1,1.5,住宅,Ｗ,2F,,一般住宅、アパート等が混在する住宅地域,区道,東,5.4,,,,ガス,水道,下水道,梅屋敷,,590 ,１住居,準防,60 ,200 ,,,,,*,13111,0 ,17 ,"359,000 ",2.5 
〇,13111 ,28 ,大田,0 ,27 ,大田区,田園調布南５番２９,田園調布南５－１３,"403,000 ","391,000 ",3.1 ,107 ,,1,2,住宅,Ｗ,2F,,一般住宅、アパート等が混在する住宅地域,区道,南西,5.5,,,,ガス,水道,下水道,鵜の木,,750 ,１住居,準防,60 ,200 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,28 ,大田区,南馬込４丁目１４３２番１,南馬込４－１３－１８,"431,000 ","417,000 ",3.4 ,238 ,,1,1.5,住宅,Ｗ,2F,,中規模程度の一般住宅が多い住宅地域,区道,東,4.3,,,,ガス,水道,下水道,西馬込,,700 ,１低専,準防,50 ,100 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,29 ,大田区,池上５丁目６５３番２,池上５－１８－３,"405,000 ","392,000 ",3.3 ,170 ,,1,2,住宅,ＬＳ,2F,,住宅、アパート、事業所等が混在する住宅地域,区道,南西,7,,,,ガス,水道,下水道,池上,,480 ,１住居,準防,60 ,200 ,,,,,,,,,,
〇,13111 ,28 ,大田,0 ,30 ,大田区,田園調布４丁目２８番５,田園調布４－２８－２３,"632,000 ","625,000 ",1.1 ,555 ,,1,1.5,住宅,ＲＣ,2F,1B,中規模住宅が建ち並ぶ閑静な住宅地域,区道,北,7,,,,ガス,水道,下水道,田園調布,,600 ,１低専,準防,40 ,80 ,,,,,*,13111,0 ,5 ,"627,000 ",0.8 
,13111 ,28 ,大田,0 ,31 ,大田区,山王２丁目２２１０番２４６,山王２－２５－２０,"525,000 ",,,119 ,,1,2,住宅,ＬＳ,2F,,一般住宅、マンシ�
