1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","","","","",""
2,"","","","","","","第３表　年間収入階級別１世帯当たり年平均１か月間の用途別生計支出　―　全　世　帯　―　","","","","","","","","","","","",""
3,"","","","","","","注）　１）は、「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いたもの。","","","","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　2：生計支出）","","","","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年増加率（％）","400万円未満／実数（円）","400万円未満／構成比（％）","400万円以上600万円未満／実数（円）","400万円以上600万円未満／構成比（％）","600万円以上800万円未満／実数（円）","600万円以上800万円未満／構成比（％）","800万円以上1000万円未満／実数（円）","800万円以上1000万円未満／構成比（％）","1000万円以上／実数（円）","1000万円以上／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,-,2372,-,1957,-,1860,-,1439,-,2372,-
7,"0","0","0","0","0","調査世帯数",615,-,-,150,-,121,-,113,-,90,-,140,-
8,"0","0","0","0","0","世帯人員",2.95,-,-,2.35,-,2.84,-,3.13,-,3.25,-,3.30,-
9,"0","0","0","0","0","有業人員",1.40,-,-,0.59,-,1.22,-,1.66,-,1.79,-,1.92,-
10,"0","0","0","0","0","世帯主平均年齢",59.5,-,-,72.1,-,62.6,-,53.9,-,53.3,-,52.5,-
11,"0","0","0","0","0","平均年間収入(万円)",767,-,-,290,-,494,-,697,-,899,-,1443,-
12,"2","2","0","0","0","生計支出",340041,-,3.2,222607,-,292628,-,318015,-,404828,-,475843,-
13,"2","3","0","0","0","消費支出",335174,100.0,3.2,221884,100.0,292628,100.0,318015,100.0,381012,100.0,468746,100.0
14,"2","4","1","0","0","食料",96298,28.7,8.3,75396,34.0,90683,31.0,94356,29.7,103211,27.1,118776,25.3
15,"2","5","1","1","0","穀類",7047,2.1,4.9,6055,2.7,7068,2.4,7114,2.2,7312,1.9,7796,1.7
16,"2","6","1","1","1","米類",1601,0.5,-2.8,1409,0.6,1665,0.6,1641,0.5,1711,0.4,1634,0.3
17,"2","6","1","1","2","パン",3193,1.0,8.9,2682,1.2,3135,1.1,3164,1.0,3199,0.8,3783,0.8
18,"2","6","1","1","3","麺類",1710,0.5,6.3,1494,0.7,1731,0.6,1786,0.6,1808,0.5,1781,0.4
19,"2","6","1","1","4","他の穀類",543,0.2,2.3,471,0.2,537,0.2,523,0.2,595,0.2,598,0.1
20,"2","5","1","2","0","魚介類",6467,1.9,2.2,6674,3.0,7031,2.4,5935,1.9,5934,1.6,6474,1.4
21,"2","6","1","2","1","生鮮魚介",3643,1.1,2.2,3615,1.6,3963,1.4,3377,1.1,3415,0.9,3728,0.8
22,"2","6","1","2","2","塩干魚介",1152,0.3,5.9,1280,0.6,1212,0.4,984,0.3,1080,0.3,1136,0.2
23,"2","6","1","2","3","魚肉練製品",709,0.2,2.2,805,0.4,810,0.3,683,0.2,560,0.1,629,0.1
24,"2","6","1","2","4","他の魚介加工品",962,0.3,-1.8,973,0.4,1046,0.4,892,0.3,878,0.2,981,0.2
25,"2","5","1","3","0","肉類",8909,2.7,6.9,6734,3.0,9001,3.1,9207,2.9,9630,2.5,10243,2.2
26,"2","6","1","3","1","生鮮肉",7307,2.2,8.0,5461,2.5,7370,2.5,7528,2.4,7888,2.1,8498,1.8
27,"2","6","1","3","2","加工肉",1602,0.5,2.1,1273,0.6,1631,0.6,1679,0.5,1743,0.5,1746,0.4
28,"2","5","1","4","0","乳卵類",4881,1.5,10.5,4169,1.9,4983,1.7,4965,1.6,4805,1.3,5464,1.2
29,"2","6","1","4","1","牛乳",1470,0.4,8.0,1212,0.5,1534,0.5,1592,0.5,1440,0.4,1588,0.3
30,"2","6","1","4","2","乳製品",2354,0.7,6.6,1959,0.9,2406,0.8,2318,0.7,2290,0.6,2759,0.6
31,"2","6","1","4","3","卵",1058,0.3,24.5,997,0.4,1044,0.4,1055,0.3,1075,0.3,1117,0.2
32,"2","5","1","5","0","野菜・海藻",10596,3.2,3.3,10670,4.8,10995,3.8,9945,3.1,10330,2.7,10770,2.3
33,"2","6","1","5","1","生鮮野菜",7395,2.2,2.5,7394,3.3,7631,2.6,6903,2.2,7230,1.9,7613,1.6
