1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","",""
2,"","","","","","","第８表　住居所有形態別１世帯当たり年平均１か月間の用途別生計支出　―　全　世　帯　―","","","","","","","","",""
3,"","","","","","","注）　１）は、「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いたもの。","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　2：生計支出）","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","持家／実数（円）","持家／構成比（％）","民営借家／実数（円）","民営借家／構成比（％）","公営借家／実数（円）","公営借家／構成比（％）","給与住宅／実数（円）","給与住宅／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,8212,-,1194,-,348,-,246,-
7,"0","0","0","0","0","調査世帯数",615,-,509,-,70,-,22,-,13,-
8,"0","0","0","0","0","世帯人員",2.95,-,2.95,-,2.87,-,2.61,-,3.52,-
9,"0","0","0","0","0","有業人員",1.40,-,1.40,-,1.53,-,0.82,-,1.75,-
10,"0","0","0","0","0","世帯主平均年齢",59.5,-,61.1,-,49.2,-,64.2,-,46.3,-
11,"2","2","0","0","0","生計支出",340041,-,337353,-,372698,-,244131,-,410690,-
12,"2","3","0","0","0","消費支出",335174,100.0,333603,100.0,358706,100.0,244131,100.0,410690,100.0
13,"2","4","1","0","0","食料",96298,28.7,98728,29.6,84836,23.7,78557,32.2,96626,23.5
14,"2","5","1","1","0","穀類",7047,2.1,7212,2.2,6159,1.7,6856,2.8,6434,1.6
15,"2","6","1","1","1","米類",1601,0.5,1650,0.5,1294,0.4,1505,0.6,1385,0.3
16,"2","6","1","1","2","パン",3193,1.0,3298,1.0,2686,0.7,3174,1.3,2645,0.6
17,"2","6","1","1","3","麺類",1710,0.5,1711,0.5,1714,0.5,1743,0.7,1793,0.4
18,"2","6","1","1","4","他の穀類",543,0.2,553,0.2,465,0.1,433,0.2,612,0.1
19,"2","5","1","2","0","魚介類",6467,1.9,6786,2.0,4388,1.2,6514,2.7,5267,1.3
20,"2","6","1","2","1","生鮮魚介",3643,1.1,3823,1.1,2421,0.7,3802,1.6,3116,0.8
21,"2","6","1","2","2","塩干魚介",1152,0.3,1202,0.4,832,0.2,1174,0.5,989,0.2
22,"2","6","1","2","3","魚肉練製品",709,0.2,746,0.2,450,0.1,738,0.3,514,0.1
23,"2","6","1","2","4","他の魚介加工品",962,0.3,1015,0.3,686,0.2,801,0.3,648,0.2
24,"2","5","1","3","0","肉類",8909,2.7,9160,2.7,7663,2.1,6529,2.7,9737,2.4
25,"2","6","1","3","1","生鮮肉",7307,2.2,7531,2.3,6296,1.8,4987,2.0,7819,1.9
26,"2","6","1","3","2","加工肉",1602,0.5,1629,0.5,1367,0.4,1542,0.6,1918,0.5
27,"2","5","1","4","0","乳卵類",4881,1.5,5034,1.5,3974,1.1,3770,1.5,5227,1.3
28,"2","6","1","4","1","牛乳",1470,0.4,1508,0.5,1225,0.3,1129,0.5,1437,0.3
