1,東京都生計分析調査　令和 5年 5月,,,,,,,,,,,,,,,,,,,
2,,,,第１６表　生計支出７分位階層別１世帯当たり１か月間の財・サービス別支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,注1)財・サービス別結果は、品目別分類を再分類して集計した。,,,,,,,,,,,,,,,,
4,,,,注2)消費支出には、「こづかい」、「贈与金」、「他の交際費」及び「仕送り金」は含まれていない。,,,,,,,,,,,,,,,,
5,,,,項目（0：世帯数等、消費支出等　1：耐久財　2：半耐久財　3：非耐久財　4：サービス）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
6,区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
7,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
8,0,0,調査世帯数,614,-,-,89,-,86,-,84,-,89,-,90,-,85,-,91,-
9,0,0,世帯人員,2.95,-,-,2.65,-,2.90,-,2.77,-,2.98,-,3.05,-,3.02,-,3.32,-
10,0,0,有業人員,1.43,-,-,1.06,-,1.27,-,1.27,-,1.52,-,1.60,-,1.48,-,1.77,-
11,0,0,世帯主平均年齢,59.3,-,-,63.5,-,59.6,-,63.6,-,59.5,-,59.1,-,54.6,-,55.3,-
12,0,0,消費支出,299765,100.0,-0.8,105433,100.0,165765,100.0,206000,100.0,249614,100.0,308174,100.0,393237,100.0,666470,100.0
13,1,0,商品,162757,54.3,1.5,79838,75.7,114862,69.3,133221,64.7,155394,62.3,174469,56.6,200017,50.9,280227,42.0
14,1,1,耐久財,12374,4.1,-37.9,820,0.8,2192,1.3,4763,2.3,2530,1.0,4736,1.5,19190,4.9,52038,7.8
15,1,2,半耐久財,22940,7.7,2.8,4596,4.4,12610,7.6,13214,6.4,18934,7.6,26848,8.7,33203,8.4,50894,7.6
16,1,3,非耐久財,127443,42.5,7.9,74423,70.6,100060,60.4,115244,55.9,133929,53.7,142885,46.4,147624,37.5,177295,26.6
17,1,0,サービス,137007,45.7,-3.5,25595,24.3,50903,30.7,72779,35.3,94220,37.7,133705,43.4,193220,49.1,386243,58.0
18,2,0,食料,101371,33.8,10.2,57895,54.9,80328,48.5,89005,43.2,98126,39.3,109720,35.6,126786,32.2,147244,22.1
19,2,3,非耐久財,81519,27.2,10.8,51895,49.2,65098,39.3,73985,35.9,83734,33.5,87648,28.4,95154,24.2,112748,16.9
20,2,4,サービス,19853,6.6,7.7,5999,5.7,15229,9.2,15019,7.3,14392,5.8,22072,7.2,31632,8.0,34496,5.2
21,2,0,住居,23429,7.8,-27.3,1426,1.4,7740,4.7,11058,5.4,18429,7.4,20733,6.7,22262,5.7,81713,12.3
22,2,1,耐久財,1225,0.4,-74.5,-,-,127,0.1,258,0.1,8,0.0,724,0.2,-,-,7393,1.1
23,2,2,半耐久財,651,0.2,123.7,45,0.0,489,0.3,46,0.0,248,0.1,257,0.1,517,0.1,2930,0.4
24,2,4,サービス,21553,7.2,-20.5,1380,1.3,7124,4.3,10755,5.2,18173,7.3,19752,6.4,21745,5.5,71390,10.7
25,2,0,光熱・水道（非耐久財）,22891,7.6,4.8,12300,11.7,19924,12.0,21934,10.6,24110,9.7,26363,8.6,25457,6.5,30029,4.5
26,2,0,家具・家事用品,12838,4.3,8.8,4084,3.9,5739,3.5,6424,3.1,7179,2.9,9277,3.0,24173,6.1,32856,4.9
27,2,1,耐久財,4680,1.6,11.4,649,0.6,810,0.5,805,0.4,366,0.1,705,0.2,13642,3.5,15732,2.4
28,2,2,半耐久財,3205,1.1,-14.7,933,0.9,1631,1.0,2273,1.1,2864,1.1,3065,1.0,5109,1.3,6533,1.0
29,2,3,非耐久財,3750,1.3,12.0,2298,2.2,3139,1.9,3211,1.6,3720,1.5,4502,1.5,4243,1.1,5124,0.8
30,2,4,サービス,1203,0.4,143.0,205,0.2,158,0.1,135,0.1,229,0.1,1005,0.3,1179,0.3,5467,0.8
31,2,0,被服及び履物,11431,3.8,-2.9,2371,2.2,6986,4.2,8119,3.9,9316,3.7,13951,4.5,17288,4.4,21879,3.3
32,2,2,半耐久財,10491,3.5,-2.7,2123,2.0,6514,3.9,7299,3.5,8652,3.5,12847,4.2,15799,4.0,20105,3.0
33,2,4,サービス,940,0.3,-4.9,248,0.2,473,0.3,820,0.4,664,0.3,1104,0.4,1489,0.4,1775,0.3
34,2,0,保健医療,14445,4.8,-9.2,4897,4.6,6421,3.9,11814,5.7,14334,5.7,14980,4.9,18986,4.8,29528,4.4
35,2,1,耐久財,780,0.3,-17.5,98,0.1,77,0.0,941,0.5,1004,0.4,630,0.2,842,0.2,1859,0.3
36,2,2,半耐久財,309,0.1,-19.3,132,0.1,29,0.0,244,0.1,360,0.1,394,0.1,439,0.1,565,0.1
37,2,3,非耐久財,5293,1.8,2.0,2394,2.3,3662,2.2,5088,2.5,6344,2.5,6752,2.2,4841,1.2,7922,1.2
38,2,4,サービス,8062,2.7,-14.1,2273,2.2,2653,1.6,5540,2.7,6626,2.7,7204,2.3,12864,3.3,19182,2.9
39,2,0,交通・通信,33267,11.1,-6.9,8508,8.1,9981,6.0,22378,10.9,27920,11.2,34491,11.2,58483,14.9,70820,10.6
40,2,1,耐久財,2292,0.8,-66.8,6,0.0,598,0.4,2277,1.1,441,0.2,402,0.1,3368,0.9,8891,1.3
41,2,2,半耐久財,1081,0.4,18.4,182,0.2,161,0.1,455,0.2,569,0.2,472,0.2,2918,0.7,2803,0.4
42,2,3,非耐久財,2041,0.7,-15.8,542,0.5,836,0.5,1001,0.5,2850,1.1,2678,0.9,3197,0.8,3171,0.5
43,2,4,サービス,27854,9.3,9.2,7778,7.4,8386,5.1,18645,9.1,24061,9.6,30939,10.0,49000,12.5,55956,8.4
44,2,0,教育,18983,6.3,-19.9,1228,1.2,1307,0.8,1070,0.5,2254,0.9,6922,2.2,11604,3.0,107604,16.1
45,2,3,非耐久財,125,0.0,-1.6,66,0.1,24,0.0,42,0.0,135,0.1,43,0.0,200,0.1,363,0.1
46,2,4,サービス,18858,6.3,-20.0,1162,1.1,1283,0.8,1029,0.5,2119,0.8,6879,2.2,11404,2.9,107240,16.1
47,2,0,教養娯楽,39029,13.0,13.4,6928,6.6,15903,9.6,20083,9.7,26206,10.5,43739,14.2,56098,14.3,103622,15.5
48,2,1,耐久財,3016,1.0,29.7,3,0.0,484,0.3,359,0.2,456,0.2,1682,0.5,1104,0.3,16877,2.5
49,2,2,半耐久財,5102,1.7,45.5,695,0.7,2872,1.7,1561,0.8,4125,1.7,6641,2.2,6534,1.7,13197,2.0
50,2,3,非耐久財,6202,2.1,8.5,2595,2.5,4288,2.6,6071,2.9,6217,2.5,7998,2.6,8041,2.0,8179,1.2
51,2,4,サービス,24709,8.2,8.0,3636,3.4,8259,5.0,12093,5.9,15408,6.2,27419,8.9,40419,10.3,65368,9.8
52,2,0,諸雑費,22080,7.4,-3.3,5796,5.5,11436,6.9,14115,6.9,21741,8.7,27998,9.1,32099,8.2,41175,6.2
53,2,1,耐久財,380,0.1,-49.1,65,0.1,96,0.1,123,0.1,255,0.1,594,0.2,234,0.1,1285,0.2
54,2,2,半耐久財,2101,0.7,-21.7,485,0.5,914,0.6,1336,0.6,2116,0.8,3172,1.0,1887,0.5,4762,0.7
55,2,3,非耐久財,5623,1.9,-4.9,2333,2.2,3089,1.9,3913,1.9,6821,2.7,6901,2.2,6491,1.7,9759,1.5
