1,東京都生計分析調査　令和 5年 1月,,,,,,,,,,,,,,,
2,,,,,,,第１３表　住居所有形態別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,7499,-,1348,-,697,-,457,-
7,0,0,0,0,0,調査世帯数,590,-,454,-,75,-,37,-,24,-
8,0,0,0,0,0,世帯人員,2.93,-,2.95,-,2.78,-,2.57,-,3.42,-
9,0,0,0,0,0,有業人員,1.45,-,1.45,-,1.57,-,0.95,-,1.80,-
10,0,0,0,0,0,世帯主平均年齢,59.7,-,61.4,-,51.5,-,66.5,-,44.7,-
11,2,2,0,0,0,生計支出,342467,-,338465,-,391572,-,278679,-,360546,-
12,2,3,0,0,0,消費支出,342467,100.0,338465,100.0,391572,100.0,278679,100.0,360546,100.0
13,2,4,1,0,0,食料,91487,26.7,94919,28.0,83468,21.3,71438,25.6,89377,24.8
14,2,5,1,1,0,穀類,6845,2.0,7187,2.1,5971,1.5,5570,2.0,5746,1.6
15,2,6,1,1,1,米類,1601,0.5,1708,0.5,1339,0.3,1223,0.4,1201,0.3
16,2,6,1,1,2,パン,3054,0.9,3247,1.0,2476,0.6,2702,1.0,2142,0.6
17,2,6,1,1,3,麺類,1611,0.5,1665,0.5,1464,0.4,1175,0.4,1816,0.5
18,2,6,1,1,4,他の穀類,579,0.2,568,0.2,693,0.2,471,0.2,586,0.2
19,2,5,1,2,0,魚介類,5940,1.7,6490,1.9,3957,1.0,4997,1.8,4210,1.2
20,2,6,1,2,1,生鮮魚介,3256,1.0,3631,1.1,1834,0.5,2664,1.0,2195,0.6
21,2,6,1,2,2,塩干魚介,1117,0.3,1221,0.4,744,0.2,924,0.3,797,0.2
22,2,6,1,2,3,魚肉練製品,692,0.2,730,0.2,519,0.1,757,0.3,474,0.1
23,2,6,1,2,4,他の魚介加工品,876,0.3,907,0.3,861,0.2,651,0.2,744,0.2
24,2,5,1,3,0,肉類,8770,2.6,9269,2.7,7005,1.8,5988,2.1,10033,2.8
25,2,6,1,3,1,生鮮肉,7296,2.1,7777,2.3,5616,1.4,4651,1.7,8383,2.3
26,2,6,1,3,2,加工肉,1475,0.4,1492,0.4,1389,0.4,1337,0.5,1650,0.5
27,2,5,1,4,0,乳卵類,4482,1.3,4622,1.4,3751,1.0,4075,1.5,4959,1.4
28,2,6,1,4,1,牛乳,1350,0.4,1390,0.4,1090,0.3,1039,0.4,1941,0.5
29,2,6,1,4,2,乳製品,2213,0.6,2256,0.7,1969,0.5,2261,0.8,2164,0.6
30,2,6,1,4,3,卵,919,0.3,977,0.3,691,0.2,774,0.3,854,0.2
31,2,5,1,5,0,野菜・海藻,9652,2.8,10196,3.0,7378,1.9,7834,2.8,10202,2.8
32,2,6,1,5,1,生鮮野菜,6709,2.0,7066,2.1,5344,1.4,5445,2.0,6805,1.9
